model,case,lolh,lolp_percent,lole_days,eue_mwh,neue_ppm,cvar_eue_mwh,p90_eue_mwh,p95_eue_mwh,p99_eue_mwh,n_shortage_events,mean_shortage_duration_h,max_shortage_duration_h,p95_shortage_duration_h,max_shortfall_mw,mean_shortfall_when_shedding_mw,lolh_ci95_halfwidth,eue_ci95_halfwidth_mwh,total_runtime_s,mean_runtime_s
M1c,VRE120_wind_hvy,4.4,0.05022831050228311,1.6,1113.1836845584533,24.697028190259058,2792.631010996136,2364.3812874238315,2578.506149209984,2749.8060386389056,1.8,2.4444444444444446,5.0,5.0,416.6907985061513,252.996291945103,3.9492905692035367,991.7934601435809,0.6159999370574951,0.12319998741149903
M2,VRE120_wind_hvy,3.8,0.04337899543378995,1.6,1113.1836845584512,24.69702819025901,2792.631010996133,2364.3812874238292,2578.5061492099812,2749.806038638903,2.2,1.7272727272727273,3.0,3.0,508.74838370615,292.9430748838029,3.6352584502343155,991.7934601435804,2.5250000953674316,0.5050000190734864
M3,VRE120_wind_hvy,4.4,0.05022831050228311,1.6,1113.183684558451,24.697028190259008,2792.6310109961328,2364.381287423829,2578.506149209981,2749.8060386389025,1.8,2.4444444444444446,5.0,5.0,416.69079850615014,252.9962919451025,3.9492905692035367,991.7934601435802,44.293999910354614,8.858799982070924
HOPE-ED,VRE120_wind_hvy,3.8,0.04337899543378995,NaN,1113.1836845584514,24.697028190259015,2792.631010996133,2364.3812874238297,2578.5061492099812,2749.806038638903,2.4,1.4,NaN,NaN,1123.6539771999996,NaN,NaN,NaN,587.5699999999999,117.51399999999998
HOPE-UC,VRE120_wind_hvy,4.2,0.04794520547945206,NaN,1113.183684558452,24.697028190259026,2792.631010996133,2364.3812874238292,2578.5061492099812,2749.806038638903,2.0,1.7666666666666668,NaN,NaN,947.4141864653775,NaN,NaN,NaN,2712.21,542.442
