case,scenario_id,ref_model,test_model,ref_eue_mwh,test_eue_mwh,delta_eue_mwh,ref_lolh,test_lolh,delta_lolh
VRE120_wind_hvy,1,HOPE-ED,M1c,514.1403548653747,514.140354865377,2.3874235921539366e-12,3.0,2.0,-1.0
VRE120_wind_hvy,2,HOPE-ED,M1c,537.1403548653743,537.140354865377,2.7284841053187847e-12,2.0,2.0,0.0
VRE120_wind_hvy,3,HOPE-ED,M1c,0.0,0.0,0.0,0.0,0.0,0.0
VRE120_wind_hvy,4,HOPE-ED,M1c,1722.0067020653748,1722.006702065376,1.1368683772161603e-12,5.0,7.0,2.0
VRE120_wind_hvy,5,HOPE-ED,M1c,2792.631010996133,2792.631010996136,2.7284841053187847e-12,9.0,11.0,2.0
VRE120_wind_hvy,1,HOPE-ED,M2,514.1403548653747,514.1403548653743,-3.410605131648481e-13,3.0,1.0,-2.0
VRE120_wind_hvy,2,HOPE-ED,M2,537.1403548653743,537.1403548653743,0.0,2.0,2.0,0.0
VRE120_wind_hvy,3,HOPE-ED,M2,0.0,0.0,0.0,0.0,0.0,0.0
VRE120_wind_hvy,4,HOPE-ED,M2,1722.0067020653748,1722.0067020653742,-6.821210263296962e-13,5.0,6.0,1.0
VRE120_wind_hvy,5,HOPE-ED,M2,2792.631010996133,2792.631010996133,0.0,9.0,10.0,1.0
VRE120_wind_hvy,1,HOPE-ED,M3,514.1403548653747,514.1403548653742,-4.547473508864641e-13,3.0,2.0,-1.0
VRE120_wind_hvy,2,HOPE-ED,M3,537.1403548653743,537.1403548653741,-2.2737367544323206e-13,2.0,2.0,0.0
VRE120_wind_hvy,3,HOPE-ED,M3,0.0,0.0,0.0,0.0,0.0,0.0
VRE120_wind_hvy,4,HOPE-ED,M3,1722.0067020653748,1722.0067020653742,-6.821210263296962e-13,5.0,7.0,2.0
VRE120_wind_hvy,5,HOPE-ED,M3,2792.631010996133,2792.6310109961328,-4.547473508864641e-13,9.0,11.0,2.0
VRE120_wind_hvy,1,HOPE-ED,HOPE-UC,514.1403548653747,514.1403548653761,1.4779288903810084e-12,3.0,2.0,-1.0
VRE120_wind_hvy,2,HOPE-ED,HOPE-UC,537.1403548653743,537.1403548653759,1.5916157281026244e-12,2.0,2.0,0.0
VRE120_wind_hvy,3,HOPE-ED,HOPE-UC,0.0,0.0,0.0,0.0,0.0,0.0
VRE120_wind_hvy,4,HOPE-ED,HOPE-UC,1722.0067020653748,1722.0067020653746,-2.2737367544323206e-13,5.0,6.0,1.0
VRE120_wind_hvy,5,HOPE-ED,HOPE-UC,2792.631010996133,2792.631010996133,0.0,9.0,11.0,2.0
