scenario_id,eue_mwh,lolh_hours,n_shortage_events,max_shortfall_mw
1,1779.4778133961336,5.0,4,805.7195783999996
2,2522.274648130755,4.0,3,889.6539771999996
3,2519.037603396134,7.0,5,722.1931183999977
4,7004.091136661509,13.0,6,1146.837098
5,9712.357466792264,15.0,11,1144.6539771999996
6,8239.83785026151,11.0,5,1270.8992683999986
7,676.57705179613,4.0,3,429.20357566537587
8,0.0,0.0,0,0.0
9,0.0,0.0,0,0.0
10,0.0,0.0,0,0.0
