case_folder,mode,lolh,lolp_percent,lole_days,eue_mwh,ann_tol_mwh,eue_ann_tol_error_pct,cvar_eue_mwh,max_shortfall_mw,n_shortage_events,mean_shortage_duration_h,p95_shortage_duration_h,runtime_s
RAChronoOps_VRE120_base_s001_UC,UC,9.0,0.10273972602739725,3.0,1779.4778133961322,1779.4778133961322,0.0,1779.4778133961322,668.2972087999997,7,1.2857142857142858,2.0,NaN
RAChronoOps_VRE120_base_s002_UC,UC,7.0,0.07990867579908677,2.0,2522.274648130753,2522.274648130753,0.0,2522.274648130753,645.939763599999,6,1.1666666666666667,1.7499999999999991,NaN
RAChronoOps_VRE120_base_s003_UC,UC,9.0,0.10273972602739725,3.0,2519.037603396132,2519.0376033961315,1.8052424079473052e-14,2519.037603396132,722.1931183999975,6,1.5,2.0,NaN
RAChronoOps_VRE120_base_s004_UC,UC,22.0,0.2511415525114155,4.0,7004.091136661509,7004.091136661508,1.2985192283012437e-14,7004.091136661509,1125.0946080653791,10,2.2,5.0,NaN
RAChronoOps_VRE120_base_s005_UC,UC,29.0,0.3310502283105023,6.0,9712.357466792266,9712.357466792268,1.8728608473948806e-14,9712.357466792266,1211.0946080653791,12,2.4166666666666665,6.0,NaN
