case_name,model_label,n_scenarios,seed,lolh_hours,lolp_percent,lole_days,eue_mwh,neue_ppm,cvar_eue_mwh,p90_scenario_eue_mwh,p95_scenario_eue_mwh,p99_scenario_eue_mwh,n_shortage_events,mean_shortage_duration_h,max_shortage_duration_h,p95_shortage_duration_h,max_shortfall_mw,mean_shortfall_when_shedding_mw,lolh_ci95_halfwidth_h,lolh_ci95_rel_halfwidth,eue_ci95_halfwidth_mwh,eue_ci95_rel_halfwidth,runtime_s
VRE120_base,M1,5,42,115.6,1.319634703196347,28.4,41846.39686943996,928.4017161599523,54383.20719439995,52426.480934879946,53404.844064639954,54187.53456844795,30.2,3.827814569536424,10.0,8.0,1148.7021590399988,361.99305250380587,15.100906462858449,0.13063067874445025,8876.550806187859,0.21212222485683882,1.0
VRE120_base,M1b,5,42,103.8,1.184931506849315,24.6,39203.56292515265,869.7679566738647,51633.395830432644,49890.624410272634,50762.01012035264,51459.118688416645,26.0,3.9923076923076923,10.0,8.0,1148.7021590399988,377.68365053133573,16.461666501299312,0.158590236043346,8967.05239578943,0.22873054709107193,0.4
VRE120_base,M1c,5,42,11.2,0.1278538812785388,3.6,4707.447733675359,104.43916039684521,9712.357466792266,8629.05093473996,9170.704200766115,9604.026813587036,4.4,2.5454545454545454,6.0,5.0,871.6206391330754,420.30783336387134,6.968344423175421,0.6221736092120912,3050.9595877547517,0.6481133217750465,0.4
VRE120_base,M2_rm1000_b48,5,42,11.2,0.1278538812785388,3.6,4707.44773367536,104.43916039684524,9712.357466792264,8629.05093473996,9170.704200766113,9604.026813587034,6.0,1.8666666666666667,5.0,4.0,986.4873621730754,420.3078333638714,7.05055345345314,0.6295137012011732,3050.9595877547517,0.6481133217750464,4.0
VRE120_base,M3,5,42,11.2,0.1278538812785388,3.6,4707.447733675359,104.43916039684521,9712.357466792264,8629.05093473996,9170.704200766113,9604.026813587034,4.4,2.5454545454545454,6.0,5.0,871.6206391330754,420.3078333638713,6.968344423175421,0.6221736092120912,3050.9595877547517,0.6481133217750465,48.5
VRE120_bal15,M1,5,42,63.8,0.728310502283105,22.6,21058.312823839977,467.1984980232258,26724.44177199998,26076.26124943998,26400.35151071998,26659.623719743977,23.0,2.773913043478261,7.0,6.0,1044.0021590399992,330.0675991197488,10.304456511626412,0.16151185754900332,4437.633824761596,0.21073073906176282,0.3
VRE120_bal15,M1b,5,42,48.6,0.5547945205479452,16.4,17635.23978837882,391.25439964414056,22994.219044065354,22960.337906452278,22977.278475258816,22990.830930304048,16.8,2.892857142857143,7.0,6.0,1044.0021590399992,362.86501622178645,12.265278472175021,0.2523719850241774,4737.283524510087,0.26862597738148347,0.4
VRE120_bal15,M1c,5,42,3.6,0.04109589041095891,1.4,698.632900932301,15.499828723964274,2163.992451330755,1796.6391666646023,1980.3158089976787,2127.2571228641395,1.6,2.25,4.0,4.0,267.93913441307484,194.06469470341693,3.592739344845379,0.9979831513459385,854.0653053704331,1.2224807967542224,0.5
VRE120_bal15,M2_rm1000_b48,5,42,3.4,0.03881278538812785,1.4,698.6329009323002,15.499828723964258,2163.9924513307533,1796.6391666646014,1980.3158089976773,2127.257122864138,1.8,1.8888888888888888,4.0,3.5999999999999996,375.42895978615036,205.48026498008832,3.3146607669564014,0.9749002255754122,854.0653053704328,1.2224807967542235,1.9
VRE120_bal15,M3,5,42,3.6,0.04109589041095891,1.4,698.6329009323001,15.499828723964258,2163.9924513307533,1796.6391666646011,1980.315808997677,2127.257122864138,1.6,2.25,4.0,4.0,267.93913441307444,194.0646947034167,3.592739344845379,0.9979831513459385,854.0653053704328,1.2224807967542237,47.4
VRE120_wind_hvy,M1,5,42,67.2,0.767123287671233,21.6,21202.404920319976,470.39531685746124,28366.462050799964,26591.96771079996,27479.214880799966,28189.012616799966,23.8,2.823529411764706,7.0,6.099999999999994,1034.5503558399992,315.511977980952,10.020949256432743,0.1491212686969158,4567.745946581767,0.21543527556178912,0.3
VRE120_wind_hvy,M1b,5,42,36.4,0.4155251141552512,9.6,13798.608819291514,306.13512911085536,20642.742720065355,18097.959632731505,19370.351176398428,20388.26441133197,11.4,3.192982456140351,7.0,7.0,1034.330484399999,379.08265987064595,9.121899802124556,0.2506016429155098,3860.2261041794736,0.27975473141774854,0.3
VRE120_wind_hvy,M1c,5,42,4.4,0.05022831050228311,1.6,1113.1836845584533,24.697028190259058,2792.631010996136,2364.3812874238315,2578.506149209984,2749.8060386389056,1.8,2.4444444444444446,5.0,5.0,416.6907985061513,252.996291945103,3.9492905692035367,0.8975660384553492,991.7934601435809,0.890952206631539,1.3
VRE120_wind_hvy,M2_rm1000_b48,5,42,3.8,0.04337899543378995,1.6,1113.1836845584512,24.69702819025901,2792.631010996133,2364.3812874238292,2578.5061492099812,2749.806038638903,2.2,1.7272727272727273,3.0,3.0,508.74838370615,292.9430748838029,3.6352584502343155,0.9566469605879778,991.7934601435804,0.8909522066315402,1.7
VRE120_wind_hvy,M3,5,42,4.4,0.05022831050228311,1.6,1113.183684558451,24.697028190259008,2792.6310109961328,2364.381287423829,2578.506149209981,2749.8060386389025,1.8,2.4444444444444446,5.0,5.0,416.69079850615014,252.9962919451025,3.9492905692035367,0.8975660384553492,991.7934601435802,0.8909522066315402,46.7
