case_name,method_label,m3_lolh,method_lolh,lolh_error,lolh_abs_error,lolh_rel_error,m3_eue,method_eue,eue_error,eue_rel_error,m3_cvar_eue,method_cvar_eue,cvar_eue_error,m3_lole_days,method_lole_days,lole_days_error,m3_max_shortfall,method_max_shortfall,max_shortfall_error,m3_runtime_s,method_runtime_s,runtime_speedup_vs_m3
VRE120_base,M1,11.2,115.6,104.39999999999999,104.39999999999999,9.321428571428571,4707.447733675359,41846.39686943996,37138.949135764604,7.889402333686288,9712.357466792264,54383.20719439995,44670.84972760768,3.6,28.4,24.799999999999997,871.6206391330754,1148.7021590399988,277.0815199069234,48.5,1.0,48.490999937057495
VRE120_base,M1b,11.2,103.8,92.6,92.6,8.267857142857142,4707.447733675359,39203.56292515265,34496.11519147729,7.327986871676706,9712.357466792264,51633.395830432644,41921.03836364038,3.6,24.6,21.0,871.6206391330754,1148.7021590399988,277.0815199069234,48.5,0.4,121.22749984264374
VRE120_base,M1c,11.2,11.2,0.0,0.0,0.0,4707.447733675359,4707.447733675359,0.0,0.0,9712.357466792264,9712.357466792266,1.8189894035458565e-12,3.6,3.6,0.0,871.6206391330754,871.6206391330754,0.0,48.5,0.4,121.22749984264374
VRE120_base,M2_rm1000_b48,11.2,11.2,0.0,0.0,0.0,4707.447733675359,4707.44773367536,9.094947017729282e-13,1.9320335630425292e-16,9712.357466792264,9712.357466792264,0.0,3.6,3.6,0.0,871.6206391330754,986.4873621730754,114.86672304000001,48.5,4.0,12.122749984264374
VRE120_bal15,M1,3.6,63.8,60.199999999999996,60.199999999999996,16.72222222222222,698.6329009323001,21058.312823839977,20359.679922907675,29.142171655154552,2163.9924513307533,26724.44177199998,24560.449320669228,1.4,22.6,21.200000000000003,267.93913441307444,1044.0021590399992,776.0630246269247,47.4,0.3,158.1666660308838
VRE120_bal15,M1b,3.6,48.6,45.0,45.0,12.5,698.6329009323001,17635.23978837882,16936.60688744652,24.2424982631726,2163.9924513307533,22994.219044065354,20830.2265927346,1.4,16.4,14.999999999999998,267.93913441307444,1044.0021590399992,776.0630246269247,47.4,0.4,118.62499952316284
VRE120_bal15,M1c,3.6,3.6,0.0,0.0,0.0,698.6329009323001,698.632900932301,9.094947017729282e-13,1.3018205992864647e-15,2163.9924513307533,2163.992451330755,1.8189894035458565e-12,1.4,1.4,0.0,267.93913441307444,267.93913441307484,3.979039320256561e-13,47.4,0.5,94.89999961853027
VRE120_bal15,M2_rm1000_b48,3.6,3.4,-0.20000000000000018,0.20000000000000018,-0.0555555555555556,698.6329009323001,698.6329009323002,1.1368683772161603e-13,1.6272757491080808e-16,2163.9924513307533,2163.9924513307533,0.0,1.4,1.4,0.0,267.93913441307444,375.42895978615036,107.48982537307592,47.4,1.9,24.973684110139548
VRE120_wind_hvy,M1,4.4,67.2,62.800000000000004,62.800000000000004,14.272727272727273,1113.183684558451,21202.404920319976,20089.221235761524,18.0466364306534,2792.6310109961328,28366.462050799964,25573.83103980383,1.6,21.6,20.0,416.69079850615014,1034.5503558399992,617.859557333849,46.7,0.3,155.61000029246014
VRE120_wind_hvy,M1b,4.4,36.4,32.0,32.0,7.2727272727272725,1113.183684558451,13798.608819291514,12685.425134733063,11.395626176253913,2792.6310109961328,20642.742720065355,17850.11170906922,1.6,9.6,8.0,416.69079850615014,1034.330484399999,617.6396858938489,46.7,0.3,155.61000029246014
VRE120_wind_hvy,M1c,4.4,4.4,0.0,0.0,0.0,1113.183684558451,1113.1836845584533,2.2737367544323206e-12,2.0425530718537327e-15,2792.6310109961328,2792.631010996136,3.183231456205249e-12,1.6,1.6,0.0,416.69079850615014,416.6907985061513,1.1368683772161603e-12,46.7,1.3,35.9100000674908
VRE120_wind_hvy,M2_rm1000_b48,4.4,3.8,-0.6000000000000005,0.6000000000000005,-0.13636363636363646,1113.183684558451,1113.1836845584512,2.2737367544323206e-13,2.0425530718537328e-16,2792.6310109961328,2792.631010996133,4.547473508864641e-13,1.6,1.6,0.0,416.69079850615014,508.74838370615,92.05758519999983,46.7,1.7,27.460588286904727
