case,model,lolh,lolp_percent,lole_days,eue_mwh,neue_ppm,cvar_eue_mwh,p90_eue_mwh,p95_eue_mwh,p99_eue_mwh,n_shortage_events,mean_shortage_duration_h,max_shortage_duration_h,p95_shortage_duration_h,max_shortfall_mw,mean_shortfall_when_shedding_mw,lolh_ci95_halfwidth,eue_ci95_halfwidth_mwh,total_runtime_s,mean_runtime_s
VRE120_base,MC-NoStorage,95.4,1.089041095890411,25.3,31017.13551095997,688.1443563369432,51937.29936999995,44361.16160531997,49735.98232803996,53453.76222112796,27.0,3.533333333333333,10.0,7.0,1000.4147142799991,325.1272066138361,8.750842317351964,5036.057501551674,1.2009999752044678,0.06004999876022339
VRE120_base,M3-NoStorage,95.4,1.089041095890411,25.3,31017.135510959964,688.1443563369431,51937.29936999995,44361.16160531997,49735.98232803996,53453.76222112797,27.0,3.533333333333333,10.0,7.0,1000.4147142799997,325.1272066138361,8.750842317351964,5036.057501551674,151.58200001716614,7.579100000858307
VRE120_base,M3-WithStorage,5.95,0.06792237442922375,1.75,2479.16958463441,55.002711564565494,9782.932122726885,8387.089811914588,9719.414932385725,9826.688409406352,2.0,2.975,7.0,6.049999999999997,461.06735212653757,416.66715708141334,3.253323450517057,1499.9955123041589,180.3529999256134,9.01764999628067
VRE120_wind_hvy,MC-NoStorage,52.4,0.5981735159817352,17.4,15801.110836859982,350.56252188076996,26871.07462859997,24140.71930059997,25525.22594861998,27798.214830363973,18.5,2.8324324324324324,8.0,6.0,889.2628186999993,301.54791673396915,6.337421956334577,2963.2750340188404,1.882000207901001,0.09410001039505005
VRE120_wind_hvy,M3-NoStorage,52.4,0.5981735159817352,17.4,15801.110836859978,350.56252188076985,26871.07462859997,24140.71930059997,25525.22594861998,27798.214830363973,18.5,2.8324324324324324,8.0,6.0,889.2628186999993,301.54791673396903,6.337421956334577,2963.2750340188404,146.33699989318848,7.316849994659424
VRE120_wind_hvy,M3-WithStorage,2.25,0.025684931506849314,0.75,648.2368652992254,14.381745221688501,3528.3874707634404,1829.0691329584515,2866.2066569728645,3984.556475819175,0.85,2.6470588235294117,6.0,6.0,225.5296759530751,288.1052734663224,1.5568385644598715,499.70505439960624,174.53999996185303,8.726999998092651
