scenario_id,p1_discharge_hours,p2_discharge_hours,p3_charge_hours,idle_hours,p1_discharge_mwh,p2_discharge_mwh,p3_charge_mwh
1,0,296,373,8091,0.0,138383.98414479004,154797.20945563528
2,0,296,373,8091,0.0,138383.98414479004,154797.20945563528
3,0,296,373,8091,0.0,138383.98414479004,154797.20945563528
4,0,296,373,8091,0.0,138383.98414479004,154797.20945563528
5,0,296,373,8091,0.0,138383.98414479004,154797.20945563528
