scenario_id,p1_discharge_hours,p2_discharge_hours,p3_charge_hours,idle_hours,p1_discharge_mwh,p2_discharge_mwh,p3_charge_mwh
1,0,296,373,8091,0.0,552973.4000582469,618559.5808735352
2,0,296,373,8091,0.0,552973.4000582469,618559.5808735352
3,0,296,373,8091,0.0,552973.4000582469,618559.5808735352
4,0,296,373,8091,0.0,552973.4000582469,618559.5808735352
5,0,296,373,8091,0.0,552973.4000582469,618559.5808735352
