model,case,lolh,lolp_percent,lole_days,eue_mwh,neue_ppm,cvar_eue_mwh,p90_eue_mwh,p95_eue_mwh,p99_eue_mwh,n_shortage_events,mean_shortage_duration_h,max_shortage_duration_h,p95_shortage_duration_h,max_shortfall_mw,mean_shortfall_when_shedding_mw,lolh_ci95_halfwidth,eue_ci95_halfwidth_mwh,total_runtime_s,mean_runtime_s
MC-NoStorage,VRE120_base_nostorage,115.6,1.319634703196347,28.4,41846.39686943996,928.4017161599523,54383.20719439995,52426.480934879946,53404.844064639954,54187.53456844795,30.2,3.827814569536424,10.0,8.0,1148.7021590399988,361.99305250380587,15.100906462858449,8876.550806187859,0.5220000743865967,0.10440001487731934
M3-NoStorage,VRE120_base_nostorage,115.6,1.319634703196347,28.4,41846.39686943996,928.4017161599523,54383.207194399954,52426.48093487995,53404.844064639954,54187.534568447954,30.2,3.827814569536424,10.0,8.0,1148.7021590399995,361.99305250380587,15.100906462858449,8876.550806187859,39.950000047683716,7.990000009536743
HOPE-ED-NoStorage,VRE120_base_nostorage,115.6,1.319634703196347,NaN,41846.39686943996,928.4017161599523,54383.20719439995,52426.480934879946,53404.844064639954,54187.53456844795,30.2,3.834795638685582,NaN,NaN,1302.4009067999978,NaN,NaN,NaN,614.27,122.854
HOPE-UC-NoStorage,VRE120_base_nostorage,115.6,1.319634703196347,NaN,41846.39686943996,928.4017161599523,54383.20719439995,52426.480934879946,53404.84406463995,54187.53456844795,30.2,3.834795638685582,NaN,NaN,1302.4009067999991,NaN,NaN,NaN,4331.12,866.2239999999999
