case_folder,mode,hour,load_shed_mw
RAChronoOps_VRE120_base_s005_ED,ED,4986,319.40090679999867
RAChronoOps_VRE120_base_s005_ED,ED,4987,987.8280080653792
RAChronoOps_VRE120_base_s005_ED,ED,4988,102.71957839999959
RAChronoOps_VRE120_base_s005_ED,ED,5004,238.49886639999932
RAChronoOps_VRE120_base_s005_ED,ED,5006,466.7803295999993
RAChronoOps_VRE120_base_s005_ED,ED,5010,305.38050286537964
RAChronoOps_VRE120_base_s005_ED,ED,5011,1034.8834419999985
RAChronoOps_VRE120_base_s005_ED,ED,5012,1036.0900187999996
RAChronoOps_VRE120_base_s005_ED,ED,5055,176.7416116000004
RAChronoOps_VRE120_base_s005_ED,ED,5057,1090.5623487999992
RAChronoOps_VRE120_base_s005_ED,ED,5058,121.33935839999958
RAChronoOps_VRE120_base_s005_ED,ED,5059,486.8390464653801
RAChronoOps_VRE120_base_s005_ED,ED,5062,83.93275919999905
RAChronoOps_VRE120_base_s005_ED,ED,5415,257.82143726537527
RAChronoOps_VRE120_base_s005_ED,ED,5725,159.40802879999865
RAChronoOps_VRE120_base_s005_ED,ED,5727,240.36297686537523
RAChronoOps_VRE120_base_s005_UC,UC,4959,206.51810040000055
RAChronoOps_VRE120_base_s005_UC,UC,4961,516.1158888
RAChronoOps_VRE120_base_s005_UC,UC,4962,14.759710399999676
RAChronoOps_VRE120_base_s005_UC,UC,4963,170.27738640000098
RAChronoOps_VRE120_base_s005_UC,UC,4964,68.78908159999901
RAChronoOps_VRE120_base_s005_UC,UC,4965,28.17271406538009
RAChronoOps_VRE120_base_s005_UC,UC,4966,114.94350320000012
RAChronoOps_VRE120_base_s005_UC,UC,4983,339.5378843999997
RAChronoOps_VRE120_base_s005_UC,UC,4984,872.2972087999997
RAChronoOps_VRE120_base_s005_UC,UC,4985,161.65397719999964
RAChronoOps_VRE120_base_s005_UC,UC,4986,1211.0946080653791
RAChronoOps_VRE120_base_s005_UC,UC,4987,206.83709799999997
RAChronoOps_VRE120_base_s005_UC,UC,4988,102.71957839999959
RAChronoOps_VRE120_base_s005_UC,UC,5004,238.49886639999932
RAChronoOps_VRE120_base_s005_UC,UC,5006,466.7803296000002
RAChronoOps_VRE120_base_s005_UC,UC,5007,900.939763599999
RAChronoOps_VRE120_base_s005_UC,UC,5009,919.283191200001
RAChronoOps_VRE120_base_s005_UC,UC,5011,205.80495686537847
RAChronoOps_VRE120_base_s005_UC,UC,5012,53.0900187999996
RAChronoOps_VRE120_base_s005_UC,UC,5013,297.2360331999994
RAChronoOps_VRE120_base_s005_UC,UC,5055,176.7416116000004
RAChronoOps_VRE120_base_s005_UC,UC,5056,733.5883324000001
RAChronoOps_VRE120_base_s005_UC,UC,5057,107.56234879999829
RAChronoOps_VRE120_base_s005_UC,UC,5058,846.3451988653802
RAChronoOps_VRE120_base_s005_UC,UC,5059,11.244873599999664
RAChronoOps_VRE120_base_s005_UC,UC,5062,83.93275919999905
RAChronoOps_VRE120_base_s005_UC,UC,5415,257.82143726537606
RAChronoOps_VRE120_base_s005_UC,UC,5725,159.4080287999991
RAChronoOps_VRE120_base_s005_UC,UC,5727,240.362976865377
RAChronoOps_VRE120_base_s006_ED,ED,5391,1074.1215896000003
RAChronoOps_VRE120_base_s006_ED,ED,5392,99.98836200000005
RAChronoOps_VRE120_base_s006_ED,ED,5393,1155.7642731999986
RAChronoOps_VRE120_base_s006_ED,ED,5394,120.05589486538133
