model,case,n_scenarios,ref_model,lolh_error_vs_full_ed,eue_error_vs_full_ed,cvar_error_vs_full_ed,event_count_error_vs_full_ed,max_event_dur_error_vs_full_ed,max_shortfall_error_vs_full_ed,speedup_vs_full_ed
M1c,VRE120_base,20,M3,0.0,-4.547473508864641e-13,1.8189894035458565e-12,0.0,0.0,-1.1368683772161603e-13,193.5072780615135
M2,VRE120_base,20,M3,-0.20000000000000018,-4.547473508864641e-13,0.0,0.8999999999999999,0.0,73.6795495199998,21.758584963088968
M1c,VRE120_base,50,M3,0.0,0.0,0.0,0.0,0.0,0.0,205.23280488496036
M2,VRE120_base,50,M3,-0.39999999999999947,0.0,1.8189894035458565e-12,1.02,-1.0,96.56511051853761,23.9648858791539
M1c,VRE120_base,100,M3,0.0,0.0,0.0,0.0,0.0,0.0,196.75562600708108
M2,VRE120_base,100,M3,-0.4500000000000002,0.0,1.8189894035458565e-12,0.7399999999999998,0.0,91.61985632457618,22.261177237998496
M1c,VRE120_base,200,M3,0.004999999999999893,0.0,0.0,-0.004999999999999893,0.0,-1.3795080543266067,147.605765044816
M2,VRE120_base,200,M3,-0.33499999999999996,4.547473508864641e-13,3.637978807091713e-12,0.7850000000000001,1.0,70.00222908367323,18.92816466785437
