case_name,case_label,method,paper_name,n_scenarios,seed,lolh_hours,eue_mwh,neue_ppm,cvar_eue_mwh,lolh_ci95_halfwidth,eue_ci95_halfwidth,cc_delta_1mw,runtime_s
VRE120_base,Balanced VRE,MP_pure_cur,Market-pattern storage MCS,20,42,46.1,13661.964293680852,303.10354164881875,26276.411384563893,6.196269777688406,2974.7258661612336,0.14332290379962212,0.9499998092651367
VRE120_base,Balanced VRE,MP_emergency_cur,Market-pattern + emergency storage MCS,20,42,9.15,4338.3190474742105,96.24969293033354,15811.603929068251,4.1242811431046285,2328.4833616449864,0.3357857014089125,0.9549999237060547
VRE120_base,Balanced VRE,MP_pure_cur,Market-pattern storage MCS,50,42,47.86,14765.844065025834,327.5941537640848,33717.43689068887,4.2134222859808395,2103.115666979853,0.14525902275961025,2.7339999675750732
VRE120_base,Balanced VRE,MP_emergency_cur,Market-pattern + emergency storage MCS,50,42,9.78,4876.851164678143,108.19753502004305,20103.05369352747,2.599202462294925,1579.4318334634063,0.35385714987128364,2.307999849319458
VRE120_base,Balanced VRE,MP_pure_cur,Market-pattern storage MCS,100,42,47.37,14531.689070557442,322.3992047368094,34353.78604844443,2.641491017886632,1404.1124870425583,0.1428426266467666,5.357000112533569
VRE120_base,Balanced VRE,MP_emergency_cur,Market-pattern + emergency storage MCS,100,42,9.26,4604.188573573092,102.14825870350995,20495.19516525963,1.7108716776467303,1103.704140224734,0.41243606943493466,4.696000099182129
VRE120_base,Balanced VRE,MP_pure_cur,Market-pattern storage MCS,200,42,47.675,15060.823641894725,334.1385534229527,38370.69503886439,1.9500237944689227,1092.9595196053833,0.14316715147891887,13.289000034332275
VRE120_base,Balanced VRE,MP_emergency_cur,Market-pattern + emergency storage MCS,200,42,9.99,5221.20728459356,115.83739977822323,25095.46221745029,1.2683993787922647,883.610438512824,0.4180462543454324,13.194000005722046
VRE120_wind_hvy,Wind-heavy,MP_pure_cur,Market-pattern storage MCS,20,42,23.9,7160.637802265563,158.86549193625112,14518.044484237502,3.17922188427824,1706.8899667524693,0.12801498763529975,0.9069998264312744
VRE120_wind_hvy,Wind-heavy,MP_emergency_cur,Market-pattern + emergency storage MCS,20,42,2.85,1117.3947300403315,24.79045419929876,5509.257854220394,1.8554733259084846,810.2485026529207,0.4295022719601434,1.312000036239624
VRE120_wind_hvy,Wind-heavy,MP_pure_cur,Market-pattern storage MCS,50,42,25.62,7909.600193789424,175.48192779808787,19172.488242735595,2.6844334672328904,1260.3890176695752,0.13143703938675322,2.755999803543091
VRE120_wind_hvy,Wind-heavy,MP_emergency_cur,Market-pattern + emergency storage MCS,50,42,3.56,1565.9538763997232,34.742161214327986,9245.617229506151,1.3945686644980948,726.0830422946696,NaN,2.3470001220703125
VRE120_wind_hvy,Wind-heavy,MP_pure_cur,Market-pattern storage MCS,100,42,25.56,7823.648410135713,173.57500654749413,19722.200626900412,1.7768919700227452,866.9216260812857,0.13025617009410353,5.068000078201294
VRE120_wind_hvy,Wind-heavy,MP_emergency_cur,Market-pattern + emergency storage MCS,100,42,3.29,1519.9986270048403,33.7226007360894,9774.41994940517,0.9291021485413982,528.0138708782566,1.305449931600991,4.675999879837036
VRE120_wind_hvy,Wind-heavy,MP_pure_cur,Market-pattern storage MCS,200,42,26.34,8278.726041816544,183.67133229703637,23388.904660046675,1.3606574361287498,708.3563012864716,0.133166218203269,14.421000003814697
VRE120_wind_hvy,Wind-heavy,MP_emergency_cur,Market-pattern + emergency storage MCS,200,42,4.05,1920.0351046385058,42.59778665760188,13690.6061902283,0.7651522133195059,494.88664980612833,0.8968094539072129,13.24400019645691
