portfolio,scenario,hour,highs_load_shed_mw,gurobi_load_shed_mw,abs_diff_mw,thermal_avail_mw,vre_output_mw,load_mw,highs_storage_discharge_mw,highs_storage_charge_mw,highs_soc_mwh,gurobi_storage_discharge_mw,gurobi_storage_charge_mw,gurobi_soc_mwh,window_start,window_end,inside_window,dispute_type
VRE120_base,1,4984,0.0,668.2972087999997,668.2972087999997,7450.0,917.7,9035.9972088,668.2972087999997,0.0,3227.5528887529595,0.0,0.0,3932.0,4578,6259,true,Gurobi_only
VRE120_base,1,4985,0.0,242.90435486537865,242.90435486537865,7526.0,625.0,9015.6539772,864.6539771999996,0.0,2316.12757012786,621.749622334621,0.0,3276.618353024367,4578,6259,true,Gurobi_only
VRE120_base,1,4988,805.7195783999996,0.0,805.7195783999996,7526.0,57.400000000000006,8389.1195784,0.0,0.0,320.9020803467448,805.7195783999996,0.0,432.0898555317173,4578,6259,true,HiGHS_only
VRE120_base,1,4989,105.48198526537908,0.0,105.48198526537908,7526.0,80.7,8016.616429199999,304.4344439346208,0.0,0.0,409.9164291999996,0.0,0.0,4578,6259,true,HiGHS_only
VRE120_base,1,5006,0.0,169.7803296000002,169.7803296000002,7563.0,1884.8999999999999,9617.6803296,169.7803296000002,0.0,3753.0358188566315,0.0,0.0,3932.0,4578,6259,true,Gurobi_only
VRE120_base,1,5007,0.0,101.76964566537771,101.76964566537771,7563.0,1502.0000000000005,9668.9397636,603.9397635999994,0.0,3116.4274113500815,502.1701179346217,0.0,3402.6662181504084,4578,6259,true,Gurobi_only
VRE120_base,1,5011,271.5499752653777,0.0,271.5499752653777,7563.0,393.5,8694.383441999998,466.3334667346209,0.0,779.0692851015555,737.8834419999985,0.0,779.0692851015555,4578,6259,true,HiGHS_only
VRE120_base,1,6063,0.0,249.31983639999999,249.31983639999999,6829.0,1503.1,8581.4198364,249.31983639999999,0.0,3669.1938170384815,0.0,0.0,3932.0,4578,6259,true,Gurobi_only
VRE120_base,1,6064,0.0,97.95730366537919,97.95730366537919,6829.0,1319.4,8596.351686,447.95168600000034,0.0,3197.0112805476274,349.99438233462115,0.0,3563.0735278529323,4578,6259,true,Gurobi_only
VRE120_base,1,6068,347.27714006537917,0.0,347.27714006537917,6841.0,125.6,7606.878596399999,293.00145633461926,0.0,0.0,640.2785963999986,0.0,0.0,4578,6259,true,HiGHS_only
VRE120_base,2,4983,0.0,84.53788439999971,84.53788439999971,7501.0,1281.8,8867.3378844,84.53788439999971,0.0,3842.8892455746613,0.0,0.0,3932.0,4075,6258,true,Gurobi_only
VRE120_base,2,4984,0.0,617.2972087999997,617.2972087999997,7501.0,917.7,9035.9972088,617.2972087999997,0.0,3192.200854550483,0.0,0.0,3932.0,4075,6258,true,Gurobi_only
VRE120_base,2,4987,934.837098,0.0,934.837098,7501.0,52.400000000000006,8488.237098,0.0,0.0,1334.0974909127249,934.837098,0.0,1334.0974909127249,4075,6258,true,HiGHS_only
VRE120_base,2,5005,0.0,450.34828480000033,450.34828480000033,7011.0,1880.9,9342.2482848,450.34828480000033,0.0,3457.291226560604,0.0,0.0,3932.0,4075,6258,true,Gurobi_only
VRE120_base,2,5007,0.0,353.7696456653772,353.7696456653772,7521.0,1502.0000000000005,9668.9397636,645.9397635999994,0.0,2776.4109318116966,292.17011793462217,0.0,3624.0256543621945,4075,6258,true,Gurobi_only
