case,method,eue_base_mwh,eue_storage_mwh,eue_perfect_100mw_mwh,eue_perfect_500mw_mwh,eue_improvement_storage_mwh,eue_improvement_100mw_mwh,pjm_ratio_100mw,pjm_ratio_500mw,ratio_error_vs_full_year_ed,efc_mw
VRE120_base,M1,31017.135510959964,31017.13551095997,22519.569294459932,4747.016902319994,-7.275957614183426e-12,8497.566216500032,-8.56240178517872e-16,-2.7696706370371845e-16,-3.3583693494394145,0.0
VRE120_base,M1b,31017.135510959964,28272.404933872655,22519.569294459932,4747.016902319994,2744.73057708731,8497.566216500032,0.3230019639926744,0.10448108811296332,-3.0353673854467393,29.726028442382812
VRE120_base,M1c,31017.135510959964,2479.1695846344096,22519.569294459932,4747.016902319994,28537.965926325556,8497.566216500032,3.358369349439414,1.0863280197349288,4.440892098500626e-16,641.3841247558594
VRE120_base,M2,31017.135510959964,2479.1695846344096,22519.569294459932,4747.016902319994,28537.965926325556,8497.566216500032,3.358369349439414,1.0863280197349288,4.440892098500626e-16,641.3841247558594
VRE120_base,M3,31017.135510959964,2479.16958463441,22519.569294459932,4747.016902319994,28537.965926325553,8497.566216500032,3.3583693494394136,1.0863280197349285,0.0,641.3841247558594
VRE120_wind_hvy,M1,15801.110836859978,15801.110836859982,11223.967985279976,2139.4664960599957,-3.637978807091713e-12,4577.142851580002,-7.948143470846458e-16,-2.662914299581806e-16,-3.3105529940648624,0.0
VRE120_wind_hvy,M1b,15801.110836859978,8982.377867510268,11223.967985279976,2139.4664960599957,6818.73296934971,4577.142851580002,1.4897356692714814,0.4991150991235969,-1.82081732479338,161.58103942871094
VRE120_wind_hvy,M1c,15801.110836859978,648.2368652992261,11223.967985279976,2139.4664960599957,15152.873971560752,4577.142851580002,3.3105529940648615,1.109154476105579,0.0,762.02392578125
VRE120_wind_hvy,M2,15801.110836859978,648.2368652992255,11223.967985279976,2139.4664960599957,15152.873971560752,4577.142851580002,3.3105529940648615,1.109154476105579,0.0,762.02392578125
VRE120_wind_hvy,M3,15801.110836859978,648.2368652992254,11223.967985279976,2139.4664960599957,15152.873971560752,4577.142851580002,3.3105529940648615,1.109154476105579,0.0,762.02392578125
