portfolio,solver,lolh,events_per_year,mean_duration_h,max_duration_h,max_shortfall_mw,eue_mwh
VRE120_base,Gurobi,7.2,2.9,2.4827586206896552,8,1439.837098,2479.169584634409
VRE120_wind_hvy,Gurobi,2.25,0.95,2.3684210526315788,7,1335.0370979999989,648.2368652992254
