case,model,model_internal,n_scen,delta_mw,eue_hope_uced_mean_mwh,eue_fixed_uc_baseline_mean_mwh,eue_fixed_uc_storage_mean_mwh,eue_fixed_uc_perfect_mean_mwh,delta_eue_storage_mwh,delta_eue_perfect_mwh,normalized_marginal_cc,fixed_uc_vs_hope_diff_pct,milp_reopt_note
VRE120_base,PCM-UCED (fixed-UC),HOPE-UC-FixedUC,20,1.0,2479.1695846344096,2479.169796177632,2472.52880154801,2465.819584634364,6.640994629622128,13.35021154326796,0.4974448987642407,8.532825825532753e-6,infeasible: ~19 h for N=20
VRE120_base,PCM-UCED (fixed-UC),HOPE-UC-FixedUC,20,5.0,2479.1695846344096,2479.169796177632,2445.965669202596,2412.582504054364,33.20412697503616,66.58729212326807,0.4986556130495267,8.532825825532753e-6,infeasible: ~19 h for N=20
VRE120_base,PCM-UCED (fixed-UC),HOPE-UC-FixedUC,20,10.0,2479.1695846344096,2479.169796177632,2412.7617537708275,2346.605048131096,66.40804240680473,132.56474804653635,0.5009479773875664,8.532825825532753e-6,infeasible: ~19 h for N=20
VRE120_wind_hvy,PCM-UCED (fixed-UC),HOPE-UC-FixedUC,5,1.0,1113.183684558452,1113.1836845584235,1108.030004727781,1104.9836845584236,5.153679830642432,8.199999999999818,0.6284975403222617,2.553191339817164e-12,infeasible: ~5 h for N=5
VRE120_wind_hvy,PCM-UCED (fixed-UC),HOPE-UC-FixedUC,5,5.0,1113.183684558452,1113.1836845584235,1087.415285405211,1072.1836845584232,25.768399153212385,41.00000000000023,0.6284975403222498,2.553191339817164e-12,infeasible: ~5 h for N=5
VRE120_wind_hvy,PCM-UCED (fixed-UC),HOPE-UC-FixedUC,5,10.0,1113.183684558452,1113.1836845584235,1062.5849125719997,1032.1217108784244,50.5987719864238,81.06197367999903,0.6241986185306561,2.553191339817164e-12,infeasible: ~5 h for N=5
