portfolio,delta_mw,eue_base_highs,eue_base_gurobi,eue_base_absdiff,eue_stor_highs,eue_stor_gurobi,eue_stor_absdiff,eue_firm_highs,eue_firm_gurobi,eue_firm_absdiff,cc_highs,cc_gurobi,cc_absdiff,lolh_base_highs,lolh_base_gurobi,lolh_match,windows_identical,lp_obj_max_absdiff,eue_pass,cc_pass,lolh_pass,obj_pass,overall_pass
VRE120_base,1.0,2479.16958463441,2479.169584634409,9.094947017729282e-13,2472.5288015480555,2472.5288015480555,0.0,2465.8195846344092,2465.8195846344092,0.0,0.49743693530742505,0.4974369353073908,3.425038030968608e-14,5.75,7.2,false,true,1.8189894035458565e-12,true,true,false,true,false
VRE120_base,5.0,2479.16958463441,2479.169584634409,9.094947017729282e-13,2445.9656692026415,2445.9656692026415,0.0,2412.5825040544096,2412.5825040544096,0.0,0.49865402030767825,0.4986540203076714,6.827871601444713e-15,5.75,7.2,false,true,1.8189894035458565e-12,true,true,false,true,false
VRE120_base,10.0,2479.16958463441,2479.169584634409,9.094947017729282e-13,2412.7617537708743,2412.7617537708734,9.094947017729282e-13,2346.6050481311404,2346.6050481311404,0.0,0.500947181012456,0.5009471810124595,3.4416913763379853e-15,5.75,7.2,false,true,1.8189894035458565e-12,true,true,false,true,false
VRE120_wind_hvy,1.0,648.2368652992254,648.2368652992254,0.0,645.7600253839041,645.7600253839041,0.0,644.1368652992254,644.1368652992254,0.0,0.6041072964198275,0.6041072964198275,0.0,1.95,2.25,false,true,4.547473508864641e-13,true,true,false,true,false
VRE120_wind_hvy,5.0,648.2368652992254,648.2368652992254,0.0,635.8526657226191,635.8526657226192,1.1368683772161603e-13,627.7368652992255,627.7368652992253,2.2737367544323206e-13,0.6041072964198232,0.604107296419811,1.2212453270876722e-14,1.95,2.25,false,true,4.547473508864641e-13,true,true,false,true,false
VRE120_wind_hvy,10.0,648.2368652992254,648.2368652992254,0.0,623.7029727260131,623.7029727260131,0.0,607.4713718792254,607.4713718792253,1.1368683772161603e-13,0.60182989373988,0.6018298937398784,1.6653345369377348e-15,1.95,2.25,false,true,4.547473508864641e-13,true,true,false,true,false
