case_name,case_label,model_label,model_paper_name,emergency_override,charge_curtailed,total_eue_mwh,pre_storage_shortfall_eue_mwh,missed_discharge_eue_mwh,charging_induced_eue_mwh,low_soc_shortfall_eue_mwh,pre_storage_pct,missed_discharge_pct,charging_induced_pct,low_soc_pct
VRE120_base,Balanced VRE,MP_pure,Market-pattern pure,false,false,14321.432064924249,13658.252623924036,13295.802870664897,663.1794410002086,3.912742734340975,0.9536932174105369,0.9283850113864449,0.0463067825894628,0.0002732089023362393
VRE120_base,Balanced VRE,MP_pure_cur,Market-pattern pure (curtailed),false,true,13661.964293680852,13661.964293680847,13295.802870664897,0.0,7.624412491150148,0.9999999999999996,0.9731984789928547,0.0,0.0005580758613661954
VRE120_base,Balanced VRE,MP_emergency,Market-pattern + emergency,true,false,4668.180331533712,4119.747436376407,0.0,548.4328951573054,3955.7297069964065,0.8825167718023609,0.0,0.11748322819763907,0.8473815118656239
VRE120_base,Balanced VRE,MP_emergency_cur,Market-pattern + emergency (curtailed),true,true,4338.3190474742105,4338.31904747421,0.0,0.0,4177.227355734211,0.9999999999999998,0.0,0.0,0.9628677167407069
VRE120_wind_hvy,Wind-heavy,MP_pure,Market-pattern pure,false,false,7559.513417621558,7160.637802265561,6971.715934745563,398.8756153559934,0.0,0.9472352791350036,0.9222440056120791,0.05276472086499599,0.0
VRE120_wind_hvy,Wind-heavy,MP_pure_cur,Market-pattern pure (curtailed),false,true,7160.637802265563,7160.637802265561,6971.715934745563,0.0,0.0,0.9999999999999998,0.9736166145060113,0.0,0.0
VRE120_wind_hvy,Wind-heavy,MP_emergency,Market-pattern + emergency,true,false,1455.601633783821,1074.5178583995184,0.0,381.0837753843026,965.9899291395186,0.7381950071094113,0.0,0.26180499289058873,0.6636361946286348
VRE120_wind_hvy,Wind-heavy,MP_emergency_cur,Market-pattern + emergency (curtailed),true,true,1117.3947300403318,1117.3947300403313,0.0,0.0,1008.8668007803317,0.9999999999999997,0.0,0.0,0.9028741353952128
