case,baseline_type,delta_mw,method,eue_baseline_mwh,eue_plus_storage_mwh,eue_plus_perfect_mwh,delta_eue_storage_mwh,delta_eue_perfect_mwh,normalized_marginal_cc,cc_error_vs_full_year_ed
VRE120_base,existing_storage,1.0,M1c,2479.16958463441,2472.5288015480564,2473.2195846344102,6.640783086353622,5.949999999999818,1.1160979977065253,-5.861977570020827e-14
VRE120_base,existing_storage,5.0,M1c,2479.16958463441,2445.9656692026415,2449.41958463441,33.203915431768564,29.75,1.1160979977065064,7.993605777301127e-14
VRE120_base,existing_storage,10.0,M1c,2479.16958463441,2412.7617537708734,2419.82772973441,66.40783086353667,59.34185490000027,1.1190723811286925,2.2870594307278225e-14
VRE120_base,existing_storage,1.0,M2,2479.16958463441,2472.5288015480555,2473.419584634409,6.640783086354531,5.7500000000009095,1.1549187976266924,0.03882079992010845
VRE120_base,existing_storage,5.0,M2,2479.16958463441,2445.9656692026415,2450.5498005144086,33.203915431768564,28.61978412000144,1.1601735111818479,0.04407551347542138
VRE120_base,existing_storage,10.0,M2,2479.16958463441,2412.7617537708743,2422.0498005144086,66.40783086353576,57.11978412000144,1.1626064749128133,0.043534093784143746
VRE120_base,existing_storage,1.0,M3,2479.16958463441,2472.528801548055,2473.2195846344093,6.640783086354986,5.950000000000728,1.116097997706584,0.0
VRE120_base,existing_storage,5.0,M3,2479.16958463441,2445.965669202643,2449.419584634409,33.2039154317672,29.75000000000091,1.1160979977064265,0.0
VRE120_base,existing_storage,10.0,M3,2479.16958463441,2412.7617537708747,2419.82772973441,66.40783086353531,59.34185490000027,1.1190723811286696,0.0
VRE120_wind_hvy,existing_storage,1.0,M1c,648.2368652992261,645.7600253839048,645.9868652992261,2.4768399153213068,2.25,1.100817740142803,-1.0613732115416497e-13
VRE120_wind_hvy,existing_storage,5.0,M1c,648.2368652992261,635.8526657226199,636.9868652992261,12.384199576606193,11.25,1.1008177401427728,1.9317880628477724e-14
VRE120_wind_hvy,existing_storage,10.0,M1c,648.2368652992261,623.7029727260137,626.0448807592262,24.53389257321237,22.191984539999908,1.1055294549701624,1.5765166949677223e-14
VRE120_wind_hvy,existing_storage,1.0,M2,648.2368652992254,645.7600253839041,646.2868652992256,2.4768399153213068,1.949999999999818,1.2701743155495067,0.16935657540659754
VRE120_wind_hvy,existing_storage,5.0,M2,648.2368652992254,635.8526657226191,638.4868652992257,12.384199576606306,9.749999999999773,1.2701743155493943,0.16935657540664084
VRE120_wind_hvy,existing_storage,10.0,M2,648.2368652992254,623.7029727260131,629.0066868159566,24.53389257321237,19.230178483268787,1.2758016049907221,0.1702721500205755
VRE120_wind_hvy,existing_storage,1.0,M3,648.2368652992254,645.760025383904,645.9868652992255,2.4768399153214204,2.2499999999998863,1.1008177401429091,0.0
VRE120_wind_hvy,existing_storage,5.0,M3,648.2368652992254,635.8526657226196,636.9868652992255,12.384199576605852,11.249999999999886,1.1008177401427535,0.0
VRE120_wind_hvy,existing_storage,10.0,M3,648.2368652992254,623.7029727260133,626.0448807592254,24.533892573212142,22.19198454000002,1.1055294549701467,0.0
