case,n_scenarios,seed,lookback_h,pre_storage_eue_mwh,bound_residual_eue_mwh,m3_eue_mwh,bound_minus_m3_mwh,storage_sufficiency_ratio
VRE120_base,20,42,72,31017.14,2479.17,2479.17,-0.0,0.94
VRE120_wind_hvy,20,42,72,15801.11,648.24,648.24,0.0,0.97
