portfolio,scenario,solver,eue_mwh,lolh_h,obj_value,status,runtime_s
VRE120_wind_hvy,20,Gurobi,0.0,0.0,5.455782356493999e8,OPTIMAL,8.228999853134155
VRE120_wind_hvy,1,HiGHS,514.1403548653743,1.0,5.418974021199082e8,OPTIMAL,412.7850000858307
VRE120_wind_hvy,2,HiGHS,537.1403548653743,1.0,5.490755645912896e8,OPTIMAL,401.96200013160706
VRE120_wind_hvy,3,HiGHS,0.0,0.0,5.380329379865414e8,OPTIMAL,395.93499994277954
VRE120_wind_hvy,4,HiGHS,1722.0067020653742,6.0,5.559065557610708e8,OPTIMAL,397.4599997997284
VRE120_wind_hvy,5,HiGHS,2792.631010996133,10.0,5.674272518281618e8,OPTIMAL,403.94799995422363
VRE120_wind_hvy,6,HiGHS,1513.2404797307545,8.0,5.491433257179836e8,OPTIMAL,413.625
VRE120_wind_hvy,7,HiGHS,0.0,0.0,5.365515261496448e8,OPTIMAL,403.3050000667572
VRE120_wind_hvy,8,HiGHS,0.0,0.0,5.347160382702368e8,OPTIMAL,396.54299998283386
VRE120_wind_hvy,9,HiGHS,0.0,0.0,5.287009399183443e8,OPTIMAL,397.8550000190735
VRE120_wind_hvy,10,HiGHS,0.0,0.0,5.3527222232809407e8,OPTIMAL,401.50999999046326
VRE120_wind_hvy,11,HiGHS,814.8024704653744,2.0,5.494482785259804e8,OPTIMAL,401.0859999656677
VRE120_wind_hvy,12,HiGHS,0.0,0.0,5.329586423410281e8,OPTIMAL,399.3789999485016
VRE120_wind_hvy,13,HiGHS,0.0,0.0,5.463487163950279e8,OPTIMAL,398.86500000953674
VRE120_wind_hvy,14,HiGHS,0.0,0.0,5.3123009096116656e8,OPTIMAL,400.4979999065399
VRE120_wind_hvy,15,HiGHS,4264.143930530749,8.0,5.765646925748668e8,OPTIMAL,399.7539999485016
VRE120_wind_hvy,16,HiGHS,0.0,0.0,5.3452461410676646e8,OPTIMAL,403.44799995422363
VRE120_wind_hvy,17,HiGHS,0.0,0.0,5.31059565240355e8,OPTIMAL,402.529000043869
VRE120_wind_hvy,18,HiGHS,806.632002465376,3.0,5.446891132625706e8,OPTIMAL,399.8239998817444
VRE120_wind_hvy,19,HiGHS,0.0,0.0,5.3682506131270367e8,OPTIMAL,397.99599981307983
VRE120_wind_hvy,20,HiGHS,0.0,0.0,5.455782356493983e8,OPTIMAL,400.88100004196167
