season,hour,norm_charge_mean,norm_discharge_mean,norm_charge_p50,norm_discharge_p50,sample_count
fall,0,0.05616947308943996,0.028196492219762278,0.031955071262896935,0.0,92
fall,1,0.08959023323969385,0.020414399612666136,0.08336105546842679,0.0,91
fall,2,0.160868079726041,0.00550839554089825,0.12067505172572258,0.0,91
fall,3,0.17740942574049803,0.0022501875156263024,0.16076774983196596,0.0,91
fall,4,0.10404646232511333,0.005857630993058946,0.07105537585165903,0.0,91
fall,5,0.01973009177831996,0.07646668968445783,0.0,0.04405922715781871,91
fall,6,0.003166934917324848,0.32342377737827355,0.0,0.3438064283134706,91
fall,7,0.03440879149842756,0.2665182415994984,0.0,0.17515348501263994,91
fall,8,0.41021403951833524,0.05016687898594724,0.38822434403867334,0.0,91
fall,9,0.7143226727983653,0.0036510979089527306,0.6918967603879423,0.0,91
fall,10,0.8871867181203337,0.0,0.9137959508967546,0.0,91
fall,11,0.9243020902684898,0.0,0.9237198860715674,0.0,90
fall,12,0.845990391179265,0.0,0.7752578158563691,0.0,91
fall,13,0.6191565208754929,0.0025199630833433653,0.5438316475797367,0.0,90
fall,14,0.43633034716299623,0.009500791732644388,0.37036126072401043,0.0,91
fall,15,0.2014711516412747,0.027621349398164134,0.1401259646683555,0.0,91
fall,16,0.039839692286401975,0.08778112461752764,0.0,0.050198627663416394,91
fall,17,0.0,0.6375650351815032,0.0,0.6070783676417479,91
fall,18,0.0,1.074244282261617,0.0,1.0704225352112675,91
fall,19,0.0,0.8967255207775251,0.0,0.90465872156013,91
fall,20,0.0,0.6873787101306061,0.0,0.6894185626579993,91
fall,21,0.0,0.4768810099254303,0.0,0.4507042253521127,91
fall,22,0.0014831375645873947,0.18716242226534752,0.0,0.1668472372697725,91
fall,23,0.04709397984495739,0.04871834557641708,0.000793914813985017,0.0,91
spring,0,0.03802161598280419,0.040047419410554744,0.0,0.00577825929938606,92
spring,1,0.09157634789140218,0.009479956663055256,0.06787971659571895,0.0,92
spring,2,0.13141879024106332,0.0046281030665598945,0.11035415914391739,0.0,92
spring,3,0.12481721597260095,0.004977467929090709,0.12305679616767765,0.0,92
spring,4,0.03358173368068145,0.027234757485829132,0.010320892581805222,0.0,92
spring,5,0.0018294558757046045,0.16212492345376606,0.0,0.15113759479956662,92
spring,6,0.0027010362693185904,0.3136550630426932,0.0,0.3076923076923077,92
spring,7,0.06523477213391017,0.10690564793442932,0.0,0.018057060310581435,92
spring,8,0.15738498236368195,0.02368615259001052,0.14250770911031055,0.0,92
spring,9,0.27544097815413876,0.00786659757878374,0.2500831664052804,0.0,92
spring,10,0.44725018455668986,0.0,0.4374470625057444,0.0,92
spring,11,0.558838363465823,0.0,0.5708247512552271,0.0,92
spring,12,0.5424466114096868,0.0,0.5434346901727443,0.0,92
spring,13,0.4891248762399756,0.0,0.4809138985714241,0.0,92
spring,14,0.3341949891434539,0.0024808830687581456,0.3181613617044956,0.0,92
spring,15,0.16545788789067092,0.00880085417746165,0.140522922075348,0.0,92
spring,16,0.060855296393721094,0.01658501735047969,0.023817444419550513,0.0,92
spring,17,0.020503713022047832,0.09672303609841883,0.0,0.01607078367641748,92
spring,18,0.0,0.4049335029126823,0.0,0.40520043336944744,92
spring,19,0.0,0.7120134407335877,0.0,0.6901408450704225,92
spring,20,0.0,0.6572181135867602,0.0,0.6672083784759841,92
spring,21,0.0,0.5009813619734012,0.0,0.5030697002527988,92
spring,22,0.0033137313975026795,0.19172672601943883,0.0,0.18436258577103648,92
spring,23,0.020079065322928757,0.03142722210977899,0.0,0.00036114120621162876,91
summer,0,0.06418197205449527,0.022991348312842493,0.037313996257295805,0.0,92
summer,1,0.11933747785433481,0.005322907343727919,0.09963630915511965,0.0,92
summer,2,0.16226928437145932,0.0011344544412517467,0.13615639059843043,0.0,92
summer,3,0.18247959409268666,0.0007850895787209322,0.15382099520959702,0.0,92
summer,4,0.10969831647149497,0.006206133119788969,0.06529949345026764,0.0,92
summer,5,0.0272692479586158,0.05202788638183617,0.0,0.016973636691946552,92
summer,6,0.03361193696164828,0.0615745756590827,0.0,0.014084507042253521,92
summer,7,0.30730543957413525,0.0030422221175436114,0.2742975682318234,0.0,92
summer,8,0.6122118756886201,0.0,0.6186581187978245,0.0,92
summer,9,0.6606665678682492,0.0,0.6742321557767756,0.0,92
summer,10,0.64465451420141,0.0,0.6422770845138788,0.0,92
summer,11,0.4979312900190159,0.0,0.5037389494734933,0.0,92
summer,12,0.3152618467316808,0.0009224802549970953,0.3068480756052091,0.0,92
summer,13,0.16262740898863737,0.01317380313093724,0.11293438228936867,0.0,92
summer,14,0.07074471353314314,0.03396690062336112,0.017069168500677863,0.0,92
summer,15,0.029573326820941884,0.06771005071678679,0.0,0.036475261827374504,92
summer,16,0.025064408448037846,0.07977295209383391,0.0,0.046406644998194295,92
summer,17,0.005125928255511958,0.18594846672005277,0.0,0.14626218851570966,92
summer,18,0.0,0.6167271185642281,0.0,0.6215240158902131,92
summer,19,0.0,0.9777662631306233,0.0,0.9853737811484291,92
summer,20,0.0,0.8537652896195455,0.0,0.8690863127482846,92
summer,21,0.0,0.5902853015529073,0.0,0.6076200794510653,92
summer,22,0.0011390951678915463,0.21504781195534414,0.0,0.21776814734561212,92
summer,23,0.0361533273172851,0.029601802565672745,0.0,0.00288912964969303,92
winter,0,0.055477002946130796,0.03641105894627022,0.028779412006956866,0.0,90
winter,1,0.08614416795522982,0.026744512660005614,0.053192292536996144,0.0,90
winter,2,0.14846207021519817,0.010942578548212352,0.12206440265019636,0.0,90
winter,3,0.1462126449089073,0.007431483487821516,0.10459827674252599,0.0,90
winter,4,0.09106643980193692,0.023397937482444526,0.02203113608808422,0.0,90
winter,5,0.034094230622801,0.10056177520966254,0.0,0.05922715781870711,90
winter,6,0.0024567252854980804,0.2788170619156535,0.0,0.24033947273383893,90
winter,7,0.007467209889314632,0.2644717306689138,0.0,0.24142289635247383,90
winter,8,0.08917868679979478,0.09483568075117368,0.02064178516361044,0.0,90
winter,9,0.289346664594695,0.013438465551141606,0.2883895561800574,0.0,90
winter,10,0.5320772976949029,0.00198226395409494,0.5404575096203004,0.0,90
winter,11,0.7128075944607366,0.000248786164279122,0.6722473687418131,0.0,90
winter,12,0.7396860215519849,0.0012118293808434653,0.7045993974117026,0.0,90
winter,13,0.6460305373288858,0.0017575538702299263,0.5843213030929726,0.0,90
winter,14,0.45472353098562934,0.004642670839853938,0.3431696783450236,0.0,90
winter,15,0.21719745055487877,0.020424541551302113,0.1006287026726009,0.0,90
winter,16,0.020293344773028126,0.17543437261747122,0.0,0.14608161791260382,90
winter,17,0.0,0.5988563861803298,0.0,0.6189960274467317,90
winter,18,0.0,0.6658681433329321,0.0,0.6475261827374503,90
winter,19,0.0,0.5722523173227398,0.0,0.5599494402311304,90
winter,20,0.0,0.4516391798081939,0.0,0.4344528710725894,90
winter,21,0.0029418954496000355,0.29509249227559087,0.0,0.2562296858071506,90
winter,22,0.011657315852013333,0.15883792785201234,0.0,0.0879378837125316,90
winter,23,0.03472495183613355,0.07046266201195779,0.0,0.012278801011195377,90
