season,hour,norm_charge_mean,norm_discharge_mean,norm_charge_p50,norm_discharge_p50,sample_count
fall,0,0.06016533986527863,0.023898126776265172,0.042434091729866376,0.0,92
fall,1,0.09209497616864899,0.01764035891879879,0.0892018779342723,0.0,91
fall,2,0.15842590057107936,0.004218605518713861,0.12314915131816541,0.0,91
fall,3,0.17423277336603443,0.0017183971680179697,0.1596244131455399,0.0,91
fall,4,0.10588183935962918,0.003718563848574683,0.0780065005417118,0.0,91
fall,5,0.0222399485671425,0.06739450509764702,0.0,0.030697002527988442,91
fall,6,0.0034566372594541607,0.31063699752757173,0.0,0.3304442036836403,91
fall,7,0.03558233027355454,0.2574341512586366,0.0,0.16179126038280967,91
fall,8,0.38408756285246,0.04769048214335322,0.3665583243048032,0.0,91
fall,9,0.6629401656487248,0.003357422642363054,0.6428313470566992,0.0,91
fall,10,0.8205009147587696,0.0,0.8447092813289996,0.0,91
fall,11,0.8542674852534008,0.0,0.8537378114842904,0.0,90
fall,12,0.7830216010064331,0.0,0.7186710003611412,0.0,91
fall,13,0.5762088198707916,0.002074555595682356,0.5081256771397616,0.0,90
fall,14,0.4094428503962632,0.008619765932875358,0.3503069700252799,0.0,91
fall,15,0.1927740010080205,0.02374007357756003,0.14084507042253522,0.0,91
fall,16,0.04142805551256255,0.07960187158453681,0.0,0.03683640303358613,91
fall,17,0.0,0.624202810551673,0.0,0.5937161430119177,91
fall,18,0.0,1.0608820576317868,0.0,1.0570603105814373,91
fall,19,0.0,0.8833632961476948,0.0,0.8912964969302998,91
fall,20,0.0,0.6740164855007758,0.0,0.676056338028169,91
fall,21,0.0,0.4635187852956001,0.0,0.4373420007222824,91
fall,22,0.002333527793982832,0.17478440663706105,0.0,0.15348501263994221,91
fall,23,0.04979383202568468,0.04230511272764795,0.014084507042253521,0.0,91
spring,0,0.041319264528082655,0.03341341247036287,0.007583965330444204,0.0,92
spring,1,0.09481919387002058,0.00762321980938025,0.07511737089201878,0.0,92
spring,2,0.13168307503886195,0.0033876615321808217,0.11375947995666305,0.0,92
spring,3,0.12598725014524156,0.004047136778306404,0.12531599855543518,0.0,92
spring,4,0.0384890165967937,0.02180978849686749,0.02275189599133261,0.0,92
spring,5,0.002390597767205238,0.14948890668425266,0.0,0.13777537016973637,92
spring,6,0.003364108844819194,0.30119961687628555,0.0,0.29433008306247743,92
spring,7,0.06584938841521817,0.10004396501640836,0.0,0.004694835680751174,92
