portfolio,case_label,method,N,seed,calibration_version,cyclic_soc_frac,total_eue,pre_storage_shortfall_eue,missed_discharge_eue,charging_induced_eue,low_soc_shortfall_eue,pre_storage_pct,missed_discharge_pct,charging_induced_pct,low_soc_pct,code_commit
VRE120_base,Balanced VRE,MP_emergency_cur,1000,42,pattern_energy_balanced,0.231,4427.316522786253,4427.316522786253,0.0,0.0,4208.216881969102,1.0,0.0,0.0,0.9505118643111462,c88914a
VRE120_wind_hvy,Wind-heavy,MP_emergency_cur,1000,42,pattern_energy_balanced,0.231,1580.143272480378,1580.143272480378,0.0,0.0,1430.6710009924036,1.0,0.0,0.0,0.9054058742069981,c88914a
