case_name,load_scale,model,n_scenarios,seed,lolh_hours,eue_mwh,neue_ppm,cvar_eue_mwh,eue_ci95_halfwidth_mwh,eue_ci95_rel_halfwidth,lolh_ci95_halfwidth,lolh_ci95_rel_halfwidth,runtime_s
rts_base,1.0,M1,20,42,0.1,5.79575020000002,0.15430101039960104,57.957502000000204,11.359670392000039,1.96,0.19599999999999995,1.9599999999999995,1.7230000495910645
rts_base,1.0,M3,20,42,0.0,0.0,0.0,0.0,0.0,NaN,0.0,NaN,7205.381999969482
load_scale_105,1.05,M1,20,42,1.35,169.6258582050006,4.300925005841588,1051.9808963000023,159.1198363428175,0.9380635595695198,1.037865319322614,0.7687891254241584,2.0920000076293945
load_scale_105,1.05,M3,20,42,0.0,0.0,0.0,0.0,0.0,NaN,0.0,NaN,7186.8099999427795
load_scale_110,1.1,M1,20,42,8.65,1641.4322732750068,39.72733147389878,6003.384648650018,908.3485982553872,0.5533878022533567,3.614830592230611,0.4178994904312845,2.134999990463257
load_scale_110,1.1,M3,20,42,0.05,4.008007951297714,0.09700519663448164,40.080079512977136,7.855695584543517,1.9599999999999995,0.09799999999999998,1.9599999999999995,7076.228999853134
load_scale_115,1.15,M1,20,42,35.9,8697.828447362477,201.35949264138233,19648.518903799966,2540.593022924515,0.2920950945744305,6.486417160416632,0.1806801437441959,2.1080000400543213
load_scale_115,1.15,M3,20,42,0.35,145.72100862413203,3.373521165808169,1317.3813147456603,208.15161027127647,1.428425538888328,0.4330481922859224,1.2372805493883499,7246.601999998093
load_scale_120,1.2,M1,20,42,95.4,31017.13551095997,688.1443563369432,51937.29936999995,5036.057501551673,0.1623637198790382,8.750842317351964,0.0917279068904818,0.9730000495910645
load_scale_120,1.2,M3,20,42,5.7,2479.1695846344096,55.00271156456548,9782.932122726885,1499.9955123041589,0.6050394945149973,3.0797253466058163,0.5403026923869853,7242.733000040054
