case,scenario_id,ref_model,test_model,ref_eue_mwh,test_eue_mwh,delta_eue_mwh,ref_lolh,test_lolh,delta_lolh
VRE120_wind_hvy,17,HOPE-ED,M3,0.0,0.0,0.0,0.0,0.0,0.0
VRE120_wind_hvy,18,HOPE-ED,M3,806.632002465374,806.632002465376,2.0463630789890885e-12,4.0,3.0,-1.0
VRE120_wind_hvy,19,HOPE-ED,M3,0.0,0.0,0.0,0.0,0.0,0.0
VRE120_wind_hvy,20,HOPE-ED,M3,0.0,0.0,0.0,0.0,0.0,0.0
VRE120_wind_hvy,1,HOPE-ED,HOPE-UC,514.1403548653747,514.1403548653761,1.4779288903810084e-12,3.0,2.0,-1.0
VRE120_wind_hvy,2,HOPE-ED,HOPE-UC,537.1403548653743,537.1403548653759,1.5916157281026244e-12,2.0,2.0,0.0
VRE120_wind_hvy,3,HOPE-ED,HOPE-UC,0.0,0.0,0.0,0.0,0.0,0.0
VRE120_wind_hvy,4,HOPE-ED,HOPE-UC,1722.0067020653748,1722.0067020653746,-2.2737367544323206e-13,5.0,6.0,1.0
VRE120_wind_hvy,5,HOPE-ED,HOPE-UC,2792.631010996133,2792.631010996133,0.0,9.0,11.0,2.0
VRE120_wind_hvy,6,HOPE-ED,HOPE-UC,1513.2404797307533,1516.4182689307531,3.177789199999779,6.0,10.0,4.0
VRE120_wind_hvy,7,HOPE-ED,HOPE-UC,0.0,0.06780320000498821,0.06780320000498821,0.0,1.0,1.0
VRE120_wind_hvy,8,HOPE-ED,HOPE-UC,0.0,0.0,0.0,0.0,0.0,0.0
VRE120_wind_hvy,9,HOPE-ED,HOPE-UC,0.0,0.0,0.0,0.0,0.0,0.0
VRE120_wind_hvy,10,HOPE-ED,HOPE-UC,0.0,0.0,0.0,0.0,0.0,0.0
VRE120_wind_hvy,11,HOPE-ED,HOPE-UC,814.8024704653753,860.1403548653739,45.33788439999853,2.0,3.0,1.0
VRE120_wind_hvy,12,HOPE-ED,HOPE-UC,0.0,0.0,0.0,0.0,0.0,0.0
VRE120_wind_hvy,13,HOPE-ED,HOPE-UC,0.0,0.5764741307532404,0.5764741307532404,0.0,4.0,4.0
VRE120_wind_hvy,14,HOPE-ED,HOPE-UC,0.0,0.0,0.0,0.0,0.0,0.0
VRE120_wind_hvy,15,HOPE-ED,HOPE-UC,4264.1439305307495,4456.143930530749,191.9999999999991,8.0,9.0,1.0
VRE120_wind_hvy,16,HOPE-ED,HOPE-UC,0.0,0.0678031999996161,0.0678031999996161,0.0,1.0,1.0
VRE120_wind_hvy,17,HOPE-ED,HOPE-UC,0.0,0.0,0.0,0.0,0.0,0.0
VRE120_wind_hvy,18,HOPE-ED,HOPE-UC,806.632002465374,806.6320024658925,5.185256668482907e-10,4.0,3.0,-1.0
VRE120_wind_hvy,19,HOPE-ED,HOPE-UC,0.0,0.0,0.0,0.0,0.0,0.0
VRE120_wind_hvy,20,HOPE-ED,HOPE-UC,0.0,0.06780319999961472,0.06780319999961472,0.0,1.0,1.0
