model,case,scenario_id,lolh,eue_mwh,max_shortfall_mw,n_shortage_events,mean_shortage_duration_h,runtime_s
M1c,VRE120_wind_hvy,1,2.0,514.140354865377,265.623925665378,1.0,2.0,0.0
M1c,VRE120_wind_hvy,2,2.0,537.140354865377,273.51642919999904,1.0,2.0,0.0
M1c,VRE120_wind_hvy,3,0.0,0.0,0.0,0.0,0.0,0.0
M1c,VRE120_wind_hvy,4,7.0,1722.006702065376,573.3940592653798,2.0,3.5,0.0
M1c,VRE120_wind_hvy,5,11.0,2792.631010996136,970.9195783999994,5.0,2.2,0.0
M1c,VRE120_wind_hvy,6,9.0,1513.2404797307554,339.3098683999997,2.0,4.5,0.0
M1c,VRE120_wind_hvy,7,0.0,0.0,0.0,0.0,0.0,0.0
M1c,VRE120_wind_hvy,8,0.0,0.0,0.0,0.0,0.0,0.0
M1c,VRE120_wind_hvy,9,0.0,0.0,0.0,0.0,0.0,0.0
M1c,VRE120_wind_hvy,10,0.0,0.0,0.0,0.0,0.0,0.0
M1c,VRE120_wind_hvy,11,3.0,814.8024704653772,457.08513446537927,2.0,1.5,0.0
M1c,VRE120_wind_hvy,12,0.0,0.0,0.0,0.0,0.0,0.0
M1c,VRE120_wind_hvy,13,0.0,0.0,0.0,0.0,0.0,0.0
M1c,VRE120_wind_hvy,14,0.0,0.0,0.0,0.0,0.0,0.0
M1c,VRE120_wind_hvy,15,8.0,4264.14393053075,1232.9195783999994,2.0,4.0,0.0
M1c,VRE120_wind_hvy,16,0.0,0.0,0.0,0.0,0.0,0.0
M1c,VRE120_wind_hvy,17,0.0,0.0,0.0,0.0,0.0,0.0
M1c,VRE120_wind_hvy,18,3.0,806.6320024653751,397.8249452653754,2.0,1.5,0.0
M1c,VRE120_wind_hvy,19,0.0,0.0,0.0,0.0,0.0,0.0
M1c,VRE120_wind_hvy,20,0.0,0.0,0.0,0.0,0.0,0.0
M2,VRE120_wind_hvy,1,1.0,514.1403548653743,514.1403548653743,1.0,1.0,1.0429999828338623
M2,VRE120_wind_hvy,2,2.0,537.1403548653743,273.51642919999904,2.0,1.0,0.4010000228881836
M2,VRE120_wind_hvy,3,0.0,0.0,0.0,0.0,0.0,0.33500003814697266
M2,VRE120_wind_hvy,4,6.0,1722.0067020653742,632.4311572653769,3.0,2.0,0.40799999237060547
M2,VRE120_wind_hvy,5,10.0,2792.631010996133,1123.6539771999996,5.0,2.0,0.6170001029968262
M2,VRE120_wind_hvy,6,6.0,1513.2404797307545,444.8835868653796,3.0,2.0,0.3299999237060547
M2,VRE120_wind_hvy,7,0.0,0.0,0.0,0.0,0.0,0.3320000171661377
M2,VRE120_wind_hvy,8,0.0,0.0,0.0,0.0,0.0,0.35899996757507324
M2,VRE120_wind_hvy,9,0.0,0.0,0.0,0.0,0.0,0.35199999809265137
M2,VRE120_wind_hvy,10,0.0,0.0,0.0,0.0,0.0,0.37599992752075195
M2,VRE120_wind_hvy,11,3.0,814.8024704653744,770.9195783999985,2.0,1.5,0.3489999771118164
M2,VRE120_wind_hvy,12,0.0,0.0,0.0,0.0,0.0,0.3689999580383301
