case_name,method,m3_lolh_hours,method_lolh_hours,lolh_error_h,lolh_rel_error,m3_lolp,method_lolp,lolp_error,m3_lole_days,method_lole_days,lole_days_error,m3_eue_mwh,method_eue_mwh,eue_error_mwh,eue_rel_error,m3_neue_ppm,method_neue_ppm,neue_ppm_error,neue_rel_error,m3_cvar_eue_mwh,method_cvar_eue_mwh,cvar_eue_error_mwh,cvar_eue_rel_error,m3_n_shortage_events,method_n_shortage_events,n_shortage_events_error,m3_max_shortfall_mw,method_max_shortfall_mw,max_shortfall_error_mw,m3_mean_shortfall_mw,method_mean_shortfall_mw,mean_shortfall_error_mw,runtime_ratio_vs_m3
VRE120_base,M1,5.95,95.4,89.45,15.033613445378151,0.0006792237442922375,0.01089041095890411,0.010211187214611873,1.75,25.3,23.55,2479.16958463441,31017.13551095997,28537.96592632556,11.511098757906835,55.002711564565494,688.1443563369432,633.1416447723777,11.511098757906835,9782.932122726885,51937.29936999995,42154.36724727307,4.308970635638326,2.0,27.0,25.0,461.06735212653757,1000.4147142799991,539.3473621534615,416.66715708141334,325.1272066138361,-91.53995046757723,124.93333333333334
VRE120_base,M1b,5.95,83.55,77.6,13.042016806722687,0.0006792237442922375,0.009537671232876712,0.008858447488584475,1.75,21.25,19.5,2479.16958463441,28272.404933872655,25793.235349238246,10.403981845010348,55.002711564565494,627.2499241086456,572.2472125440801,10.403981845010348,9782.932122726885,49454.931555232644,39671.99943250576,4.055225870405777,2.0,22.7,20.7,461.06735212653757,1000.2014303799991,539.1340782534616,416.66715708141334,338.3890476824974,-78.27810939891594,187.4
VRE120_bal15,M1,1.35,51.2,49.85,36.925925925925924,0.0001541095890410959,0.005844748858447489,0.005690639269406393,0.5,19.15,18.65,360.07474543961246,14923.62962241998,14563.554876980366,40.445921468887896,7.988597265733194,331.0947749221506,323.1061776564174,40.4459214688879,2721.961558698064,25914.21611879998,23192.254560101916,8.520419579766202,0.6,19.65,19.049999999999997,148.02942812980626,837.3424633799996,689.3130352501933,266.7220336589722,291.4771410628904,24.755107403918203,130.14285714285714
VRE120_bal15,M1b,1.35,36.75,35.4,26.222222222222218,0.0001541095890410959,0.004195205479452055,0.004041095890410959,0.5,12.75,12.25,360.07474543961246,11608.541477049017,11248.466731609404,31.23925483270491,7.988597265733194,257.54642300582213,249.55782574008893,31.239254832704912,2721.961558698064,22951.86762204901,20229.906063350943,7.432105717549909,0.6,13.2,12.6,148.02942812980626,808.3791601399992,660.3497320101928,266.7220336589722,315.8786796475923,49.15664598862014,165.63636363636363
VRE120_wind_hvy,M1,2.25,52.4,50.15,22.288888888888888,0.0002568493150684931,0.005981735159817351,0.005724885844748858,0.75,17.4,16.65,648.2368652992254,15801.110836859982,15152.873971560755,23.375520249941673,14.381745221688501,350.56252188076996,336.18077665908146,23.375520249941673,3528.3874707634404,26871.07462859997,23342.68715783653,6.615681342045423,0.85,18.5,17.65,225.5296759530751,889.2628186999993,663.7331427469243,288.1052734663224,301.54791673396915,13.442643267646758,79.54545454545453
VRE120_wind_hvy,M1b,2.25,25.0,22.75,10.11111111111111,0.0002568493150684931,0.0028538812785388126,0.0025970319634703197,0.75,7.25,6.5,648.2368652992254,8982.377867510268,8334.141002211043,12.856629186561324,14.381745221688501,199.2825105925377,184.9007653708492,12.856629186561321,3528.3874707634404,20155.20418984901,16626.816719085567,4.712298991212552,0.85,8.1,7.25,225.5296759530751,826.6689950999993,601.1393191469242,288.1052734663224,359.29511470041075,71.18984123408836,194.44444444444443
