model,lolh,lolp_percent,lole_days,eue_mwh,neue_ppm,cvar_eue_mwh,p50_eue_mwh,p90_eue_mwh,p95_eue_mwh,p99_eue_mwh,n_shortage_events,mean_shortage_duration_h,max_shortage_duration_h,p95_shortage_duration_h,max_shortfall_mw,mean_shortfall_when_shedding_mw,lolh_ci95_halfwidth,eue_ci95_halfwidth_mwh,total_runtime_s,mean_runtime_per_scenario_s
M1,95.4,1.089041095890411,25.3,31017.13551095997,688.1443563369432,51937.29936999995,29956.707036399963,44361.16160531997,49735.98232803996,53453.76222112796,27.0,3.533333333333333,10.0,7.0,1000.4147142799991,325.1272066138361,8.750842317351964,5036.057501551674,1.2829999923706055,0.06414999961853027
M1b,83.55,0.9537671232876712,21.25,28272.404933872655,627.2499241086456,49454.931555232644,27206.895672432653,41455.640668792665,47494.31370755265,50805.57940585665,22.7,3.6806167400881056,10.0,8.0,1000.2014303799991,338.3890476824974,9.374494613746274,5071.91154711576,0.9059998989105225,0.045299994945526126
M1c,5.95,0.06792237442922375,1.75,2479.1695846344096,55.00271156456548,9782.932122726887,758.1740287307521,8387.089811914591,9719.414932385727,9826.688409406352,2.0,2.975,7.0,6.049999999999997,461.06735212653746,416.6671570814134,3.253323450517057,1499.9955123041589,0.9190001487731934,0.045950007438659665
M2,5.75,0.0656392694063927,1.75,2479.1695846344096,55.00271156456548,9782.932122726885,758.1740287307525,8387.089811914586,9719.414932385725,9826.688409406352,2.9,1.9827586206896552,7.0,5.0,534.7469016465374,431.159927762506,3.1632027407277215,1499.9955123041589,8.889999866485596,0.4444999933242798
M3,5.95,0.06792237442922375,1.75,2479.16958463441,55.002711564565494,9782.932122726885,758.1740287307523,8387.089811914588,9719.414932385725,9826.688409406352,2.0,2.975,7.0,6.049999999999997,461.06735212653757,416.66715708141334,3.253323450517057,1499.9955123041589,190.48099994659424,9.524049997329712
HOPE-ED,6.25,0.07134703196347031,1.75,2479.169584634409,55.00271156456547,9782.932122726881,758.1740287307495,8387.089811914593,9719.414932385725,9826.688409406346,4.25,1.4705882352941178,5.0,3.799999999999997,552.3758969530749,396.66713354150545,3.2824033236254446,1499.9955123041586,2355.531000328064,117.77655001640319
HOPE-UC,7.25,0.08276255707762557,1.75,2479.1695846344096,55.00271156456548,9782.932122726887,758.1740287307516,8387.08981191459,9719.414932385727,9826.688409406352,4.1,1.7682926829268293,6.0,5.0,506.6410712763442,341.9544254668151,3.880797395001784,1499.995512304159,11438.443000221252,571.9221500110626
