model,total_runtime_s,mean_runtime_per_scenario_s
M1,1.2829999923706055,0.06414999961853027
M1b,0.9059998989105225,0.045299994945526126
M1c,0.9190001487731934,0.045950007438659665
M2,8.889999866485596,0.4444999933242798
M3,190.48099994659424,9.524049997329712
HOPE-ED,2355.531000328064,117.77655001640319
HOPE-UC,11438.443000221252,571.9221500110626
