model,lolh_diff,lolh_rel_pct,eue_diff_mwh,eue_rel_pct,cvar_eue_diff_mwh,cvar_eue_rel_pct,max_shortfall_diff_mw,n_events_diff
M1,89.15,1426.4,28537.965926325563,1151.109875790684,42154.36724727307,430.89706356383283,448.03881732692423,22.75
M1b,77.3,1236.8,25793.235349238246,1040.398184501035,39671.99943250576,405.5225870405778,447.82553342692427,18.45
M1c,-0.2999999999999998,-4.799999999999997,4.547473508864641e-13,1.8342728698550224e-14,5.4569682106375694e-12,5.578049752548525e-14,-91.3085448265374,-2.25
M2,-0.5,-8.0,4.547473508864641e-13,1.8342728698550224e-14,3.637978807091713e-12,3.71869983503235e-14,-17.62899530653749,-1.35
M3,-0.2999999999999998,-4.799999999999997,9.094947017729282e-13,3.668545739710045e-14,3.637978807091713e-12,3.71869983503235e-14,-91.30854482653729,-2.25
HOPE-UC,1.0,16.0,4.547473508864641e-13,1.8342728698550224e-14,5.4569682106375694e-12,5.578049752548525e-14,-45.73482567673068,-0.15000000000000036
