model,n_scenarios,seed,lolh_hours,eue_mwh,neue_ppm,n_events,max_shortfall_mw,cvar_eue_mwh,eue_se_mwh,eue_ci95_halfwidth_mwh,eue_ci95_rel_halfwidth,lolh_se,lolh_ci95_halfwidth,lolh_ci95_rel_halfwidth,runtime_s
M1,20,42,0.1,5.79575020000002,0.15430101039960104,0.05,4.539204449999988,57.957502000000204,5.79575020000002,11.359670392000039,1.96,0.09999999999999998,0.19599999999999995,1.9599999999999995,1.3980000019073486
M3,20,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0,NaN,7190.40299987793
