case_name,model,m3_lolh,model_lolh,lolh_error_vs_m3,m3_eue,model_eue,eue_error_vs_m3,m3_cvar,model_cvar,cvar_error_vs_m3,runtime_ratio_vs_m3
VRE120_base,M1,5.95,95.4,89.45,2479.16958463441,31017.13551095997,28537.96592632556,9782.932122726885,51937.29936999995,42154.36724727307,141.6
VRE120_base,M1b,5.95,83.55,77.6,2479.16958463441,28272.404933872655,25793.235349238246,9782.932122726885,49454.931555232644,39671.99943250576,197.9
VRE120_wind_hvy,M1,2.25,52.4,50.15,648.2368652992254,15801.110836859982,15152.873971560755,3528.3874707634404,26871.07462859997,23342.68715783653,162.6
VRE120_wind_hvy,M1b,2.25,25.0,22.75,648.2368652992254,8982.377867510268,8334.141002211043,3528.3874707634404,20155.20418984901,16626.816719085567,182.5
