scenario_id,event_start_hour,event_end_hour,event_duration_h,pre_storage_eue_mwh,event_peak_shortfall_mw,storage_power_mw,storage_energy_mwh,usable_initial_soc_mwh,feasible_charge_before_event_mwh,feasible_discharge_energy_mwh,feasible_discharge_power_limited_mwh,storage_coverage_bound_mwh,residual_eue_bound_mwh,case
1,4410,4411,2,207.20423159999973,149.70026400000006,983.0,3932.0,1966.0,3932.0,3730.2227279346203,207.20423159999973,207.20423159999973,0.0,VRE120_base
1,4434,4435,2,258.4786819999981,136.571411599999,983.0,3932.0,1966.0,3932.0,3730.2227279346203,258.4786819999981,258.4786819999981,0.0,VRE120_base
1,4747,4747,1,50.99171120000028,50.99171120000028,983.0,3932.0,1966.0,3932.0,3730.2227279346203,50.99171120000028,50.99171120000028,0.0,VRE120_base
1,4769,4772,4,1064.8003279999966,414.0228283999986,983.0,3932.0,1966.0,3932.0,3730.2227279346203,1064.8003279999966,1064.8003279999966,0.0,VRE120_base
1,4818,4820,3,372.56566439999915,197.14454599999954,983.0,3932.0,1966.0,3932.0,3730.2227279346203,372.56566439999915,372.56566439999915,0.0,VRE120_base
1,4866,4867,2,260.39283439999963,206.06780319999962,983.0,3932.0,1966.0,3932.0,3730.2227279346203,260.39283439999963,260.39283439999963,0.0,VRE120_base
1,4935,4935,1,68.59117559999868,68.59117559999868,983.0,3932.0,1966.0,3932.0,3730.2227279346203,68.59117559999868,68.59117559999868,0.0,VRE120_base
1,4937,4940,4,866.5319023999991,355.99726759999976,983.0,3932.0,1966.0,3932.0,3730.2227279346203,866.5319023999991,866.5319023999991,0.0,VRE120_base
1,4961,4965,5,1506.4627619999983,543.277386400001,983.0,3932.0,1966.0,3932.0,3730.2227279346203,1506.4627619999983,1506.4627619999983,0.0,VRE120_base
1,4983,4989,7,4816.363082799997,1022.4009067999987,983.0,3932.0,1966.0,3932.0,3730.2227279346203,4776.962175999998,3730.2227279346203,1086.1403548653766,VRE120_base
1,5006,5012,7,4001.7727032000003,739.0900187999996,983.0,3932.0,1966.0,3932.0,3730.2227279346203,4001.7727032000003,3730.2227279346203,271.54997526538,VRE120_base
1,5057,5058,2,88.90170719999787,51.33935839999958,983.0,3932.0,1966.0,3932.0,3730.2227279346203,88.90170719999787,88.90170719999787,0.0,VRE120_base
1,5391,5393,3,274.87422479999805,179.76427319999857,983.0,3932.0,1966.0,3932.0,3730.2227279346203,274.87422479999805,274.87422479999805,0.0,VRE120_base
1,5414,5417,4,1210.1695079999954,433.3098683999997,983.0,3932.0,1966.0,3932.0,3730.2227279346203,1210.1695079999954,1210.1695079999954,0.0,VRE120_base
1,5442,5442,1,36.36293079999996,36.36293079999996,983.0,3932.0,1966.0,3932.0,3730.2227279346203,36.36293079999996,36.36293079999996,0.0,VRE120_base
1,5725,5732,8,2757.9937335999975,484.3031484000003,983.0,3932.0,1966.0,3932.0,3730.2227279346203,2757.9937335999975,2757.9937335999975,0.0,VRE120_base
1,5752,5756,5,931.5649923999981,370.0160103999997,983.0,3932.0,1966.0,3932.0,3730.2227279346203,931.5649923999981,931.5649923999981,0.0,VRE120_base
1,5777,5780,4,746.4985843999975,289.48154279999926,983.0,3932.0,1966.0,3932.0,3730.2227279346203,746.4985843999975,746.4985843999975,0.0,VRE120_base
1,5826,5827,2,308.8075743999998,235.96750599999996,983.0,3932.0,1966.0,3932.0,3730.2227279346203,308.8075743999998,308.8075743999998,0.0,VRE120_base
1,5848,5851,4,1364.6175556000017,506.4151787999999,983.0,3932.0,1966.0,3932.0,3730.2227279346203,1364.6175556000017,1364.6175556000017,0.0,VRE120_base
1,5897,5897,1,209.89687879999838,209.89687879999838,983.0,3932.0,1966.0,3932.0,3730.2227279346203,209.89687879999838,209.89687879999838,0.0,VRE120_base
1,5899,5900,2,173.50966959999914,166.88933520000046,983.0,3932.0,1966.0,3932.0,3730.2227279346203,173.50966959999914,173.50966959999914,0.0,VRE120_base
1,5921,5923,3,372.84254560000136,241.10277600000063,983.0,3932.0,1966.0,3932.0,3730.2227279346203,372.84254560000136,372.84254560000136,0.0,VRE120_base
1,5945,5947,3,909.9890095999972,376.6838927999979,983.0,3932.0,1966.0,3932.0,3730.2227279346203,909.9890095999972,909.9890095999972,0.0,VRE120_base
1,5970,5971,2,266.88150439999845,233.21102879999944,983.0,3932.0,1966.0,3932.0,3730.2227279346203,266.88150439999845,266.88150439999845,0.0,VRE120_base
1,6040,6044,5,2185.4561644000005,682.5362400000004,983.0,3932.0,1966.0,3932.0,3730.2227279346203,2185.4561644000005,2185.4561644000005,0.0,VRE120_base
1,6063,6068,6,4152.010211199998,1057.5103431999987,983.0,3932.0,1966.0,3932.0,3730.2227279346203,4077.499867999999,3730.2227279346203,421.78748326537743,VRE120_base
2,4339,4340,2,308.5862647999993,194.25726599999962,983.0,3932.0,1966.0,3932.0,3730.2227279346203,308.5862647999993,308.5862647999993,0.0,VRE120_base
2,4410,4412,3,637.6067691999997,354.70026400000006,983.0,3932.0,1966.0,3932.0,3730.2227279346203,637.6067691999997,637.6067691999997,0.0,VRE120_base
2,4431,4431,1,24.862125599998762,24.862125599998762,983.0,3932.0,1966.0,3932.0,3730.2227279346203,24.862125599998762,24.862125599998762,0.0,VRE120_base
2,4433,4436,4,1948.1089503999983,621.571411599999,983.0,3932.0,1966.0,3932.0,3730.2227279346203,1948.1089503999983,1948.1089503999983,0.0,VRE120_base
2,4699,4699,1,3.3406027999999424,3.3406027999999424,983.0,3932.0,1966.0,3932.0,3730.2227279346203,3.3406027999999424,3.3406027999999424,0.0,VRE120_base
2,4746,4748,3,646.2426623999991,313.9917112000003,983.0,3932.0,1966.0,3932.0,3730.2227279346203,646.2426623999991,646.2426623999991,0.0,VRE120_base
2,4768,4773,6,2965.329264799997,797.0228283999986,983.0,3932.0,1966.0,3932.0,3730.2227279346203,2965.329264799997,2965.329264799997,0.0,VRE120_base
2,4817,4821,5,1194.9690263999973,474.14454599999954,983.0,3932.0,1966.0,3932.0,3730.2227279346203,1194.9690263999973,1194.9690263999973,0.0,VRE120_base
2,4839,4841,3,292.27657999999974,169.51234640000075,983.0,3932.0,1966.0,3932.0,3730.2227279346203,292.27657999999974,292.27657999999974,0.0,VRE120_base
2,4843,4844,2,203.31707920000008,118.27092039999934,983.0,3932.0,1966.0,3932.0,3730.2227279346203,203.31707920000008,203.31707920000008,0.0,VRE120_base
2,4864,4868,5,1787.2607967999984,606.0678031999996,983.0,3932.0,1966.0,3932.0,3730.2227279346203,1787.2607967999984,1787.2607967999984,0.0,VRE120_base
2,4891,4891,1,34.359492399999,34.359492399999,983.0,3932.0,1966.0,3932.0,3730.2227279346203,34.359492399999,34.359492399999,0.0,VRE120_base
2,4912,4914,3,332.0974183999997,195.07083479999983,983.0,3932.0,1966.0,3932.0,3730.2227279346203,332.0974183999997,332.0974183999997,0.0,VRE120_base
2,4935,4935,1,88.59117559999868,88.59117559999868,983.0,3932.0,1966.0,3932.0,3730.2227279346203,88.59117559999868,88.59117559999868,0.0,VRE120_base
2,4937,4940,4,1026.5319023999991,395.99726759999976,983.0,3932.0,1966.0,3932.0,3730.2227279346203,1026.5319023999991,1026.5319023999991,0.0,VRE120_base
2,4962,4965,4,953.3468731999992,518.789081599999,983.0,3932.0,1966.0,3932.0,3730.2227279346203,953.3468731999992,953.3468731999992,0.0,VRE120_base
2,4983,4989,7,4839.363082799997,1047.4009067999987,983.0,3932.0,1966.0,3932.0,3730.2227279346203,4774.962175999998,3730.2227279346203,1109.1403548653766,VRE120_base
2,5005,5013,9,5143.3570211999995,781.0900187999996,983.0,3932.0,1966.0,3932.0,3730.2227279346203,5143.3570211999995,3730.2227279346203,1413.1342932653793,VRE120_base
2,5031,5031,1,184.8556668000001,184.8556668000001,983.0,3932.0,1966.0,3932.0,3730.2227279346203,184.8556668000001,184.8556668000001,0.0,VRE120_base
2,5033,5036,4,620.6781507999995,300.3956824000006,983.0,3932.0,1966.0,3932.0,3730.2227279346203,620.6781507999995,620.6781507999995,0.0,VRE120_base
2,5056,5060,5,1407.0262151999987,419.3393583999996,983.0,3932.0,1966.0,3932.0,3730.2227279346203,1407.0262151999987,1407.0262151999987,0.0,VRE120_base
2,5177,5180,4,731.1272359999984,259.38875519999965,983.0,3932.0,1966.0,3932.0,3730.2227279346203,731.1272359999984,731.1272359999984,0.0,VRE120_base
2,5225,5227,3,381.77324959999714,238.63549239999975,983.0,3932.0,1966.0,3932.0,3730.2227279346203,381.77324959999714,381.77324959999714,0.0,VRE120_base
2,5346,5347,2,445.9251815999987,257.1548264000003,983.0,3932.0,1966.0,3932.0,3730.2227279346203,445.9251815999987,445.9251815999987,0.0,VRE120_base
