model,lolh,lolp_percent,lole_days,eue_mwh,neue_ppm,cvar_eue_mwh,p50_eue_mwh,p90_eue_mwh,p95_eue_mwh,p99_eue_mwh,n_shortage_events,mean_shortage_duration_h,max_shortage_duration_h,p95_shortage_duration_h,max_shortfall_mw,mean_shortfall_when_shedding_mw,lolh_ci95_halfwidth,eue_ci95_halfwidth_mwh,total_runtime_s,mean_runtime_per_scenario_s
M1,115.6,1.319634703196347,28.4,41846.39686943996,928.4017161599523,54383.20719439995,40276.92264119996,52426.480934879946,53404.844064639954,54187.53456844795,30.2,3.827814569536424,10.0,8.0,1148.7021590399988,361.99305250380587,15.100906462858449,8876.550806187859,0.36099982261657715,0.07219996452331542
M1b,103.8,1.184931506849315,24.6,39203.56292515265,869.7679566738647,51633.395830432644,37527.111277232645,49890.624410272634,50762.01012035264,51459.118688416645,26.0,3.9923076923076923,10.0,8.0,1148.7021590399988,377.68365053133573,16.461666501299312,8967.05239578943,0.24900007247924805,0.04980001449584961
M1c,11.2,0.1278538812785388,3.6,4707.447733675359,104.43916039684521,9712.357466792266,2522.2746481307568,8629.05093473996,9170.704200766115,9604.026813587036,4.4,2.5454545454545454,6.0,5.0,871.6206391330754,420.30783336387134,6.968344423175421,3050.9595877547517,0.5130000114440918,0.10260000228881835
M2,11.2,0.1278538812785388,3.6,4707.44773367536,104.43916039684524,9712.357466792264,2522.274648130755,8629.05093473996,9170.704200766113,9604.026813587034,6.0,1.8666666666666667,5.0,4.0,986.4873621730754,420.3078333638714,7.05055345345314,3050.9595877547517,2.7739999294281006,0.5547999858856201
M3,11.2,0.1278538812785388,3.6,4707.447733675359,104.43916039684521,9712.357466792264,2522.2746481307545,8629.05093473996,9170.704200766113,9604.026813587034,4.4,2.5454545454545454,6.0,5.0,871.6206391330754,420.3078333638713,6.968344423175421,3050.9595877547517,47.681999921798706,9.536399984359742
HOPE-ED,11.8,0.13470319634703196,3.6,4707.447733675357,104.43916039684517,9712.357466792262,2522.274648130752,8629.050934739958,9170.704200766111,9604.026813587032,8.4,1.4047619047619047,4.0,3.0,1005.2880969061504,398.9362486165556,6.571117408782162,3050.9595877547517,607.1999999999999,121.43999999999998
HOPE-UC,15.2,0.1735159817351598,3.6,4707.447733675358,104.4391603968452,9712.357466792266,2522.274648130753,8629.050934739962,9170.704200766115,9604.026813587036,8.2,1.853658536585366,6.0,5.0,874.5238613861509,309.7005087944314,8.5524302978744,3050.959587754753,2882.8999999999996,576.5799999999999
