hour,rel_hour,scenario_id,m1c_load_shed_mw,m2_load_shed_mw,m3_load_shed_mw,m1c_storage_discharge_mw,m2_storage_discharge_mw,m3_storage_discharge_mw,m1c_soc_mwh,m2_soc_mwh,m3_soc_mwh
5007,24,15,0.0,772.590805665377,0.0,827.9397635999994,55.34895793462256,827.9397635999994,2515.2275315039506,3873.657075603248,2515.2275315039506
5008,25,15,0.0,0.0,0.0,679.3810847999994,679.3810847999994,679.3810847999994,1799.096989102618,3157.5265332019153,1799.096989102618
5009,26,15,0.0,0.0,0.0,846.283191200002,846.283191200001,846.283191200001,907.0361792000275,2265.465723299326,907.0361792000284
5010,27,15,36.92479926538181,897.4148731999994,36.92479926537965,860.4900739346189,0.0,860.4900739346198,0.0,2265.465723299326,0.0
5011,28,15,961.8834419999985,0.0,961.8834419999985,0.0,961.8834419999985,0.0,0.0,1251.551549858505,0.0
5012,29,15,963.0900187999996,0.0,963.0900187999996,0.0,963.0900187999996,0.0,0.0,236.36553279771056,0.0
5013,30,15,224.23603319999893,0.0,224.23603319999893,0.0,224.23603319999893,0.0,0.0,0.0,0.0
5014,31,15,0.0,0.0,0.0,0.0,0.0,0.0,932.5556819836551,0.0,0.0
5015,32,15,0.0,0.0,0.0,0.0,0.0,0.0,1865.1113639673101,0.0,0.0
5016,33,15,0.0,0.0,0.0,0.0,0.0,0.0,2797.667045950965,0.0,0.0
5017,34,15,0.0,0.0,0.0,0.0,0.0,0.0,3730.2227279346203,0.0,0.0
5018,35,15,0.0,0.0,0.0,0.0,0.0,0.0,3932.0,0.0,159.73550734096625
5019,36,15,0.0,0.0,0.0,0.0,0.0,0.0,3932.0,0.0,624.8498155898142
5020,37,15,0.0,0.0,0.0,0.0,0.0,0.0,3932.0,0.0,1237.7578236414543
5021,38,15,0.0,0.0,0.0,0.0,0.0,0.0,3932.0,0.0,1805.6875402516125
5022,39,15,0.0,0.0,0.0,0.0,0.0,0.0,3932.0,0.0,2733.8593920059952
5023,40,15,0.0,0.0,0.0,0.0,0.0,0.0,3932.0,0.0,3340.2993069304453
5024,41,15,0.0,0.0,0.0,0.0,0.0,0.0,3932.0,687.1045609784843,3932.0
5025,42,15,0.0,0.0,0.0,0.0,0.0,0.0,3932.0,1619.6602429621394,3932.0
5026,43,15,0.0,0.0,0.0,0.0,0.0,0.0,3932.0,2552.2159249457945,3932.0
5027,44,15,0.0,0.0,0.0,0.0,0.0,0.0,3932.0,3484.7716069294497,3932.0
5028,45,15,0.0,0.0,0.0,0.0,0.0,0.0,3932.0,3932.0,3932.0
5029,46,15,0.0,15.54922119999901,0.0,15.54922119999901,0.0,15.54922119999901,3915.6096817220755,3932.0,3915.6096817220755
5030,47,15,0.0,0.0,0.0,571.5657611999995,571.5657611999995,571.5657611999995,3313.1264690687776,3329.516787346702,3313.1264690687776
5031,48,15,0.0,437.413434865377,0.0,821.8556668000001,384.4422319346233,821.8556668000001,2446.8145307339682,2924.279093455992,2446.8145307339682
5032,49,15,0.0,0.0,0.0,454.724287199997,454.724287199997,454.724287199997,1967.4930457511214,2444.9576084731452,1967.4930457511214
5033,50,15,0.0,0.0,0.0,701.6432031999993,701.6432031999993,701.6432031999993,1227.8961701216745,1705.3607328436983,1227.8961701216745
5034,51,15,0.0,849.1877032000002,0.0,849.1877032000002,0.0,849.1877032000002,332.77373574865544,1705.3607328436983,332.77373574865544
5035,52,15,621.698797265376,0.0,621.698797265376,315.6968851346246,937.3956824000006,315.6968851346246,0.0,717.2589244464266,0.0
5036,53,15,680.4515620000002,0.0,680.4515620000002,0.0,680.4515620000002,0.0,0.0,0.0,0.0
5037,54,15,0.0,0.0,0.0,0.0,0.0,0.0,229.09739455371655,0.0,0.0
5038,55,15,0.0,0.0,0.0,0.0,0.0,0.0,1161.6530765373716,0.0,0.0
5039,56,15,0.0,0.0,0.0,0.0,0.0,0.0,2094.2087585210265,0.0,0.0
5040,57,15,0.0,0.0,0.0,0.0,0.0,0.0,3026.7644405046817,0.0,0.0
5041,58,15,0.0,0.0,0.0,0.0,0.0,0.0,3932.0,0.0,0.0
5042,59,15,0.0,0.0,0.0,0.0,0.0,0.0,3932.0,0.0,314.0425942063295
5043,60,15,0.0,0.0,0.0,0.0,0.0,0.0,3932.0,0.0,599.038440312417
5044,61,15,0.0,0.0,0.0,0.0,0.0,0.0,3932.0,0.0,1151.4542949995684
5045,62,15,0.0,0.0,0.0,0.0,0.0,0.0,3932.0,0.0,1668.660465792589
5046,63,15,0.0,0.0,0.0,0.0,0.0,0.0,3932.0,0.0,2459.1693308069584
5047,64,15,0.0,0.0,0.0,0.0,0.0,0.0,3932.0,0.0,3243.7536211908377
5048,65,15,0.0,0.0,0.0,0.0,0.0,0.0,3932.0,0.0,3780.018803012254
