case,scenario_id,pre_storage_eue_mwh,residual_eue_bound_mwh,storage_sufficiency_ratio,m1c_eue_mwh,m2_eue_mwh,m3_eue_mwh,bound_minus_m3_mwh,m1c_minus_m3_mwh,m2_minus_m3_mwh
VRE120_base_dur12h,1,29464.531872399966,113.91124999999738,0.9961339535108412,113.91124999999829,113.91124999999829,113.91124999999829,-9.094947017729282e-13,0.0,0.0
VRE120_base_dur12h,2,40276.92264119996,64.4009068000014,0.9984010469872858,64.40090679999958,64.40090679999958,64.40090679999958,1.8189894035458565e-12,0.0,0.0
VRE120_base_dur12h,3,35615.93109359997,93.79773160000332,0.9973664107965197,93.79773159999968,93.79773159999968,93.79773159999968,3.637978807091713e-12,0.0,0.0
VRE120_base_dur12h,4,49491.39154559995,1059.614011999991,0.9785899329376566,1059.614011999999,1059.614011999999,1059.614011999999,-8.185452315956354e-12,0.0,0.0
VRE120_base_dur12h,5,54383.20719439995,1404.8676487999837,0.9741672527003032,1404.8676487999937,1404.8676487999937,1404.8676487999937,-1.000444171950221e-11,0.0,0.0
VRE120_base_dur12h,6,39633.035714399964,1720.1353115999955,0.9565984467100759,1720.1353115999955,1720.1353115999946,1720.1353115999946,9.094947017729282e-13,9.094947017729282e-13,0.0
VRE120_base_dur12h,7,36566.712325199966,7.275957614183426e-12,0.9999999999999998,0.0,0.0,0.0,7.275957614183426e-12,0.0,0.0
VRE120_base_dur12h,8,24945.436746799973,3.637978807091713e-12,0.9999999999999999,0.0,0.0,0.0,3.637978807091713e-12,0.0,0.0
VRE120_base_dur12h,9,13900.730931999982,0.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0
VRE120_base_dur12h,10,19638.346831999974,0.0,1.0000000000000004,0.0,0.0,0.0,0.0,0.0,0.0
VRE120_base_dur12h,11,40313.85112839996,126.23800479999773,0.9968686195620972,126.23800479999954,126.23800479999954,126.23800479999954,-1.8189894035458565e-12,0.0,0.0
