model,case,scenario_id,eue_mwh,lolh_h
M3,VRE120_base_dur2h,20,3520.129292563443,11
M1c,VRE120_base_dur2h_ls1p225,1,16109.422835919268,30
M1c,VRE120_base_dur2h_ls1p225,2,22280.451884725044,44
M1c,VRE120_base_dur2h_ls1p225,3,20383.870141811574,31
M1c,VRE120_base_dur2h_ls1p225,4,33156.810813115444,55
M1c,VRE120_base_dur2h_ls1p225,5,40369.63383910776,59
M1c,VRE120_base_dur2h_ls1p225,6,26487.670907542357,42
M1c,VRE120_base_dur2h_ls1p225,7,21628.893150365435,46
M1c,VRE120_base_dur2h_ls1p225,8,10770.844616201946,27
M1c,VRE120_base_dur2h_ls1p225,9,4632.22212234618,16
M1c,VRE120_base_dur2h_ls1p225,10,7262.346889894264,22
M1c,VRE120_base_dur2h_ls1p225,11,24517.16634954044,48
M1c,VRE120_base_dur2h_ls1p225,12,7117.67835310387,18
M1c,VRE120_base_dur2h_ls1p225,13,11370.53177214427,26
M1c,VRE120_base_dur2h_ls1p225,14,8765.827011213487,18
M1c,VRE120_base_dur2h_ls1p225,15,33637.05571022696,46
M1c,VRE120_base_dur2h_ls1p225,16,8405.778491146182,19
M1c,VRE120_base_dur2h_ls1p225,17,4639.650704028873,13
M1c,VRE120_base_dur2h_ls1p225,18,18409.820168957755,39
M1c,VRE120_base_dur2h_ls1p225,19,13190.333998167342,35
M1c,VRE120_base_dur2h_ls1p225,20,12034.387844934652,29
M2,VRE120_base_dur2h_ls1p225,1,16109.422835919264,31
M2,VRE120_base_dur2h_ls1p225,2,22280.451884725037,49
M2,VRE120_base_dur2h_ls1p225,3,20383.870141811567,37
M2,VRE120_base_dur2h_ls1p225,4,33156.810813115444,66
M2,VRE120_base_dur2h_ls1p225,5,40369.63383910775,65
M2,VRE120_base_dur2h_ls1p225,6,26487.670907542353,48
M2,VRE120_base_dur2h_ls1p225,7,21628.89315036543,41
M2,VRE120_base_dur2h_ls1p225,8,10770.84461620195,22
M2,VRE120_base_dur2h_ls1p225,9,4632.222122346177,14
M2,VRE120_base_dur2h_ls1p225,10,7262.346889894263,20
M2,VRE120_base_dur2h_ls1p225,11,24517.166349540435,49
M2,VRE120_base_dur2h_ls1p225,12,7117.678353103866,16
M2,VRE120_base_dur2h_ls1p225,13,11370.531772144266,26
M2,VRE120_base_dur2h_ls1p225,14,8765.827011213481,18
M2,VRE120_base_dur2h_ls1p225,15,33637.05571022696,53
M2,VRE120_base_dur2h_ls1p225,16,8405.778491146175,18
M2,VRE120_base_dur2h_ls1p225,17,4639.650704028868,13
M2,VRE120_base_dur2h_ls1p225,18,18409.82016895774,40
M2,VRE120_base_dur2h_ls1p225,19,13190.333998167342,35
M2,VRE120_base_dur2h_ls1p225,20,12034.387844934652,31
M3,VRE120_base_dur2h_ls1p225,1,16109.422835919266,30
M3,VRE120_base_dur2h_ls1p225,2,22280.451884725037,44
M3,VRE120_base_dur2h_ls1p225,3,20383.87014181157,31
M3,VRE120_base_dur2h_ls1p225,4,33156.810813115444,55
M3,VRE120_base_dur2h_ls1p225,5,40369.63383910776,59
M3,VRE120_base_dur2h_ls1p225,6,26487.670907542357,42
M3,VRE120_base_dur2h_ls1p225,7,21628.89315036543,46
M3,VRE120_base_dur2h_ls1p225,8,10770.84461620195,27
M3,VRE120_base_dur2h_ls1p225,9,4632.222122346177,16
M3,VRE120_base_dur2h_ls1p225,10,7262.346889894265,22
M3,VRE120_base_dur2h_ls1p225,11,24517.166349540435,48
M3,VRE120_base_dur2h_ls1p225,12,7117.678353103866,18
M3,VRE120_base_dur2h_ls1p225,13,11370.531772144268,26
M3,VRE120_base_dur2h_ls1p225,14,8765.827011213481,18
M3,VRE120_base_dur2h_ls1p225,15,33637.05571022696,46
M3,VRE120_base_dur2h_ls1p225,16,8405.778491146177,19
M3,VRE120_base_dur2h_ls1p225,17,4639.650704028866,13
M3,VRE120_base_dur2h_ls1p225,18,18409.820168957747,39
M3,VRE120_base_dur2h_ls1p225,19,13190.333998167343,35
M3,VRE120_base_dur2h_ls1p225,20,12034.387844934652,29
M1c,VRE120_base_dur4h,1,1779.4778133961363,6
M1c,VRE120_base_dur4h,2,2522.2746481307568,6
M1c,VRE120_base_dur4h,3,2519.0376033961284,6
M1c,VRE120_base_dur4h,4,7004.091136661507,14
M1c,VRE120_base_dur4h,5,9712.357466792266,24
M1c,VRE120_base_dur4h,6,8239.837850261514,21
M1c,VRE120_base_dur4h,7,676.5770517961282,4
M1c,VRE120_base_dur4h,8,0.0,0
M1c,VRE120_base_dur4h,9,0.0,0
M1c,VRE120_base_dur4h,10,0.0,0
M1c,VRE120_base_dur4h,11,3237.7367637307552,7
M1c,VRE120_base_dur4h,12,0.0,0
M1c,VRE120_base_dur4h,13,0.0,0
M1c,VRE120_base_dur4h,14,839.7710056653759,2
M1c,VRE120_base_dur4h,15,9853.506778661507,16
M1c,VRE120_base_dur4h,16,102.97820926537406,3
M1c,VRE120_base_dur4h,17,0.0,0
M1c,VRE120_base_dur4h,18,3095.745364930747,10
M1c,VRE120_base_dur4h,19,0.0,0
M1c,VRE120_base_dur4h,20,0.0,0
M2,VRE120_base_dur4h,1,1779.4778133961336,7
M2,VRE120_base_dur4h,2,2522.274648130755,7
M2,VRE120_base_dur4h,3,2519.037603396134,4
M2,VRE120_base_dur4h,4,7004.091136661509,14
M2,VRE120_base_dur4h,5,9712.357466792264,24
M2,VRE120_base_dur4h,6,8239.837850261509,18
M2,VRE120_base_dur4h,7,676.57705179613,3
M2,VRE120_base_dur4h,8,0.0,0
M2,VRE120_base_dur4h,9,0.0,0
M2,VRE120_base_dur4h,10,0.0,0
M2,VRE120_base_dur4h,11,3237.7367637307543,7
M2,VRE120_base_dur4h,12,0.0,0
M2,VRE120_base_dur4h,13,0.0,0
M2,VRE120_base_dur4h,14,839.771005665375,2
M2,VRE120_base_dur4h,15,9853.506778661507,17
M2,VRE120_base_dur4h,16,102.97820926537497,3
M2,VRE120_base_dur4h,17,0.0,0
M2,VRE120_base_dur4h,18,3095.745364930748,9
M2,VRE120_base_dur4h,19,0.0,0
M2,VRE120_base_dur4h,20,0.0,0
M3,VRE120_base_dur4h,1,1779.4778133961331,6
M3,VRE120_base_dur4h,2,2522.2746481307545,6
