scenario_id,eue_mwh,lolh_hours,n_shortage_events,max_shortfall_mw
1,1779.4778133961336,7.0,4,668.2972087999997
2,2522.274648130754,7.0,7,715.4148731999994
3,2519.037603396134,6.0,5,704.4381040653761
4,7004.091136661508,14.0,8,1101.6539771999996
5,9712.357466792264,25.0,10,1302.4009067999996
6,8239.83785026151,15.0,7,1332.3098683999997
7,676.57705179613,3.0,3,429.20357566537587
8,0.0,0.0,0,0.0
9,0.0,0.0,0,0.0
10,0.0,0.0,0,0.0
