case,scenario_id,ref_model,test_model,ref_eue_mwh,test_eue_mwh,delta_eue_mwh,ref_lolh,test_lolh,delta_lolh
VRE120_base,1,M3,M2,1779.4778133961331,1779.4778133961336,4.547473508864641e-13,6.0,7.0,1.0
VRE120_base,2,M3,M2,2522.2746481307545,2522.274648130755,4.547473508864641e-13,6.0,7.0,1.0
VRE120_base,3,M3,M2,2519.0376033961334,2519.037603396134,4.547473508864641e-13,6.0,4.0,-2.0
VRE120_base,4,M3,M2,7004.091136661509,7004.091136661509,0.0,14.0,14.0,0.0
VRE120_base,5,M3,M2,9712.357466792264,9712.357466792264,0.0,24.0,24.0,0.0
VRE120_base,6,M3,M2,8239.83785026151,8239.837850261509,-1.8189894035458565e-12,21.0,18.0,-3.0
VRE120_base,7,M3,M2,676.5770517961292,676.57705179613,7.958078640513122e-13,4.0,3.0,-1.0
VRE120_base,8,M3,M2,0.0,0.0,0.0,0.0,0.0,0.0
VRE120_base,9,M3,M2,0.0,0.0,0.0,0.0,0.0,0.0
VRE120_base,10,M3,M2,0.0,0.0,0.0,0.0,0.0,0.0
VRE120_base,11,M3,M2,3237.736763730755,3237.7367637307543,-4.547473508864641e-13,7.0,7.0,0.0
VRE120_base,12,M3,M2,0.0,0.0,0.0,0.0,0.0,0.0
VRE120_base,13,M3,M2,0.0,0.0,0.0,0.0,0.0,0.0
VRE120_base,14,M3,M2,839.7710056653752,839.771005665375,-2.2737367544323206e-13,2.0,2.0,0.0
VRE120_base,15,M3,M2,9853.506778661507,9853.506778661507,0.0,16.0,17.0,1.0
VRE120_base,16,M3,M2,102.97820926537509,102.97820926537497,-1.1368683772161603e-13,3.0,3.0,0.0
VRE120_base,17,M3,M2,0.0,0.0,0.0,0.0,0.0,0.0
VRE120_base,18,M3,M2,3095.745364930748,3095.745364930748,0.0,10.0,9.0,-1.0
VRE120_base,19,M3,M2,0.0,0.0,0.0,0.0,0.0,0.0
VRE120_base,20,M3,M2,0.0,0.0,0.0,0.0,0.0,0.0
VRE120_wind_hvy,1,M3,M1c,514.1403548653742,514.140354865377,2.8421709430404007e-12,2.0,2.0,0.0
VRE120_wind_hvy,2,M3,M1c,537.1403548653741,537.140354865377,2.9558577807620168e-12,2.0,2.0,0.0
VRE120_wind_hvy,3,M3,M1c,0.0,0.0,0.0,0.0,0.0,0.0
VRE120_wind_hvy,4,M3,M1c,1722.0067020653742,1722.006702065376,1.8189894035458565e-12,7.0,7.0,0.0
VRE120_wind_hvy,5,M3,M1c,2792.6310109961328,2792.631010996136,3.183231456205249e-12,11.0,11.0,0.0
VRE120_wind_hvy,6,M3,M1c,1513.240479730754,1513.2404797307554,1.3642420526593924e-12,9.0,9.0,0.0
VRE120_wind_hvy,7,M3,M1c,0.0,0.0,0.0,0.0,0.0,0.0
VRE120_wind_hvy,8,M3,M1c,0.0,0.0,0.0,0.0,0.0,0.0
VRE120_wind_hvy,9,M3,M1c,0.0,0.0,0.0,0.0,0.0,0.0
VRE120_wind_hvy,10,M3,M1c,0.0,0.0,0.0,0.0,0.0,0.0
VRE120_wind_hvy,11,M3,M1c,814.802470465374,814.8024704653772,3.183231456205249e-12,3.0,3.0,0.0
VRE120_wind_hvy,12,M3,M1c,0.0,0.0,0.0,0.0,0.0,0.0
VRE120_wind_hvy,13,M3,M1c,0.0,0.0,0.0,0.0,0.0,0.0
VRE120_wind_hvy,14,M3,M1c,0.0,0.0,0.0,0.0,0.0,0.0
VRE120_wind_hvy,15,M3,M1c,4264.143930530749,4264.14393053075,1.8189894035458565e-12,8.0,8.0,0.0
VRE120_wind_hvy,16,M3,M1c,0.0,0.0,0.0,0.0,0.0,0.0
VRE120_wind_hvy,17,M3,M1c,0.0,0.0,0.0,0.0,0.0,0.0
VRE120_wind_hvy,18,M3,M1c,806.632002465376,806.6320024653751,-9.094947017729282e-13,3.0,3.0,0.0
VRE120_wind_hvy,19,M3,M1c,0.0,0.0,0.0,0.0,0.0,0.0
VRE120_wind_hvy,20,M3,M1c,0.0,0.0,0.0,0.0,0.0,0.0
VRE120_wind_hvy,1,M3,M1d_earliest,514.1403548653742,514.140354865377,2.8421709430404007e-12,2.0,2.0,0.0
VRE120_wind_hvy,2,M3,M1d_earliest,537.1403548653741,537.140354865377,2.9558577807620168e-12,2.0,2.0,0.0
VRE120_wind_hvy,3,M3,M1d_earliest,0.0,0.0,0.0,0.0,0.0,0.0
VRE120_wind_hvy,4,M3,M1d_earliest,1722.0067020653742,1722.006702065376,1.8189894035458565e-12,7.0,7.0,0.0
VRE120_wind_hvy,5,M3,M1d_earliest,2792.6310109961328,2792.631010996136,3.183231456205249e-12,11.0,11.0,0.0
VRE120_wind_hvy,6,M3,M1d_earliest,1513.240479730754,1513.2404797307554,1.3642420526593924e-12,9.0,9.0,0.0
VRE120_wind_hvy,7,M3,M1d_earliest,0.0,0.0,0.0,0.0,0.0,0.0
VRE120_wind_hvy,8,M3,M1d_earliest,0.0,0.0,0.0,0.0,0.0,0.0
VRE120_wind_hvy,9,M3,M1d_earliest,0.0,0.0,0.0,0.0,0.0,0.0
VRE120_wind_hvy,10,M3,M1d_earliest,0.0,0.0,0.0,0.0,0.0,0.0
VRE120_wind_hvy,11,M3,M1d_earliest,814.802470465374,814.8024704653772,3.183231456205249e-12,3.0,3.0,0.0
VRE120_wind_hvy,12,M3,M1d_earliest,0.0,0.0,0.0,0.0,0.0,0.0
VRE120_wind_hvy,13,M3,M1d_earliest,0.0,0.0,0.0,0.0,0.0,0.0
VRE120_wind_hvy,14,M3,M1d_earliest,0.0,0.0,0.0,0.0,0.0,0.0
VRE120_wind_hvy,15,M3,M1d_earliest,4264.143930530749,4264.14393053075,1.8189894035458565e-12,8.0,8.0,0.0
VRE120_wind_hvy,16,M3,M1d_earliest,0.0,0.0,0.0,0.0,0.0,0.0
VRE120_wind_hvy,17,M3,M1d_earliest,0.0,0.0,0.0,0.0,0.0,0.0
VRE120_wind_hvy,18,M3,M1d_earliest,806.632002465376,806.6320024653751,-9.094947017729282e-13,3.0,3.0,0.0
VRE120_wind_hvy,19,M3,M1d_earliest,0.0,0.0,0.0,0.0,0.0,0.0
VRE120_wind_hvy,20,M3,M1d_earliest,0.0,0.0,0.0,0.0,0.0,0.0
VRE120_wind_hvy,1,M3,M1d_largest,514.1403548653742,514.1403548653761,1.9326762412674725e-12,2.0,3.0,1.0
VRE120_wind_hvy,2,M3,M1d_largest,537.1403548653741,537.1403548653761,2.0463630789890885e-12,2.0,3.0,1.0
VRE120_wind_hvy,3,M3,M1d_largest,0.0,0.0,0.0,0.0,0.0,0.0
VRE120_wind_hvy,4,M3,M1d_largest,1722.0067020653742,1722.006702065376,1.8189894035458565e-12,7.0,8.0,1.0
VRE120_wind_hvy,5,M3,M1d_largest,2792.6310109961328,2792.631010996135,2.2737367544323206e-12,11.0,13.0,2.0
VRE120_wind_hvy,6,M3,M1d_largest,1513.240479730754,1513.2404797307536,-4.547473508864641e-13,9.0,9.0,0.0
VRE120_wind_hvy,7,M3,M1d_largest,0.0,0.0,0.0,0.0,0.0,0.0
VRE120_wind_hvy,8,M3,M1d_largest,0.0,0.0,0.0,0.0,0.0,0.0
VRE120_wind_hvy,9,M3,M1d_largest,0.0,0.0,0.0,0.0,0.0,0.0
VRE120_wind_hvy,10,M3,M1d_largest,0.0,0.0,0.0,0.0,0.0,0.0
VRE120_wind_hvy,11,M3,M1d_largest,814.802470465374,814.8024704653762,2.2737367544323206e-12,3.0,3.0,0.0
VRE120_wind_hvy,12,M3,M1d_largest,0.0,0.0,0.0,0.0,0.0,0.0
VRE120_wind_hvy,13,M3,M1d_largest,0.0,0.0,0.0,0.0,0.0,0.0
VRE120_wind_hvy,14,M3,M1d_largest,0.0,0.0,0.0,0.0,0.0,0.0
VRE120_wind_hvy,15,M3,M1d_largest,4264.143930530749,4264.1439305307495,9.094947017729282e-13,8.0,10.0,2.0
VRE120_wind_hvy,16,M3,M1d_largest,0.0,0.0,0.0,0.0,0.0,0.0
VRE120_wind_hvy,17,M3,M1d_largest,0.0,0.0,0.0,0.0,0.0,0.0
VRE120_wind_hvy,18,M3,M1d_largest,806.632002465376,806.6320024653742,-1.8189894035458565e-12,3.0,4.0,1.0
VRE120_wind_hvy,19,M3,M1d_largest,0.0,0.0,0.0,0.0,0.0,0.0
VRE120_wind_hvy,20,M3,M1d_largest,0.0,0.0,0.0,0.0,0.0,0.0
VRE120_wind_hvy,1,M3,M2,514.1403548653742,514.1403548653743,1.1368683772161603e-13,2.0,1.0,-1.0
VRE120_wind_hvy,2,M3,M2,537.1403548653741,537.1403548653743,2.2737367544323206e-13,2.0,2.0,0.0
VRE120_wind_hvy,3,M3,M2,0.0,0.0,0.0,0.0,0.0,0.0
VRE120_wind_hvy,4,M3,M2,1722.0067020653742,1722.0067020653742,0.0,7.0,6.0,-1.0
VRE120_wind_hvy,5,M3,M2,2792.6310109961328,2792.631010996133,4.547473508864641e-13,11.0,10.0,-1.0
VRE120_wind_hvy,6,M3,M2,1513.240479730754,1513.2404797307545,4.547473508864641e-13,9.0,6.0,-3.0
VRE120_wind_hvy,7,M3,M2,0.0,0.0,0.0,0.0,0.0,0.0
VRE120_wind_hvy,8,M3,M2,0.0,0.0,0.0,0.0,0.0,0.0
VRE120_wind_hvy,9,M3,M2,0.0,0.0,0.0,0.0,0.0,0.0
VRE120_wind_hvy,10,M3,M2,0.0,0.0,0.0,0.0,0.0,0.0
VRE120_wind_hvy,11,M3,M2,814.802470465374,814.8024704653744,4.547473508864641e-13,3.0,3.0,0.0
VRE120_wind_hvy,12,M3,M2,0.0,0.0,0.0,0.0,0.0,0.0
VRE120_wind_hvy,13,M3,M2,0.0,0.0,0.0,0.0,0.0,0.0
VRE120_wind_hvy,14,M3,M2,0.0,0.0,0.0,0.0,0.0,0.0
VRE120_wind_hvy,15,M3,M2,4264.143930530749,4264.143930530749,0.0,8.0,9.0,1.0
VRE120_wind_hvy,16,M3,M2,0.0,0.0,0.0,0.0,0.0,0.0
VRE120_wind_hvy,17,M3,M2,0.0,0.0,0.0,0.0,0.0,0.0
VRE120_wind_hvy,18,M3,M2,806.632002465376,806.632002465376,0.0,3.0,2.0,-1.0
VRE120_wind_hvy,19,M3,M2,0.0,0.0,0.0,0.0,0.0,0.0
VRE120_wind_hvy,20,M3,M2,0.0,0.0,0.0,0.0,0.0,0.0
