model,case,scenario_id,lolh,eue_mwh,max_shortfall_mw,n_shortage_events,mean_shortage_duration_h,runtime_s
M2,VRE120_base,4,14.0,7004.091136661509,1042.7195783999996,4,3.5,0.42600011825561523
M2,VRE120_base,5,24.0,9712.357466792264,1302.4009067999996,11,2.1818181818181817,0.3299999237060547
M2,VRE120_base,6,18.0,8239.837850261509,1155.7642731999986,7,2.5714285714285716,0.38000011444091797
M2,VRE120_base,7,3.0,676.57705179613,429.20357566537587,3,1.0,0.39800000190734863
M2,VRE120_base,8,0.0,0.0,0.0,0,0.0,0.37599992752075195
M2,VRE120_base,9,0.0,0.0,0.0,0,0.0,0.4089999198913574
M2,VRE120_base,10,0.0,0.0,0.0,0,0.0,0.5880000591278076
M2,VRE120_base,11,7.0,3237.7367637307543,989.837098,4,1.75,0.33500003814697266
M2,VRE120_base,12,0.0,0.0,0.0,0,0.0,0.3559999465942383
M2,VRE120_base,13,0.0,0.0,0.0,0,0.0,0.36700010299682617
M2,VRE120_base,14,2.0,839.771005665375,611.4300863999988,2,1.0,0.42100000381469727
M2,VRE120_base,15,17.0,9853.506778661507,1439.837098,8,2.125,0.32200002670288086
M2,VRE120_base,16,3.0,102.97820926537497,45.52982239999983,2,1.5,0.3939998149871826
M2,VRE120_base,17,0.0,0.0,0.0,0,0.0,0.40600013732910156
M2,VRE120_base,18,9.0,3095.745364930748,1090.8992683999986,2,4.5,0.3540000915527344
M2,VRE120_base,19,0.0,0.0,0.0,0,0.0,0.3899998664855957
M2,VRE120_base,20,0.0,0.0,0.0,0,0.0,0.6210000514984131
M3,VRE120_base,1,6.0,1779.4778133961331,636.8230188653783,5,1.2,8.525000095367432
M3,VRE120_base,2,6.0,2522.2746481307545,781.0900187999996,3,2.0,8.926999807357788
M3,VRE120_base,3,6.0,2519.0376033961334,854.0680419999999,3,2.0,9.141999959945679
M3,VRE120_base,4,14.0,7004.091136661509,1000.4025376,4,3.5,8.895000219345093
M3,VRE120_base,5,24.0,9712.357466792264,1085.7195783999996,7,3.4285714285714284,9.323999881744385
M3,VRE120_base,6,21.0,8239.83785026151,836.3365812000002,4,5.25,9.315999984741211
M3,VRE120_base,7,4.0,676.5770517961292,225.68144159999883,3,1.3333333333333333,8.80400013923645
M3,VRE120_base,8,0.0,0.0,0.0,0,0.0,8.73200011253357
M3,VRE120_base,9,0.0,0.0,0.0,0,0.0,8.931999921798706
M3,VRE120_base,10,0.0,0.0,0.0,0,0.0,9.194999933242798
M3,VRE120_base,11,7.0,3237.736763730755,911.0900187999996,2,3.5,8.174999952316284
M3,VRE120_base,12,0.0,0.0,0.0,0,0.0,7.766999959945679
M3,VRE120_base,13,0.0,0.0,0.0,0,0.0,8.687999963760376
M3,VRE120_base,14,2.0,839.7710056653752,511.7822120000001,1,2.0,8.889000177383423
M3,VRE120_base,15,16.0,9853.506778661507,1347.7195783999996,4,4.0,8.3510000705719
M3,VRE120_base,16,3.0,102.97820926537509,45.52982239999983,2,1.5,9.101999998092651
M3,VRE120_base,17,0.0,0.0,0.0,0,0.0,9.190000057220459
M3,VRE120_base,18,10.0,3095.745364930748,985.1041924653767,2,5.0,9.618000030517578
M3,VRE120_base,19,0.0,0.0,0.0,0,0.0,8.634000062942505
M3,VRE120_base,20,0.0,0.0,0.0,0,0.0,9.289999961853027
