case_name,scenario_id,event_start_hour,event_end_hour,event_duration_h,m1c_soc_at_event_start,m3_soc_at_event_start,m1c_soc_min_during,m3_soc_min_during,m1c_eue_event,m3_eue_event
VRE120_base,1,4986,4986,1,2173.258095479659,2173.258095479659,1137.08511549782,1137.08511549782,39.400906799999575,39.400906799999575
VRE120_base,1,4988,4989,2,178.03260569854388,178.03260569854376,0.0,0.0,1046.7394480653775,1046.739448065378
VRE120_base,1,5012,5012,1,492.83047830122575,492.83047830122894,0.0,0.0,271.54997526538136,271.54997526537755
VRE120_base,1,6066,6066,1,2367.465234551889,2367.465234551889,1331.2922545700499,1331.2922545700499,74.51034319999872,74.51034319999872
VRE120_base,1,6068,6068,1,308.85065325458913,308.85065325458913,0.0,0.0,347.27714006537917,347.27714006537934
VRE120_base,2,4986,4986,1,2254.4232220906474,2254.4232220906474,1218.2502421088084,1218.2502421088084,64.40090679999958,64.40090679999958
VRE120_base,2,4988,4989,2,232.8454184747958,232.84541847479568,0.0,0.0,1044.7394480653775,1044.739448065378
VRE120_base,2,5011,5013,3,200.35685367836732,200.35685367836982,0.0,0.0,1413.1342932653797,1413.134293265377
VRE120_base,3,4988,4989,2,675.708677966512,675.7086779665101,0.0,0.0,424.6024704653764,424.6024704653779
VRE120_base,3,5060,5061,2,649.0534875020385,649.0534875020385,0.0,0.0,525.4823652653786,525.482365265379
VRE120_base,3,5084,5085,2,381.48980453048455,381.4898045304818,0.0,0.0,1568.9527676653734,1568.9527676653763
VRE120_base,4,4410,4413,4,2023.4718278263726,2023.4718278263706,0.0,0.0,1830.204013665376,1830.2040136653775
VRE120_base,4,4985,4989,5,3432.0468441105154,3432.0468441105145,0.0,0.0,1941.6024704653773,1941.602470465378
VRE120_base,4,5011,5013,3,488.1241207536897,488.1241207536924,0.0,0.0,1546.1342932653788,1546.134293265377
VRE120_base,4,5035,5036,2,29.19508037249159,29.19508037249159,0.0,0.0,1686.1503592653753,1686.1503592653758
VRE120_base,5,4962,4966,5,3036.539166921469,3036.539166921469,0.0,0.0,1119.5763848653796,1119.5763848653796
VRE120_base,5,4985,4989,5,2654.6136523218574,2654.6136523218584,0.0,0.0,2894.140354865379,2894.140354865378
VRE120_base,5,5010,5013,4,270.8925181488071,270.8925181488081,0.0,0.0,3081.633159665378,3081.6331596653763
VRE120_base,5,5057,5062,6,2972.427984902155,2972.427984902155,0.0,0.0,1959.4151244653785,1959.4151244653783
VRE120_base,5,5415,5415,1,3330.71340628406,3330.713406284059,2294.540426302221,2294.54042630222,15.309868399999687,15.309868399999687
VRE120_base,5,5418,5419,2,290.25818089185145,290.25818089185054,0.0,0.0,242.5115688653741,242.5115688653757
VRE120_base,5,5732,5732,1,60.09508805707651,60.095088057077305,7.105427357601002e-15,0.0,399.77100566537683,399.7710056653759
VRE120_base,6,5391,5397,7,3446.769025926828,3446.769025926828,0.0,0.0,2593.6997796653795,2593.6997796653795
VRE120_base,6,5415,5420,6,2683.9606055750837,2683.960605575083,0.0,0.0,2982.541789265373,2982.541789265373
VRE120_base,6,5442,5445,4,1567.1907160058959,1567.1907160058977,0.0,0.0,1242.2150120653796,1242.2150120653769
VRE120_base,6,5849,5852,4,2233.580679547066,2233.580679547067,0.0,0.0,1421.381269265382,1421.381269265381
VRE120_base,7,4940,4941,2,436.7896595061187,436.7896595061168,0.0,0.0,429.20357566537405,429.2035756653756
VRE120_base,7,4989,4989,1,196.3921564946777,196.39215649467565,0.0,0.0,88.60247046537643,88.60247046537808
VRE120_base,7,5732,5732,1,247.72356256039973,247.72356256040155,0.0,0.0,158.77100566537774,158.77100566537555
VRE120_base,11,4986,4989,4,2227.583795643146,2227.583795643145,0.0,0.0,1354.6024704653773,1354.6024704653782
VRE120_base,11,5011,5013,3,174.00453984363185,174.00453984363367,0.0,0.0,1883.134293265378,1883.1342932653765
VRE120_base,14,5731,5732,2,352.47445108580257,352.4744510858037,0.0,0.0,839.7710056653759,839.7710056653752
VRE120_base,15,4939,4941,3,403.0558175951629,403.05581759516065,0.0,0.0,1793.203575665374,1793.2035756653759
VRE120_base,15,4984,4990,7,3684.7753625662413,3684.775362566242,0.0,0.0,4572.018550465377,4572.018550465377
VRE120_base,15,5010,5013,4,907.0361792000275,907.0361792000284,0.0,0.0,2186.134293265379,2186.1342932653765
VRE120_base,15,5035,5036,2,332.77373574865544,332.77373574865544,0.0,0.0,1302.1503592653762,1302.1503592653762
VRE120_base,16,5416,5417,2,2891.8842741010744,2891.884274101073,819.5383141373964,819.538314137395,63.42909079999845,63.42909079999845
