case_name,risk_margin_mw,window_buffer_hours,scenario_id,n_risk_hours,n_windows,total_window_h,window_coverage,mean_window_len,max_window_len,n_lp_failures
VRE120_bal15,800.0,24.0,3,260,4,1954,0.2230593607305936,488.5,1394,0
VRE120_bal15,800.0,24.0,4,291,7,2129,0.2430365296803653,304.14285714285717,939,0
VRE120_bal15,800.0,24.0,5,269,6,1884,0.21506849315068494,314.0,819,0
VRE120_bal15,800.0,48.0,1,235,5,2270,0.2591324200913242,454.0,1538,0
VRE120_bal15,800.0,48.0,2,280,3,2335,0.2665525114155251,778.3333333333334,2066,0
VRE120_bal15,800.0,48.0,3,260,3,2144,0.2447488584474886,714.6666666666666,1538,0
VRE120_bal15,800.0,48.0,4,291,5,2483,0.2834474885844749,496.6,1705,0
VRE120_bal15,800.0,48.0,5,269,4,2191,0.25011415525114156,547.75,1562,0
VRE120_bal15,1000.0,24.0,1,300,7,2179,0.24874429223744293,311.2857142857143,1396,0
VRE120_bal15,1000.0,24.0,2,360,6,2292,0.26164383561643834,382.0,1538,0
VRE120_bal15,1000.0,24.0,3,322,5,2029,0.23162100456621004,405.8,1395,0
VRE120_bal15,1000.0,24.0,4,356,6,2318,0.2646118721461187,386.3333333333333,1515,0
VRE120_bal15,1000.0,24.0,5,350,7,2271,0.25924657534246576,324.42857142857144,1537,0
VRE120_bal15,1000.0,48.0,1,300,5,2533,0.2891552511415525,506.6,1658,0
VRE120_bal15,1000.0,48.0,2,360,4,2575,0.2939497716894977,643.75,2161,0
VRE120_bal15,1000.0,48.0,3,322,3,2288,0.26118721461187216,762.6666666666666,1658,0
VRE120_bal15,1000.0,48.0,4,356,4,2601,0.29691780821917807,650.25,2161,0
VRE120_bal15,1000.0,48.0,5,350,4,2626,0.2997716894977169,656.5,2090,0
VRE120_wind_hvy,300.0,24.0,1,98,6,1021,0.11655251141552511,170.16666666666666,387,0
VRE120_wind_hvy,300.0,24.0,2,136,7,1316,0.1502283105022831,188.0,363,0
VRE120_wind_hvy,300.0,24.0,3,112,7,1261,0.1439497716894977,180.14285714285714,387,0
VRE120_wind_hvy,300.0,24.0,4,142,8,1434,0.1636986301369863,179.25,386,0
VRE120_wind_hvy,300.0,24.0,5,137,7,1105,0.12614155251141554,157.85714285714286,386,0
VRE120_wind_hvy,300.0,48.0,1,98,5,1332,0.15205479452054796,266.4,435,0
VRE120_wind_hvy,300.0,48.0,2,136,4,1691,0.1930365296803653,422.75,963,0
