case_name,risk_margin_mw,window_buffer_hours,m2_lolh,m3_lolh,lolh_error,lolh_abs_error,m2_eue,m3_eue,eue_error,m2_cvar_eue,m3_cvar_eue,cvar_eue_error,m2_max_shortfall,m3_max_shortfall,max_shortfall_error,m2_runtime_s,m3_runtime_s,runtime_speedup_vs_m3,mean_window_coverage_fraction,mean_n_windows,total_lp_failures
VRE120_base,300.0,24.0,11.4,11.2,0.20000000000000107,0.20000000000000107,4707.447733675358,4707.447733675359,-9.094947017729282e-13,9712.357466792264,9712.357466792264,0.0,1106.3380941861512,871.6206391330754,234.7174550530758,2.6,49.6,19.068846152378963,0.1702054794520548,6.2,0
VRE120_base,300.0,48.0,12.0,11.2,0.8000000000000007,0.8000000000000007,4707.447733675359,4707.447733675359,0.0,9712.357466792264,9712.357466792264,0.0,897.0499557992274,871.6206391330754,25.429316666151976,1.5,49.6,33.052666664123535,0.20773972602739726,3.6,0
VRE120_base,500.0,24.0,9.6,11.2,-1.5999999999999996,1.5999999999999996,4707.447733675358,4707.447733675359,-9.094947017729282e-13,9712.357466792264,9712.357466792264,0.0,1001.7455627999996,871.6206391330754,130.12492366692413,1.8,49.6,27.54388888676961,0.19378995433789956,6.0,0
VRE120_base,500.0,48.0,12.4,11.2,1.200000000000001,1.200000000000001,4707.447733675359,4707.447733675359,0.0,9712.357466792264,9712.357466792264,0.0,950.5394800930756,871.6206391330754,78.91884096000013,1.2,49.6,41.31583333015442,0.2287214611872146,3.8,0
VRE120_base,800.0,24.0,10.6,11.2,-0.5999999999999996,0.5999999999999996,4707.447733675358,4707.447733675359,-9.094947017729282e-13,9712.357466792264,9712.357466792264,0.0,1019.5198767999998,871.6206391330754,147.89923766692436,1.6,49.6,30.986874997615814,0.23897260273972604,5.6,0
VRE120_base,800.0,48.0,11.4,11.2,0.20000000000000107,0.20000000000000107,4707.447733675358,4707.447733675359,-9.094947017729282e-13,9712.357466792264,9712.357466792264,0.0,893.9809583461513,871.6206391330754,22.360319213075854,1.5,49.6,33.052666664123535,0.27086757990867577,4.4,0
VRE120_base,1000.0,24.0,10.6,11.2,-0.5999999999999996,0.5999999999999996,4707.447733675359,4707.447733675359,0.0,9712.357466792264,9712.357466792264,0.0,1071.8911157599998,871.6206391330754,200.2704766269244,1.4,49.6,35.41357142584665,0.26817351598173517,6.0,0
VRE120_base,1000.0,48.0,11.2,11.2,0.0,0.0,4707.44773367536,4707.447733675359,9.094947017729282e-13,9712.357466792264,9712.357466792264,0.0,986.4873621730754,871.6206391330754,114.86672304000001,2.0,49.6,24.78949999809265,0.30109589041095886,4.6,0
VRE120_bal15,300.0,24.0,3.2,3.6,-0.3999999999999999,0.3999999999999999,698.6329009323001,698.6329009323001,0.0,2163.9924513307533,2163.9924513307533,0.0,408.57914114614977,267.93913441307444,140.64000673307532,0.8,47.4,59.277500212192535,0.155,6.4,0
VRE120_bal15,300.0,48.0,3.2,3.6,-0.3999999999999999,0.3999999999999999,698.6329009323002,698.6329009323001,1.1368683772161603e-13,2163.9924513307533,2163.9924513307533,0.0,376.3760299330743,267.93913441307444,108.43689551999984,1.0,47.4,47.42200016975403,0.19276255707762555,4.0,0
VRE120_bal15,500.0,24.0,3.0,3.6,-0.6000000000000001,0.6000000000000001,698.6329009323002,698.6329009323001,1.1368683772161603e-13,2163.992451330754,2163.9924513307533,9.094947017729282e-13,381.6328754661499,267.93913441307444,113.69374105307548,1.8,47.4,26.34555564986335,0.18292237442922374,6.0,0
VRE120_bal15,500.0,48.0,3.4,3.6,-0.20000000000000018,0.20000000000000018,698.6329009323001,698.6329009323001,0.0,2163.9924513307533,2163.9924513307533,0.0,376.3760299330743,267.93913441307444,108.43689551999984,1.3,47.4,36.47846166904156,0.22006849315068494,3.8,0
VRE120_bal15,800.0,24.0,3.2,3.6,-0.3999999999999999,0.3999999999999999,698.6329009323001,698.6329009323001,0.0,2163.9924513307533,2163.9924513307533,0.0,325.13241115922574,267.93913441307444,57.1932767461513,1.6,47.4,29.638750106096268,0.2289497716894977,5.6,0
VRE120_bal15,800.0,48.0,3.4,3.6,-0.20000000000000018,0.20000000000000018,698.6329009323002,698.6329009323001,1.1368683772161603e-13,2163.9924513307533,2163.9924513307533,0.0,354.6119968392257,267.93913441307444,86.67286242615126,1.6,47.4,29.638750106096268,0.26079908675799085,4.0,0
VRE120_bal15,1000.0,24.0,3.0,3.6,-0.6000000000000001,0.6000000000000001,698.6329009323001,698.6329009323001,0.0,2163.9924513307533,2163.9924513307533,0.0,357.70143859922536,267.93913441307444,89.76230418615091,1.4,47.4,33.872857264110024,0.25317351598173515,6.2,0
VRE120_bal15,1000.0,48.0,3.4,3.6,-0.20000000000000018,0.20000000000000018,698.6329009323002,698.6329009323001,1.1368683772161603e-13,2163.9924513307533,2163.9924513307533,0.0,375.42895978615036,267.93913441307444,107.48982537307592,2.0,47.4,23.711000084877014,0.28819634703196345,4.0,0
VRE120_wind_hvy,300.0,24.0,3.4,4.4,-1.0000000000000004,1.0000000000000004,1113.1836845584512,1113.183684558451,2.2737367544323206e-13,2792.631010996133,2792.6310109961328,4.547473508864641e-13,579.1825547592249,416.69079850615014,162.49175625307475,0.7,45.9,65.53714309419905,0.14011415525114154,7.0,0
VRE120_wind_hvy,300.0,48.0,3.8,4.4,-0.6000000000000005,0.6000000000000005,1113.1836845584512,1113.183684558451,2.2737367544323206e-13,2792.631010996133,2792.6310109961328,4.547473508864641e-13,472.2988695461494,416.69079850615014,55.60807103999923,1.9,45.9,24.145263245231227,0.18036529680365296,4.4,0
VRE120_wind_hvy,500.0,24.0,3.4,4.4,-1.0000000000000004,1.0000000000000004,1113.1836845584512,1113.183684558451,2.2737367544323206e-13,2792.631010996133,2792.6310109961328,4.547473508864641e-13,579.1825547592249,416.69079850615014,162.49175625307475,0.9,45.9,50.973333517710365,0.17253424657534247,6.8,0
VRE120_wind_hvy,500.0,48.0,4.4,4.4,0.0,0.0,1113.1836845584512,1113.183684558451,2.2737367544323206e-13,2792.631010996133,2792.6310109961328,4.547473508864641e-13,419.57408441307433,416.69079850615014,2.8832859069241863,1.5,45.9,30.58400011062622,0.2121917808219178,4.0,0
VRE120_wind_hvy,800.0,24.0,4.2,4.4,-0.20000000000000018,0.20000000000000018,1113.183684558451,1113.183684558451,0.0,2792.631010996133,2792.6310109961328,4.547473508864641e-13,532.4306687199991,416.69079850615014,115.73987021384892,1.1,45.9,41.70545469630848,0.22114155251141554,6.0,0
VRE120_wind_hvy,800.0,48.0,3.6,4.4,-0.8000000000000003,0.8000000000000003,1113.1836845584512,1113.183684558451,2.2737367544323206e-13,2792.631010996133,2792.6310109961328,4.547473508864641e-13,583.6030033061494,416.69079850615014,166.91220479999924,1.6,45.9,28.672500103712082,0.2564840182648402,3.8,0
VRE120_wind_hvy,1000.0,24.0,3.6,4.4,-0.8000000000000003,0.8000000000000003,1113.1836845584512,1113.183684558451,2.2737367544323206e-13,2792.631010996133,2792.6310109961328,4.547473508864641e-13,590.0239733061492,416.69079850615014,173.33317479999903,1.3,45.9,35.289230896876404,0.2432191780821918,6.8,0
VRE120_wind_hvy,1000.0,48.0,3.8,4.4,-0.6000000000000005,0.6000000000000005,1113.1836845584512,1113.183684558451,2.2737367544323206e-13,2792.631010996133,2792.6310109961328,4.547473508864641e-13,508.74838370615,416.69079850615014,92.05758519999983,2.0,45.9,22.938000082969666,0.28184931506849314,4.0,0
