case_name,model,risk_margin_mw,window_buffer_hours,n_scenarios,seed,lolh_hours,lolp_percent,lole_days,eue_mwh,cvar_eue_mwh,max_shortfall_mw,mean_shortfall_when_shedding_mw,p95_shortage_duration_h,eue_ci95_rel_halfwidth,runtime_s
VRE120_base,M3,NaN,NaN,5,42,11.2,0.1278538812785388,3.6,4707.447733675359,9712.357466792264,871.6206391330754,420.3078333638713,5.0,0.6481133217750465,49.6
VRE120_base,M2,300.0,24.0,5,42,11.4,0.13013698630136986,3.6,4707.447733675358,9712.357466792264,1106.3380941861512,412.9340117259086,4.399999999999999,0.6481133217750468,2.6
VRE120_base,M2,300.0,48.0,5,42,12.0,0.136986301369863,3.6,4707.447733675359,9712.357466792264,897.0499557992274,392.2873111396133,5.0,0.6481133217750465,1.5
VRE120_base,M2,500.0,24.0,5,42,9.6,0.1095890410958904,3.6,4707.447733675358,9712.357466792264,1001.7455627999996,490.3591389245166,4.100000000000001,0.6481133217750468,1.8
VRE120_base,M2,500.0,48.0,5,42,12.4,0.1415525114155251,3.6,4707.447733675359,9712.357466792264,950.5394800930756,379.6328817480128,3.5999999999999943,0.6481133217750465,1.2
VRE120_base,M2,800.0,24.0,5,42,10.6,0.12100456621004566,3.6,4707.447733675358,9712.357466792264,1019.5198767999998,444.0988427995621,4.0,0.6481133217750468,1.6
VRE120_base,M2,800.0,48.0,5,42,11.4,0.13013698630136986,3.6,4707.447733675358,9712.357466792264,893.9809583461513,412.9340117259086,5.0,0.6481133217750468,1.5
VRE120_base,M2,1000.0,24.0,5,42,10.6,0.12100456621004566,3.6,4707.447733675359,9712.357466792264,1071.8911157599998,444.09884279956225,4.0,0.6481133217750465,1.4
VRE120_base,M2,1000.0,48.0,5,42,11.2,0.1278538812785388,3.6,4707.44773367536,9712.357466792264,986.4873621730754,420.3078333638714,4.0,0.6481133217750464,2.0
VRE120_bal15,M3,NaN,NaN,5,42,3.6,0.04109589041095891,1.4,698.6329009323001,2163.9924513307533,267.93913441307444,194.0646947034167,4.0,1.2224807967542237,47.4
VRE120_bal15,M2,300.0,24.0,5,42,3.2,0.0365296803652968,1.4,698.6329009323001,2163.9924513307533,408.57914114614977,218.32278154134377,3.6499999999999995,1.2224807967542237,0.8
VRE120_bal15,M2,300.0,48.0,5,42,3.2,0.0365296803652968,1.4,698.6329009323002,2163.9924513307533,376.3760299330743,218.32278154134383,3.6499999999999995,1.2224807967542235,1.0
VRE120_bal15,M2,500.0,24.0,5,42,3.0,0.03424657534246575,1.4,698.6329009323002,2163.992451330754,381.6328754661499,232.8776336441001,3.0,1.2224807967542237,1.8
VRE120_bal15,M2,500.0,48.0,5,42,3.4,0.03881278538812785,1.4,698.6329009323001,2163.9924513307533,376.3760299330743,205.48026498008826,3.5999999999999996,1.2224807967542237,1.3
VRE120_bal15,M2,800.0,24.0,5,42,3.2,0.0365296803652968,1.4,698.6329009323001,2163.9924513307533,325.13241115922574,218.32278154134377,3.0,1.2224807967542237,1.6
VRE120_bal15,M2,800.0,48.0,5,42,3.4,0.03881278538812785,1.4,698.6329009323002,2163.9924513307533,354.6119968392257,205.48026498008832,3.0,1.2224807967542235,1.6
VRE120_bal15,M2,1000.0,24.0,5,42,3.0,0.03424657534246575,1.4,698.6329009323001,2163.9924513307533,357.70143859922536,232.87763364410003,3.0,1.2224807967542237,1.4
VRE120_bal15,M2,1000.0,48.0,5,42,3.4,0.03881278538812785,1.4,698.6329009323002,2163.9924513307533,375.42895978615036,205.48026498008832,3.5999999999999996,1.2224807967542235,2.0
VRE120_wind_hvy,M3,NaN,NaN,5,42,4.4,0.05022831050228311,1.6,1113.183684558451,2792.6310109961328,416.69079850615014,252.9962919451025,5.0,0.8909522066315402,45.9
VRE120_wind_hvy,M2,300.0,24.0,5,42,3.4,0.03881278538812785,1.6,1113.1836845584512,2792.631010996133,579.1825547592249,327.4069660466033,3.0,0.8909522066315402,0.7
VRE120_wind_hvy,M2,300.0,48.0,5,42,3.8,0.04337899543378995,1.6,1113.1836845584512,2792.631010996133,472.2988695461494,292.9430748838029,4.0,0.8909522066315402,1.9
VRE120_wind_hvy,M2,500.0,24.0,5,42,3.4,0.03881278538812785,1.6,1113.1836845584512,2792.631010996133,579.1825547592249,327.4069660466033,3.0,0.8909522066315402,0.9
VRE120_wind_hvy,M2,500.0,48.0,5,42,4.4,0.05022831050228311,1.6,1113.1836845584512,2792.631010996133,419.57408441307433,252.99629194510254,4.5,0.8909522066315402,1.5
VRE120_wind_hvy,M2,800.0,24.0,5,42,4.2,0.04794520547945206,1.6,1113.183684558451,2792.631010996133,532.4306687199991,265.0437344186788,3.4499999999999993,0.8909522066315403,1.1
VRE120_wind_hvy,M2,800.0,48.0,5,42,3.6,0.04109589041095891,1.6,1113.1836845584512,2792.631010996133,583.6030033061494,309.21769015512535,4.0,0.8909522066315402,1.6
VRE120_wind_hvy,M2,1000.0,24.0,5,42,3.6,0.04109589041095891,1.6,1113.1836845584512,2792.631010996133,590.0239733061492,309.21769015512535,4.0,0.8909522066315402,1.3
VRE120_wind_hvy,M2,1000.0,48.0,5,42,3.8,0.04337899543378995,1.6,1113.1836845584512,2792.631010996133,508.74838370615,292.9430748838029,3.0,0.8909522066315402,2.0
