scenario_id,m3_lolh,hope_ed_lolh,lolh_diff,m3_eue,hope_ed_eue,eue_diff,m3_max_shortfall,hope_ed_max_shortfall,max_shortfall_diff,common_shortage_hours,m3_only_shortage_hours,hope_only_shortage_hours,m3_only_eue,hope_only_eue,common_eue_m3,common_eue_hope
1,6,7,1,1779.4778133961331,1779.4778133961308,-2.2737367544323206e-12,636.8230188653783,540.6860412653765,-96.13697760000184,3,3,4,1255.6501341961352,656.4076960653769,523.8276791999979,1123.070117330754
2,6,7,1,2522.2746481307545,2628.8746481307526,106.59999999999809,781.0900187999996,752.5397635999994,-28.55025520000015,4,2,3,1390.913037665378,1287.4259327999994,1131.3616104653765,1341.448715330753
3,6,8,2,2519.0376033961334,2625.637603396133,106.59999999999945,854.0680419999999,1076.7977315999997,222.7296895999998,2,4,6,1417.2156113307565,1528.6874505307537,1101.8219920653767,1096.950152865379
4,14,16,2,7004.091136661509,7217.291136661506,213.1999999999971,1000.4025376,1239.700264,239.2977264000001,10,4,6,2705.6891815999998,1692.1707348653727,4298.4019550615085,5525.120401796133
5,24,23,-1,9712.357466792264,9822.357466792262,109.99999999999818,1085.7195783999996,1144.6539771999996,58.934398800000054,15,9,8,4531.60796579613,2728.787561665373,5180.749500996134,7093.56990512689
