scenario_id,hour,m3_load_shed_mw,hope_ed_load_shed_mw,diff_hope_minus_m3,classification,load_mw,vre_available_mw,thermal_available_mw,m3_soc_mwh,hope_soc_mwh,net_available_mw
1,4983,0.0,135.5378843999997,135.5378843999997,hope_only,8867.3378844,1281.8,7450.0,3789.130525351799,3932.0,8731.8
1,4986,39.400906799999575,540.6860412653765,501.2851344653769,common,8769.700906799999,221.3,7526.0,1137.08511549782,1808.3555175108108,7747.3
1,4988,636.8230188653783,0.0,-636.8230188653783,m3_only,8389.1195784,57.400000000000006,7526.0,0.0,0.0,7583.4
1,4989,409.9164291999996,409.9164291999996,0.0,common,8016.616429199999,80.7,7526.0,0.0,0.0,7606.7
1,5006,0.0,169.78032959999928,169.78032959999928,hope_only,9617.6803296,1884.8999999999999,7563.0,3753.0358188566315,3932.0,9447.9
1,5010,0.0,101.76964566537788,101.76964566537788,hope_only,9018.2148732,781.8000000000002,7563.0,1270.6279197828107,1556.8667265831373,8344.8
1,5012,271.54997526537755,0.0,-271.54997526537755,m3_only,8616.4900188,314.4,7563.0,0.0,0.0,7877.4
1,6063,0.0,249.31983639999999,249.31983639999999,hope_only,8581.4198364,1503.1,6829.0,3669.1938170384815,3932.0,8332.1
1,6066,74.51034319999872,172.46764686537801,97.9573036653793,common,7975.110343199999,76.6,6841.0,1331.2922545700499,1697.3545018753548,6917.6
1,6068,347.27714006537934,0.0,-347.27714006537934,m3_only,7606.878596399999,125.6,6841.0,0.0,0.0,6966.6
2,4983,0.0,84.53788439999971,84.53788439999971,hope_only,8867.3378844,1281.8,7501.0,3842.8892455746613,3932.0,8782.8
2,4986,64.40090679999958,589.6860412653764,525.2851344653768,common,8769.700906799999,221.3,7501.0,1218.2502421088084,1861.0601451802838,7722.3
2,4988,609.8230188653783,0.0,-609.8230188653783,m3_only,8389.1195784,57.400000000000006,7501.0,0.0,0.0,7558.4
2,4989,434.9164291999996,434.9164291999996,0.0,common,8016.616429199999,80.7,7501.0,0.0,0.0,7581.7
2,5005,0.0,450.34828480000033,450.34828480000033,hope_only,9342.2482848,1880.9,7011.0,3457.291226560604,3932.0,8891.9
2,5007,0.0,752.5397635999994,752.5397635999994,hope_only,9668.9397636,1502.0000000000005,7521.0,2178.9720069727127,3334.561075161017,9023.0
2,5011,589.8082412653783,274.6102116653781,-315.19802960000027,common,8694.383441999998,393.5,7521.0,0.0,823.3411723439127,7914.5
2,5012,781.0900187999996,0.0,-781.0900187999996,m3_only,8616.4900188,314.4,7521.0,0.0,0.0,7835.4
2,5013,42.23603319999893,42.23603319999893,0.0,common,8299.3360332,736.1,7521.0,0.0,0.0,8257.1
3,4984,0.0,424.6024704653764,424.6024704653764,hope_only,9035.9972088,917.7,7601.0,3386.720864314768,3834.291166583089,8518.7
3,4988,89.68604126537832,0.0,-89.68604126537832,m3_only,8389.1195784,57.400000000000006,7601.0,0.0,353.0329140275078,7658.4
3,4989,334.9164291999996,0.0,-334.9164291999996,m3_only,8016.616429199999,80.7,7601.0,0.0,0.0,7681.7
3,5055,0.0,1.7416116000003967,1.7416116000003967,hope_only,9062.6416116,1969.8999999999996,7091.0,3930.164180181543,3932.0,9060.9
3,5056,0.0,503.5883323999997,503.5883323999997,hope_only,8987.9883324,1338.4,7146.0,3399.335469024886,3932.0,8484.4
3,5060,138.5450988653788,0.0,-138.5450988653788,m3_only,7895.191302,69.9,7071.0,0.0,386.6251739525102,7140.9
3,5061,386.9372664000002,20.152421265379303,-366.7848451346209,common,7614.537266400001,156.60000000000002,7071.0,0.0,0.0,7227.6
3,5078,0.0,11.981915199999094,11.981915199999094,hope_only,8597.2819152,1694.3000000000004,6891.0,3919.369952412337,3932.0,8585.300000000001
3,5079,0.0,459.8852732000005,459.8852732000005,hope_only,8743.5852732,1392.7,6891.0,3434.6083105187395,3932.0,8283.7
3,5081,0.0,126.88784766537765,126.88784766537765,hope_only,8611.393118399998,1153.2,6736.0,2246.8330950010327,2877.976319821984,7889.2
3,5084,714.8847256653764,1076.7977315999997,361.91300593462324,common,7819.2977316,306.5,6436.0,0.0,900.2667631601154,6742.5
3,5085,854.0680419999999,0.0,-854.0680419999999,m3_only,7496.868042,206.79999999999998,6436.0,0.0,0.0,6642.8
4,4406,0.0,34.52800959999968,34.52800959999968,hope_only,8449.4280096,1823.9000000000005,6591.0,3895.6042821972806,3932.0,8414.900000000001
4,4410,256.70026400000006,1239.700264,983.0,common,8120.400264,289.7,6591.0,987.2988478445316,2059.867545629091,6880.7
4,4411,210.8700404653771,164.50396759999967,-46.36607286537742,common,7754.3039676,15.8,6591.0,0.0,1023.6945656472521,6606.8
4,4412,1000.4025376,391.47177246537706,-608.9307651346229,common,7600.6025376,9.200000000000001,6591.0,0.0,381.8251805891,6600.2
4,4413,362.2311716000004,0.0,-362.2311716000004,m3_only,7252.7311716,299.5,6591.0,0.0,0.0,6890.5
4,4985,118.65397719999964,1101.6539771999996,983.0,common,9015.6539772,625.0,7289.0,2395.8738641286755,3319.6805779191977,7914.0
4,4986,276.4009067999996,276.40090679999867,-9.094947017729282e-13,common,8769.700906799999,221.3,7289.0,1359.7008841468364,2283.5075979373587,7510.3
4,4987,163.83709799999997,610.4280080653796,446.5909100653796,common,8488.237098,52.400000000000006,7289.0,323.5279041649974,1718.0827706668583,7341.4
4,4988,735.7940592653792,59.71957839999959,-676.0744808653797,common,8389.1195784,57.400000000000006,7289.0,0.0,681.9097906850193,7346.4
4,4989,646.9164291999996,0.0,-646.9164291999996,m3_only,8016.616429199999,80.7,7289.0,0.0,0.0,7369.7
4,5005,0.0,172.34828480000033,172.34828480000033,hope_only,9342.2482848,1880.9,7289.0,3750.3289564028737,3932.0,9169.9
4,5007,0.0,784.5397635999994,784.5397635999994,hope_only,9668.9397636,1502.0000000000005,7489.0,2567.9321591734233,3464.2144592279205,8991.0
4,5011,348.80824126537834,466.6102116653783,117.80197039999996,common,8694.383441999998,393.5,7489.0,0.0,1020.4564798277418,7882.5
4,5012,968.0900187999996,0.0,-968.0900187999996,m3_only,8616.4900188,314.4,7334.0,0.0,0.0,7648.4
4,5013,229.23603319999893,229.23603319999893,0.0,common,8299.3360332,736.1,7334.0,0.0,0.0,8070.1
4,5029,0.0,63.5492211999981,63.5492211999981,hope_only,9082.349221199998,2082.7999999999997,6936.0,3865.0132391593816,3932.0,9018.8
4,5030,0.0,619.5657611999995,619.5657611999995,hope_only,9308.1657612,1752.6,6936.0,3211.9335839433897,3932.0,8688.6
4,5032,0.0,17.639694465375726,17.639694465375726,hope_only,9157.424287199998,1718.7000000000003,6936.0,1765.1072755003456,2503.7675621369735,8654.7
4,5035,957.6987972653754,985.3956824000015,27.696885134626086,common,8189.395682400001,268.0,6936.0,0.0,767.8553670091206,7204.0
4,5036,728.4515620000002,0.0,-728.4515620000002,m3_only,7967.951562,303.5,6936.0,0.0,0.0,7239.5
5,4959,0.0,206.51810040000055,206.51810040000055,hope_only,8727.118100400001,1274.6000000000004,7246.0,3714.3108082282224,3932.0,8520.6
5,4962,14.759710399999676,559.0483132653806,544.2886028653809,common,8492.8597104,404.0999999999999,7091.0,2000.36618693963,2791.785941886558,7495.1
5,4963,170.27738640000098,170.27738640000098,0.0,common,8276.877386400001,32.599999999999994,7091.0,964.1932069577911,1755.6129619047188,7123.6
5,4964,137.0750900653802,68.78908159999901,-68.2860084653812,common,8170.089081599999,27.3,7091.0,0.0,719.4399819228797,7118.3
5,4965,682.5206947999995,0.0,-682.5206947999995,m3_only,7817.220694799999,43.70000000000001,7091.0,0.0,0.0,7134.7
5,4966,114.94350319999921,114.94350320000012,9.094947017729282e-13,common,7316.5435032,110.6,7091.0,0.0,0.0,7201.6
5,4983,0.0,339.5378843999997,339.5378843999997,hope_only,8867.3378844,1281.8,7246.0,3574.095644460349,3932.0,8527.8
5,4985,161.65397719999964,1144.6539771999996,983.0,common,9015.6539772,625.0,7246.0,1618.4406723400193,3012.5180078615094,7871.0
5,4986,319.4009067999996,319.40090679999867,-9.094947017729282e-13,common,8769.700906799999,221.3,7246.0,582.2676923581803,1976.3450278796704,7467.3
5,4987,637.4494632653796,987.8280080653792,350.37854479999964,common,8488.237098,52.400000000000006,7246.0,0.0,1763.408750462605,7298.4
5,4988,1085.7195783999996,102.71957839999959,-983.0,common,8389.1195784,57.400000000000006,7246.0,0.0,727.2357704807661,7303.4
5,4989,689.9164291999996,0.0,-689.9164291999996,m3_only,8016.616429199999,80.7,7246.0,0.0,0.0,7326.7
5,5004,0.0,238.49886639999932,238.49886639999932,hope_only,8986.9988664,1832.4999999999998,6916.0,3680.600120935933,3932.0,8748.5
5,5006,0.0,466.7803295999993,466.7803295999993,hope_only,9617.6803296,1884.8999999999999,7266.0,2982.655279110811,3610.1346468020756,9150.9
5,5007,0.0,900.9397635999994,900.9397635999994,hope_only,9668.9397636,1502.0000000000005,7266.0,2032.9813832475913,3610.1346468020756,8768.0
5,5010,713.4236656653795,0.0,-713.4236656653795,m3_only,9018.2148732,781.8000000000002,7266.0,0.0,825.1386901647949,8047.8
5,5011,1034.8834419999985,1034.8834419999985,0.0,common,8694.383441999998,393.5,7266.0,0.0,825.1386901647949,7659.5
5,5012,1036.0900187999996,550.5307580653798,-485.5592607346198,common,8616.4900188,314.4,7266.0,0.0,313.3142891951411,7580.4
5,5013,297.23603319999893,0.0,-297.23603319999893,m3_only,8299.3360332,736.1,7266.0,0.0,0.0,8002.1
5,5055,0.0,176.7416116000004,176.7416116000004,hope_only,9062.6416116,1969.8999999999996,6916.0,3745.6979833383875,3932.0,8885.9
5,5057,107.56234879999829,1090.5623487999992,983.0000000000009,common,8833.162348799999,826.5999999999999,6916.0,1936.255004920316,3158.7300015637684,7742.6
5,5058,121.33935839999958,121.33935839999958,0.0,common,8230.0393584,209.70000000000005,6916.0,900.0820249384769,2122.5570215819293,7125.7
5,5059,140.35208966538062,486.8390464653801,346.48695679999946,common,7963.0448736,52.8,6916.0,0.0,1587.7043176529073,6968.8
5,5060,909.2913020000005,0.0,-909.2913020000005,m3_only,7895.191302,69.9,6916.0,0.0,629.2271273529004,6985.9
5,5061,596.9372664000002,0.0,-596.9372664000002,m3_only,7614.537266400001,156.60000000000002,6861.0,0.0,0.0,7017.6
5,5062,83.93275919999905,83.93275919999905,0.0,common,7101.232759199999,156.29999999999998,6861.0,0.0,0.0,7017.3
5,5415,15.309868399999687,257.82143726537527,242.51156886537558,common,9616.609868399999,1203.3,7415.0,2294.54042630222,2550.1700651540077,8618.3
5,5418,14.020833265376268,0.0,-14.020833265376268,m3_only,8596.3839216,892.0,7415.0,0.0,240.85038291443934,8307.0
5,5419,228.49073559999943,0.0,-228.49073559999943,m3_only,8222.1907356,523.6999999999999,7470.0,0.0,0.0,7993.7
5,5725,0.0,159.40802879999865,159.40802879999865,hope_only,9271.6080288,1861.2000000000003,7251.0,3763.9691838914287,3932.0,9112.2
5,5727,0.0,240.36297686537523,240.36297686537523,hope_only,9830.2031484,1935.8999999999996,7251.0,2643.9749091071967,3065.370549240083,9186.9
5,5732,399.7710056653759,0.0,-399.7710056653759,m3_only,8241.682212,533.9000000000001,7251.0,0.0,0.0,7784.9
