case_name,m2_label,risk_margin_mw,window_buffer_hours,scenario_id,n_risk_hours,n_windows,total_window_h,window_coverage,mean_window_len,max_window_len,n_lp_failures
VRE120_bal15,M2_rm1000_b48,1000.0,48.0,10,312,4,2626,0.2997716894977169,656.5,2163,0
VRE120_bal15,M2_rm1000_b48,1000.0,48.0,11,328,3,2481,0.28321917808219177,827.0,2162,0
VRE120_bal15,M2_rm1000_b48,1000.0,48.0,12,305,4,2600,0.2968036529680365,650.0,2161,0
VRE120_bal15,M2_rm1000_b48,1000.0,48.0,13,360,5,2798,0.3194063926940639,559.6,2186,0
VRE120_bal15,M2_rm1000_b48,1000.0,48.0,14,296,4,2555,0.2916666666666667,638.75,2162,0
VRE120_bal15,M2_rm1000_b48,1000.0,48.0,15,310,3,2359,0.26929223744292236,786.3333333333334,2115,0
VRE120_bal15,M2_rm1000_b48,1000.0,48.0,16,316,4,2648,0.30228310502283107,662.0,2185,0
VRE120_bal15,M2_rm1000_b48,1000.0,48.0,17,300,4,2743,0.31312785388127856,685.75,2185,0
VRE120_bal15,M2_rm1000_b48,1000.0,48.0,18,301,4,2530,0.2888127853881279,632.5,2162,0
VRE120_bal15,M2_rm1000_b48,1000.0,48.0,19,337,4,2627,0.29988584474885843,656.75,2187,0
VRE120_bal15,M2_rm1000_b48,1000.0,48.0,20,351,4,2602,0.2970319634703196,650.5,2163,0
VRE120_bal15,M2_rm800_b24,800.0,24.0,1,235,6,1985,0.22659817351598174,330.8333333333333,1395,0
VRE120_bal15,M2_rm800_b24,800.0,24.0,2,280,5,2076,0.236986301369863,415.2,1514,0
VRE120_bal15,M2_rm800_b24,800.0,24.0,3,260,4,1954,0.2230593607305936,488.5,1394,0
VRE120_bal15,M2_rm800_b24,800.0,24.0,4,291,7,2129,0.2430365296803653,304.14285714285717,939,0
VRE120_bal15,M2_rm800_b24,800.0,24.0,5,269,6,1884,0.21506849315068494,314.0,819,0
VRE120_bal15,M2_rm800_b24,800.0,24.0,6,263,6,2030,0.2317351598173516,338.3333333333333,1371,0
VRE120_bal15,M2_rm800_b24,800.0,24.0,7,245,5,2004,0.22876712328767124,400.8,1372,0
VRE120_bal15,M2_rm800_b24,800.0,24.0,8,222,5,1955,0.22317351598173515,391.0,1418,0
VRE120_bal15,M2_rm800_b24,800.0,24.0,9,198,8,1888,0.21552511415525114,236.0,771,0
VRE120_bal15,M2_rm800_b24,800.0,24.0,10,232,7,2175,0.2482876712328767,310.7142857142857,1372,0
VRE120_bal15,M2_rm800_b24,800.0,24.0,11,259,6,2058,0.23493150684931507,343.0,1371,0
VRE120_bal15,M2_rm800_b24,800.0,24.0,12,221,6,2077,0.23710045662100457,346.1666666666667,1371,0
VRE120_bal15,M2_rm800_b24,800.0,24.0,13,286,6,2345,0.2676940639269406,390.8333333333333,1515,0
VRE120_bal15,M2_rm800_b24,800.0,24.0,14,227,8,2037,0.23253424657534247,254.625,771,0
VRE120_bal15,M2_rm800_b24,800.0,24.0,15,241,4,2052,0.23424657534246576,513.0,1515,0
VRE120_bal15,M2_rm800_b24,800.0,24.0,16,249,5,2337,0.2667808219178082,467.4,1656,0
VRE120_bal15,M2_rm800_b24,800.0,24.0,17,225,9,1968,0.22465753424657534,218.66666666666666,555,0
VRE120_bal15,M2_rm800_b24,800.0,24.0,18,237,7,1940,0.22146118721461186,277.14285714285717,796,0
VRE120_bal15,M2_rm800_b24,800.0,24.0,19,264,5,2174,0.24817351598173515,434.8,1419,0
VRE120_bal15,M2_rm800_b24,800.0,24.0,20,280,6,2249,0.2567351598173516,374.8333333333333,1539,0
VRE120_wind_hvy,M2_rm1000_b48,1000.0,48.0,1,331,5,2466,0.2815068493150685,493.2,1658,0
VRE120_wind_hvy,M2_rm1000_b48,1000.0,48.0,2,385,4,2552,0.291324200913242,638.0,2138,0
VRE120_wind_hvy,M2_rm1000_b48,1000.0,48.0,3,332,3,2148,0.2452054794520548,716.0,1540,0
VRE120_wind_hvy,M2_rm1000_b48,1000.0,48.0,4,384,4,2602,0.2970319634703196,650.5,2161,0
VRE120_wind_hvy,M2_rm1000_b48,1000.0,48.0,5,374,4,2577,0.2941780821917808,644.25,2089,0
VRE120_wind_hvy,M2_rm1000_b48,1000.0,48.0,6,348,3,2482,0.2833333333333333,827.3333333333334,2162,0
VRE120_wind_hvy,M2_rm1000_b48,1000.0,48.0,7,335,2,2310,0.2636986301369863,1155.0,2163,0
VRE120_wind_hvy,M2_rm1000_b48,1000.0,48.0,8,306,5,2389,0.27271689497716894,477.8,1681,0
VRE120_wind_hvy,M2_rm1000_b48,1000.0,48.0,9,288,3,2501,0.28550228310502285,833.6666666666666,2162,0
VRE120_wind_hvy,M2_rm1000_b48,1000.0,48.0,10,324,4,2627,0.29988584474885843,656.75,2163,0
VRE120_wind_hvy,M2_rm1000_b48,1000.0,48.0,11,349,3,2483,0.2834474885844749,827.6666666666666,2163,0
VRE120_wind_hvy,M2_rm1000_b48,1000.0,48.0,12,308,4,2626,0.2997716894977169,656.5,2160,0
VRE120_wind_hvy,M2_rm1000_b48,1000.0,48.0,13,381,5,2750,0.3139269406392694,550.0,2185,0
VRE120_wind_hvy,M2_rm1000_b48,1000.0,48.0,14,307,5,2491,0.2843607305936073,498.2,1683,0
VRE120_wind_hvy,M2_rm1000_b48,1000.0,48.0,15,319,2,2260,0.2579908675799087,1130.0,2113,0
VRE120_wind_hvy,M2_rm1000_b48,1000.0,48.0,16,332,4,2646,0.30205479452054795,661.5,2183,0
VRE120_wind_hvy,M2_rm1000_b48,1000.0,48.0,17,308,4,2600,0.2968036529680365,650.0,1705,0
VRE120_wind_hvy,M2_rm1000_b48,1000.0,48.0,18,319,4,2294,0.26187214611872145,573.5,1659,0
VRE120_wind_hvy,M2_rm1000_b48,1000.0,48.0,19,361,3,2528,0.28858447488584477,842.6666666666666,2188,0
VRE120_wind_hvy,M2_rm1000_b48,1000.0,48.0,20,380,4,2534,0.28926940639269405,633.5,2164,0
VRE120_wind_hvy,M2_rm800_b24,800.0,24.0,1,241,7,1892,0.21598173515981736,270.2857142857143,963,0
VRE120_wind_hvy,M2_rm800_b24,800.0,24.0,2,295,7,1965,0.2243150684931507,280.7142857142857,964,0
VRE120_wind_hvy,M2_rm800_b24,800.0,24.0,3,279,4,1954,0.2230593607305936,488.5,1393,0
VRE120_wind_hvy,M2_rm800_b24,800.0,24.0,4,312,8,2037,0.23253424657534247,254.625,940,0
VRE120_wind_hvy,M2_rm800_b24,800.0,24.0,5,290,4,1838,0.20981735159817352,459.5,1372,0
VRE120_wind_hvy,M2_rm800_b24,800.0,24.0,6,280,7,1965,0.2243150684931507,280.7142857142857,940,0
VRE120_wind_hvy,M2_rm800_b24,800.0,24.0,7,261,5,2005,0.2288812785388128,401.0,1372,0
VRE120_wind_hvy,M2_rm800_b24,800.0,24.0,8,228,5,1813,0.2069634703196347,362.6,819,0
VRE120_wind_hvy,M2_rm800_b24,800.0,24.0,9,201,7,1796,0.2050228310502283,256.57142857142856,530,0
VRE120_wind_hvy,M2_rm800_b24,800.0,24.0,10,237,8,2061,0.23527397260273972,257.625,939,0
VRE120_wind_hvy,M2_rm800_b24,800.0,24.0,11,272,7,2060,0.23515981735159816,294.2857142857143,962,0
VRE120_wind_hvy,M2_rm800_b24,800.0,24.0,12,223,8,1893,0.2160958904109589,236.625,531,0
VRE120_wind_hvy,M2_rm800_b24,800.0,24.0,13,301,8,2257,0.257648401826484,282.125,819,0
VRE120_wind_hvy,M2_rm800_b24,800.0,24.0,14,233,9,1969,0.2247716894977169,218.77777777777777,771,0
VRE120_wind_hvy,M2_rm800_b24,800.0,24.0,15,250,6,1960,0.2237442922374429,326.6666666666667,648,0
VRE120_wind_hvy,M2_rm800_b24,800.0,24.0,16,246,7,2106,0.2404109589041096,300.85714285714283,1082,0
VRE120_wind_hvy,M2_rm800_b24,800.0,24.0,17,212,9,1755,0.20034246575342465,195.0,507,0
VRE120_wind_hvy,M2_rm800_b24,800.0,24.0,18,245,6,1911,0.21815068493150686,318.5,939,0
VRE120_wind_hvy,M2_rm800_b24,800.0,24.0,19,280,7,2136,0.24383561643835616,305.14285714285717,942,0
VRE120_wind_hvy,M2_rm800_b24,800.0,24.0,20,297,8,2068,0.23607305936073059,258.5,532,0
