case_name,model_label,risk_margin_mw,window_buffer_hours,n_scenarios,seed,lolh_hours,lolp_percent,lole_days,eue_mwh,neue_ppm,cvar_eue_mwh,p90_scenario_eue_mwh,p95_scenario_eue_mwh,p99_scenario_eue_mwh,n_shortage_events,mean_shortage_duration_h,max_shortage_duration_h,p95_shortage_duration_h,max_shortfall_mw,mean_shortfall_when_shedding_mw,lolh_ci95_halfwidth_h,lolh_ci95_rel_halfwidth,eue_ci95_halfwidth_mwh,eue_ci95_rel_halfwidth,runtime_s
VRE120_base,M1b,NaN,NaN,20,42,83.55,0.9537671232876712,21.25,28272.404933872655,627.2499241086456,49454.931555232644,41455.640668792665,47494.31370755265,50805.57940585665,22.7,3.6806167400881056,10.0,8.0,1000.2014303799991,338.3890476824974,9.374494613746274,0.11220220961994344,5071.91154711576,0.17939441511886367,1.4
VRE120_base,M3,NaN,NaN,20,42,5.95,0.06792237442922375,1.75,2479.16958463441,55.002711564565494,9782.932122726885,8387.089811914588,9719.414932385725,9826.688409406352,2.0,2.975,7.0,6.049999999999997,461.06735212653757,416.66715708141334,3.253323450517057,0.5467770505070684,1499.9955123041589,0.6050394945149972,194.1
VRE120_base,M2_rm1000_b48,1000.0,48.0,20,42,5.75,0.0656392694063927,1.75,2479.1695846344096,55.00271156456548,9782.932122726885,8387.089811914586,9719.414932385725,9826.688409406352,2.9,1.9827586206896552,7.0,5.0,534.7469016465374,431.159927762506,3.1632027407277215,0.5501222157787342,1499.9955123041589,0.6050394945149973,10.5
VRE120_base,M2_rm800_b24,800.0,24.0,20,42,5.65,0.06449771689497717,1.75,2479.16958463441,55.002711564565494,9782.932122726885,8387.089811914588,9719.414932385725,9826.688409406352,3.1,1.8225806451612903,6.0,4.0,512.1230510832687,438.791076926444,2.9700204146028852,0.5256673300182098,1499.9955123041589,0.6050394945149972,5.3
VRE120_bal15,M1b,NaN,NaN,20,42,36.75,0.4195205479452055,12.75,11608.541477049017,257.54642300582213,22951.86762204901,20721.493873472675,22913.751342234304,22978.125503699142,13.2,2.784090909090909,7.0,5.0,808.3791601399992,315.8786796475923,6.684410693231639,0.18188872634643916,2969.6124973340475,0.2558127136992361,0.9
VRE120_bal15,M3,NaN,NaN,20,42,1.35,0.015410958904109592,0.5,360.07474543961246,7.988597265733194,2721.961558698064,1337.4475608319128,2219.789362067485,3067.902405265799,0.6,2.25,6.0,4.899999999999999,148.02942812980626,266.7220336589722,1.174924947211075,0.8703147757119073,383.49822725418363,1.065051720819725,192.7
VRE120_bal15,M2_rm1000_b48,1000.0,48.0,20,42,1.3,0.014840182648401826,0.5,360.07474543961246,7.988597265733194,2721.961558698064,1337.4475608319133,2219.789362067485,3067.902405265799,0.65,2.0,6.0,4.800000000000001,152.66028522653747,276.9805734150865,1.1114754537148024,0.8549811182421556,383.49822725418363,1.065051720819725,8.6
VRE120_bal15,M2_rm800_b24,800.0,24.0,20,42,1.25,0.014269406392694063,0.5,360.07474543961246,7.988597265733194,2721.961558698064,1337.4475608319124,2219.789362067485,3067.902405265799,0.65,1.9230769230769231,6.0,4.200000000000001,174.3530896930751,288.05979635168995,1.0628893094817193,0.8503114475853755,383.49822725418363,1.065051720819725,5.2
VRE120_wind_hvy,M1b,NaN,NaN,20,42,25.0,0.28538812785388123,7.25,8982.377867510268,199.2825105925377,20155.20418984901,16321.142793632669,19716.4195126543,20457.478078583146,8.1,3.0864197530864197,7.0,6.0,826.6689950999993,359.29511470041075,6.178460377114912,0.24713841508459647,2730.8485464955356,0.3040228975863015,0.9
VRE120_wind_hvy,M3,NaN,NaN,20,42,2.25,0.025684931506849314,0.75,648.2368652992254,14.381745221688501,3528.3874707634404,1829.0691329584515,2866.2066569728645,3984.556475819175,0.85,2.6470588235294117,6.0,6.0,225.5296759530751,288.1052734663224,1.5568385644598715,0.691928250871054,499.70505439960624,0.7708679977170736,187.9
VRE120_wind_hvy,M2_rm1000_b48,1000.0,48.0,20,42,1.95,0.02226027397260274,0.75,648.2368652992255,14.381745221688503,3528.387470763441,1829.0691329584515,2866.206656972865,3984.556475819175,1.05,1.8571428571428572,7.0,3.0,289.0260597530752,332.42916169191045,1.4038667653081762,0.7199316745170135,499.70505439960624,0.7708679977170735,8.9
VRE120_wind_hvy,M2_rm800_b24,800.0,24.0,20,42,1.95,0.02226027397260274,0.75,648.2368652992254,14.381745221688501,3528.387470763441,1829.0691329584515,2866.206656972865,3984.556475819175,1.0,1.95,6.0,4.100000000000001,295.33017074980637,332.42916169191045,1.3222834316757546,0.678094067526028,499.70505439960624,0.7708679977170736,4.9
