case_name,scenario_id,mode,case_folder,start_time,end_time,runtime_s,status,error_message,output_dir
VRE120_base_nostorage,1,ED,RAChronoOps_VRE120_base_nostorage_s001_ED,2026-05-20 13:20:55,2026-05-20 13:22:55,120.5809998512268,OK,,D:/MIT Dropbox/Shen Wang/MIT/RA/RA_assessment/RAChronoOps/exports/hope_model_cases/RAChronoOps_VRE120_base_nostorage_s001_ED/output
VRE120_base_nostorage,2,ED,RAChronoOps_VRE120_base_nostorage_s002_ED,2026-05-20 13:22:57,2026-05-20 13:25:00,123.13300013542175,OK,,D:/MIT Dropbox/Shen Wang/MIT/RA/RA_assessment/RAChronoOps/exports/hope_model_cases/RAChronoOps_VRE120_base_nostorage_s002_ED/output
VRE120_base_nostorage,3,ED,RAChronoOps_VRE120_base_nostorage_s003_ED,2026-05-20 13:25:01,2026-05-20 13:27:04,123.02800011634827,OK,,D:/MIT Dropbox/Shen Wang/MIT/RA/RA_assessment/RAChronoOps/exports/hope_model_cases/RAChronoOps_VRE120_base_nostorage_s003_ED/output
VRE120_base_nostorage,4,ED,RAChronoOps_VRE120_base_nostorage_s004_ED,2026-05-20 13:27:04,2026-05-20 13:29:07,123.0699999332428,OK,,D:/MIT Dropbox/Shen Wang/MIT/RA/RA_assessment/RAChronoOps/exports/hope_model_cases/RAChronoOps_VRE120_base_nostorage_s004_ED/output
VRE120_base_nostorage,5,ED,RAChronoOps_VRE120_base_nostorage_s005_ED,2026-05-20 13:29:07,2026-05-20 13:31:11,124.45700001716614,OK,,D:/MIT Dropbox/Shen Wang/MIT/RA/RA_assessment/RAChronoOps/exports/hope_model_cases/RAChronoOps_VRE120_base_nostorage_s005_ED/output
