case_name,method_label,m3_lolh,method_lolh,lolh_error,lolh_abs_error,lolh_rel_error,m3_eue,method_eue,eue_error,eue_rel_error,m3_cvar_eue,method_cvar_eue,cvar_eue_error,m3_lole_days,method_lole_days,lole_days_error,m3_max_shortfall,method_max_shortfall,max_shortfall_error,m3_runtime_s,method_runtime_s,runtime_speedup_vs_m3
VRE120_base,M1,5.95,95.4,89.45,89.45,15.033613445378151,2479.16958463441,31017.13551095997,28537.96592632556,11.511098757906835,9782.932122726885,51937.29936999995,42154.36724727307,1.75,25.3,23.55,461.06735212653757,1000.4147142799991,539.3473621534615,190.3,1.7,111.93294118432438
VRE120_base,M1b,5.95,83.55,77.6,77.6,13.042016806722687,2479.16958463441,28272.404933872655,25793.235349238246,10.403981845010348,9782.932122726885,49454.931555232644,39671.99943250576,1.75,21.25,19.5,461.06735212653757,1000.2014303799991,539.1340782534616,190.3,1.1,172.9872727394104
VRE120_base,M1c,5.95,5.95,0.0,0.0,0.0,2479.16958463441,2479.1695846344096,-4.547473508864641e-13,-1.8342728698550216e-16,9782.932122726885,9782.932122726887,1.8189894035458565e-12,1.75,1.75,0.0,461.06735212653757,461.06735212653746,-1.1368683772161603e-13,190.3,1.0,190.28600001335144
VRE120_base,M2_rm1000_b48,5.95,5.75,-0.20000000000000018,0.20000000000000018,-0.03361344537815129,2479.16958463441,2479.1695846344096,-4.547473508864641e-13,-1.8342728698550216e-16,9782.932122726885,9782.932122726885,0.0,1.75,1.75,0.0,461.06735212653757,534.7469016465374,73.6795495199998,190.3,10.0,19.028600001335143
VRE120_bal15,M1,1.35,51.2,49.85,49.85,36.925925925925924,360.07474543961246,14923.62962241998,14563.554876980366,40.445921468887896,2721.961558698064,25914.21611879998,23192.254560101916,0.5,19.15,18.65,148.02942812980626,837.3424633799996,689.3130352501933,192.2,1.4,137.26357136453902
VRE120_bal15,M1b,1.35,36.75,35.4,35.4,26.222222222222218,360.07474543961246,11608.541477049017,11248.466731609404,31.23925483270491,2721.961558698064,22951.86762204901,20229.906063350943,0.5,12.75,12.25,148.02942812980626,808.3791601399992,660.3497320101928,192.2,1.2,160.14083325862885
VRE120_bal15,M1c,1.35,1.35,0.0,0.0,0.0,360.07474543961246,360.0747454396127,2.2737367544323206e-13,6.314624347387466e-16,2721.961558698064,2721.9615586980653,1.3642420526593924e-12,0.5,0.5,0.0,148.02942812980626,148.02942812980646,1.9895196601282805e-13,192.2,1.1,174.69909082759509
VRE120_bal15,M2_rm1000_b48,1.35,1.3,-0.050000000000000044,0.050000000000000044,-0.03703703703703707,360.07474543961246,360.07474543961246,0.0,0.0,2721.961558698064,2721.961558698064,0.0,0.5,0.5,0.0,148.02942812980626,152.66028522653747,4.630857096731205,192.2,8.8,21.837386353449386
VRE120_wind_hvy,M1,2.25,52.4,50.15,50.15,22.288888888888888,648.2368652992254,15801.110836859982,15152.873971560755,23.375520249941673,3528.3874707634404,26871.07462859997,23342.68715783653,0.75,17.4,16.65,225.5296759530751,889.2628186999993,663.7331427469243,188.0,1.4,134.2921429021018
VRE120_wind_hvy,M1b,2.25,25.0,22.75,22.75,10.11111111111111,648.2368652992254,8982.377867510268,8334.141002211043,12.856629186561324,3528.3874707634404,20155.20418984901,16626.816719085567,0.75,7.25,6.5,225.5296759530751,826.6689950999993,601.1393191469242,188.0,2.3,81.74304350562718
VRE120_wind_hvy,M1c,2.25,2.25,0.0,0.0,0.0,648.2368652992254,648.2368652992261,6.821210263296962e-13,1.0522712650950974e-15,3528.3874707634404,3528.387470763443,2.7284841053187847e-12,0.75,0.75,0.0,225.5296759530751,225.5296759530755,3.979039320256561e-13,188.0,1.3,144.622307740725
VRE120_wind_hvy,M2_rm1000_b48,2.25,1.95,-0.30000000000000004,0.30000000000000004,-0.13333333333333336,648.2368652992254,648.2368652992255,1.1368683772161603e-13,1.7537854418251623e-16,3528.3874707634404,3528.387470763441,4.547473508864641e-13,0.75,0.75,0.0,225.5296759530751,289.0260597530752,63.496383800000075,188.0,7.5,25.067866675059
