model,lolh,lolp_percent,lole_days,eue_mwh,cvar_eue_mwh,max_shortfall_mw,n_shortage_events,mean_shortage_duration_h,p95_shortage_duration_h,runtime_s,lolh_error_vs_m3,eue_error_vs_m3,max_shortfall_error_vs_m3
M3-ED,6.0,0.0684931506849315,3.0,1779.4778133961331,1779.4778133961331,636.8230188653783,5,1.2,1.7999999999999998,11.608000040054321,0.0,0.0,0.0
HOPE-ED,6.0,0.0684931506849315,3.0,1779.477813396131,1779.477813396131,540.6860412653765,6,1.0,1.0,12.0,0.0,-2.0463630789890885e-12,-96.13697760000184
HOPE-UC,9.0,0.10273972602739725,3.0,1779.4778133961322,1779.4778133961322,668.2972087999997,7,1.2857142857142858,2.0,472.2,3.0,-9.094947017729282e-13,31.474189934621336
