case_name,model_label,mean_soc_frac,p10_soc_frac,pct_low_soc_shortage,n_shortage_hours_total
VRE120_base,MP_pure,0.7320885353229002,0.5487489610829399,0.00890985324947589,1908
VRE120_base,MP_pure_cur,0.7223087869892765,0.5487489610829399,0.009433962264150943,1908
VRE120_base,MP_emergency,0.670917308484013,0.24978533795030272,0.100104821802935,1908
VRE120_base,MP_emergency_cur,0.6637619070749342,0.23931935534987558,0.10429769392033543,1908
VRE120_base,M1c,0.18610513536788098,0.0,0.7142857142857143,119
VRE120_base,M2,0.5114166370723707,0.042914514293160115,0.2647058823529412,102
VRE120_wind_hvy,MP_pure,0.7484875819679548,0.5649087716028303,0.0019083969465648854,1048
VRE120_wind_hvy,MP_pure_cur,0.7398175026554253,0.5649087716028303,0.0019083969465648854,1048
VRE120_wind_hvy,MP_emergency,0.7067477006749504,0.4120083641572375,0.05534351145038168,1048
VRE120_wind_hvy,MP_emergency_cur,0.6983262685342527,0.40178189221409694,0.06202290076335878,1048
VRE120_wind_hvy,M1c,0.3351138541715543,0.0,0.5333333333333333,45
VRE120_wind_hvy,M2,0.5432415396944936,0.09608512777816758,0.2,35
