case_name,scenario_id,hour,m2_load_shed_mw,m3_load_shed_mw,difference_m2_minus_m3,classification
VRE120_base,1,4986,280.42077646537837,39.400906799999575,241.0198696653788,common
VRE120_base,1,4988,805.7195783999996,636.8230188653783,168.89655953462125,common
VRE120_base,1,4989,0.0,409.9164291999996,-409.9164291999996,m3_only
VRE120_base,1,5008,271.5499752653777,0.0,271.5499752653777,m2_only
VRE120_base,1,5012,0.0,271.54997526537755,-271.54997526537755,m3_only
VRE120_base,1,6066,74.51034319999872,74.51034319999872,0.0,common
VRE120_base,1,6068,347.27714006537917,347.27714006537934,-1.7053025658242404e-13,common
VRE120_base,2,4986,674.2239256653784,64.40090679999958,609.8230188653788,common
VRE120_base,2,4988,0.0,609.8230188653783,-609.8230188653783,m3_only
VRE120_base,2,4989,434.9164291999996,434.9164291999996,0.0,common
VRE120_base,2,5007,632.0442744653774,0.0,632.0442744653774,m2_only
VRE120_base,2,5011,0.0,589.8082412653783,-589.8082412653783,m3_only
VRE120_base,2,5012,781.0900187999996,781.0900187999996,0.0,common
VRE120_base,2,5013,0.0,42.23603319999893,-42.23603319999893,m3_only
VRE120_base,3,4985,424.60247046537825,0.0,424.60247046537825,m2_only
VRE120_base,3,4988,0.0,89.68604126537832,-89.68604126537832,m3_only
VRE120_base,3,4989,0.0,334.9164291999996,-334.9164291999996,m3_only
VRE120_base,3,5058,138.54509886537835,0.0,138.54509886537835,m2_only
VRE120_base,3,5060,0.0,138.5450988653788,-138.5450988653788,m3_only
VRE120_base,3,5061,386.9372664000002,386.9372664000002,0.0,common
VRE120_base,3,5078,11.981915199999094,0.0,11.981915199999094,m2_only
VRE120_base,3,5079,459.8852732000005,0.0,459.8852732000005,m2_only
VRE120_base,3,5082,20.28784766537683,0.0,20.28784766537683,m2_only
VRE120_base,3,5084,1076.7977315999997,714.8847256653764,361.91300593462324,common
VRE120_base,3,5085,0.0,854.0680419999999,-854.0680419999999,m3_only
VRE120_base,4,4410,256.70026400000006,256.70026400000006,0.0,common
VRE120_base,4,4411,573.1012120653777,210.8700404653771,362.2311716000006,common
VRE120_base,4,4412,1000.4025376,1000.4025376,0.0,common
VRE120_base,4,4413,0.0,362.2311716000004,-362.2311716000004,m3_only
VRE120_base,4,4985,118.65397719999964,118.65397719999964,0.0,common
VRE120_base,4,4986,276.4009067999996,276.4009067999996,0.0,common
VRE120_base,4,4987,163.83709799999997,163.83709799999997,0.0,common
VRE120_base,4,4988,1042.7195783999996,735.7940592653792,306.92551913462034,common
VRE120_base,4,4989,339.99091006537947,646.9164291999996,-306.9255191346201,common
VRE120_base,4,5010,734.2508512653785,0.0,734.2508512653785,m2_only
VRE120_base,4,5011,811.8834419999985,348.80824126537834,463.0752007346201,common
VRE120_base,4,5012,0.0,968.0900187999996,-968.0900187999996,m3_only
VRE120_base,4,5013,0.0,229.23603319999893,-229.23603319999893,m3_only
VRE120_base,4,5031,869.8556668000001,0.0,869.8556668000001,m2_only
VRE120_base,4,5034,813.8990100653746,0.0,813.8990100653746,m2_only
VRE120_base,4,5035,2.3956824000006236,957.6987972653754,-955.3031148653748,common
VRE120_base,4,5036,0.0,728.4515620000002,-728.4515620000002,m3_only
VRE120_base,5,4962,880.5099168653796,14.759710399999676,865.75020646538,common
VRE120_base,5,4963,170.27738640000098,170.27738640000098,0.0,common
VRE120_base,5,4964,68.78908159999901,137.0750900653802,-68.2860084653812,common
VRE120_base,5,4965,0.0,682.5206947999995,-682.5206947999995,m3_only
VRE120_base,5,4966,0.0,114.94350319999921,-114.94350319999921,m3_only
VRE120_base,5,4985,161.65397719999964,161.65397719999964,0.0,common
VRE120_base,5,4986,1302.4009067999996,319.4009067999996,983.0,common
VRE120_base,5,4987,1189.837098,637.4494632653796,552.3876347346204,common
VRE120_base,5,4988,102.71957839999959,1085.7195783999996,-983.0,common
VRE120_base,5,4989,137.52879446537918,689.9164291999996,-552.3876347346204,common
VRE120_base,5,5005,195.34828480000033,0.0,195.34828480000033,m2_only
VRE120_base,5,5007,900.9397635999994,0.0,900.9397635999994,m2_only
VRE120_base,5,5010,0.0,713.4236656653795,-713.4236656653795,m3_only
VRE120_base,5,5011,949.255092465377,1034.8834419999985,-85.62834953462152,common
VRE120_base,5,5012,1036.0900187999996,1036.0900187999996,0.0,common
VRE120_base,5,5013,0.0,297.23603319999893,-297.23603319999893,m3_only
VRE120_base,5,5057,246.89362606537907,107.56234879999829,139.33127726538078,common
VRE120_base,5,5058,121.33935839999958,121.33935839999958,0.0,common
VRE120_base,5,5059,994.2448735999997,140.35208966538062,853.892783934619,common
VRE120_base,5,5060,0.0,909.2913020000005,-909.2913020000005,m3_only
VRE120_base,5,5061,596.9372664000002,596.9372664000002,0.0,common
VRE120_base,5,5062,0.0,83.93275919999905,-83.93275919999905,m3_only
VRE120_base,5,5415,15.309868399999687,15.309868399999687,0.0,common
VRE120_base,5,5418,242.51156886537592,14.020833265376268,228.49073559999965,common
VRE120_base,5,5419,0.0,228.49073559999943,-228.49073559999943,m3_only
VRE120_base,5,5729,399.7710056653759,0.0,399.7710056653759,m2_only
VRE120_base,5,5732,0.0,399.7710056653759,-399.7710056653759,m3_only
VRE120_bal15,1,6066,36.21034319999944,36.21034319999944,0.0,common
VRE120_bal15,2,4985,47.35247046537461,0.0,47.35247046537461,m2_only
VRE120_bal15,2,4989,0.0,47.35247046537444,-47.35247046537444,m3_only
VRE120_bal15,4,4410,111.8502639999997,111.8502639999997,0.0,common
VRE120_bal15,4,4411,156.60396760000003,156.60396760000003,0.0,common
VRE120_bal15,4,4412,12.802537599999596,12.802537599999596,0.0,common
VRE120_bal15,4,4986,165.75090679999812,165.75090679999812,0.0,common
VRE120_bal15,4,4987,767.5819852653767,137.63709799999924,629.9448872653775,common
VRE120_bal15,4,4988,31.019578399998863,54.39803646537757,-23.37845806537871,common
VRE120_bal15,4,4989,0.0,606.5664291999992,-606.5664291999992,m3_only
VRE120_bal15,5,4963,153.9773864000017,153.9773864000017,0.0,common
VRE120_bal15,5,4964,55.13908159999937,55.13908159999937,0.0,common
VRE120_bal15,5,4986,339.6957940653765,208.75090679999812,130.94488726537838,common
VRE120_bal15,5,4987,180.63709799999924,180.63709799999924,0.0,common
VRE120_bal15,5,4988,1057.0195783999989,538.398036465378,518.6215419346208,common
VRE120_bal15,5,4989,0.0,649.5664291999992,-649.5664291999992,m3_only
VRE120_bal15,5,5057,361.0341544653793,0.0,361.0341544653793,m2_only
VRE120_bal15,5,5058,16.48935839999922,16.48935839999922,0.0,common
VRE120_bal15,5,5061,0.0,355.25139526537924,-355.25139526537924,m3_only
VRE120_bal15,5,5062,0.0,5.782759199999418,-5.782759199999418,m3_only
VRE120_wind_hvy,1,4988,514.1403548653743,265.62392566537517,248.51642919999915,common
VRE120_wind_hvy,1,4989,0.0,248.51642919999904,-248.51642919999904,m3_only
VRE120_wind_hvy,2,4987,537.1403548653743,0.0,537.1403548653743,m2_only
VRE120_wind_hvy,2,4988,0.0,263.62392566537505,-263.62392566537505,m3_only
VRE120_wind_hvy,2,4989,0.0,273.51642919999904,-273.51642919999904,m3_only
VRE120_wind_hvy,4,4410,187.30026399999952,187.30026399999952,0.0,common
VRE120_wind_hvy,4,4411,132.90396760000021,132.90396760000021,0.0,common
VRE120_wind_hvy,4,4985,97.65397719999964,97.65397719999964,0.0,common
VRE120_wind_hvy,4,4986,759.5949660653769,186.20090679999885,573.394059265378,common
VRE120_wind_hvy,4,4987,59.03709799999888,59.03709799999888,0.0,common
VRE120_wind_hvy,4,4988,0.0,573.3940592653779,-573.3940592653779,m3_only
VRE120_wind_hvy,4,4989,485.51642919999904,485.51642919999904,0.0,common
VRE120_wind_hvy,5,4963,105.07738640000116,105.07738640000116,0.0,common
VRE120_wind_hvy,5,4964,14.189081599999554,14.189081599999554,0.0,common
VRE120_wind_hvy,5,4965,126.57356606537905,126.57356606537883,2.2737367544323206e-13,common
VRE120_wind_hvy,5,4985,1007.9023500653766,140.65397719999964,867.248372865377,common
VRE120_wind_hvy,5,4986,229.20090679999885,229.20090679999885,0.0,common
VRE120_wind_hvy,5,4987,1085.0370979999989,452.8494632653782,632.1876347346207,common
VRE120_wind_hvy,5,4988,0.0,970.9195783999985,-970.9195783999985,m3_only
VRE120_wind_hvy,5,4989,0.0,528.516429199999,-528.516429199999,m3_only
VRE120_wind_hvy,5,5057,157.80139526538005,0.0,157.80139526538005,m2_only
VRE120_wind_hvy,5,5058,61.5393583999994,61.5393583999994,0.0,common
VRE120_wind_hvy,5,5061,0.0,157.80139526537977,-157.80139526537977,m3_only
VRE120_wind_hvy,5,5415,5.3098683999996865,5.3098683999996865,0.0,common
